195 Tobacco Outlet,4404 AL-195,,Jasper,AL,35503,US,,2053841039,,2019-07-12,,,T,,,,
1st Ave Hookah and Vape Shop,4101 1st Ave N,,Birmingham,AL,35222,US,,2055954148,,2018-08-06,2018-12-24,Yes,S,CBD,,,
205 Vape Shop,3436 Warrior River Rd #110,,Bessemer,AL,35023,US,,2054342966,,2018-06-30,2019-07-14,,V,,,,
231 Hemp Hut,5595 S Oates St,,Dothan,AL,36301,US,https://231hemphut.com,3348030242,sales@231hemphut.com,2020-11-14,,Yes,C,CBD,,,
251 Vapes,26260 AL-59,,Loxley,AL,36551,US,https://www.251vapes.com/,2512343676,,2021-10-14,,Yes,V,CBD,,,
786 Tobacco Express,975 Gadsden Hwy,,Birmingham,AL,35235,US,https://786-tobacco-express.business.site/,2058683649,khurramali08@gmail.com,2018-07-24,2019-05-17,,S,,,,
A New Hope Vape Shop,10042 US-431,,New Hope,AL,35760,US,,2567238273,,2018-06-09,2019-06-21,Yes,V,CBD,,,
AL Tobacco Outlet,4901 Meridian St N,,Huntsville,AL,35810,US,,2564898569,,2019-07-16,,,S,,,,
AL's Liquor Tobacco Beer,2114 S McKenzie St,,Foley,AL,36535,US,http://alsliquortobaccowine.com/,2519438069,alsliquorstore@yahoo.com,2019-07-17,2019-07-17,,T,,,,
AL's Liquor Tobacco Beer,1620 Gulf Shores Pkwy,,Gulf Shores,AL,36542,US,http://alsliquortobaccowine.com/,2519687311,alsliquorstore@yahoo.com,2019-07-17,2019-07-17,,T,,,,
AL's Liquor Tobacco Beer,817 Gulf Shores Pkwy,,Gulf Shores,AL,36542,US,http://alsliquortobaccowine.com/,2515001027,alsliquorstore@yahoo.com,2019-07-17,,,T,,,,
AL's Liquor Tobacco Wine,25405 Perdido Beach Blvd Ste 8,,Orange Beach,AL,36561,US,http://alsliquortobaccowine.com/,2519816105,alsliquorstore@yahoo.com,2019-07-17,2019-07-17,,T,,,,
AL's Liquor Tobacco Wine,25637 Canal Rd Ste J,,Orange Beach,AL,36561,US,http://alsliquortobaccowine.com/,2519811319,alsliquorstore@yahoo.com,2019-07-17,2019-07-17,,T,,,,
AL's Liquor Tobacco Wine,25241 Perdido Beach Blvd,,Orange Beach,AL,36561,US,http://alsliquortobaccowine.com/,2519814050,alsliquorstore@yahoo.com,2019-07-17,,,T,,,,
All Smoke Free,117 Hwy 78 W,,Jasper,AL,35501,US,,2052652828,,2018-10-27,,Yes,V,CBD,,,
Alley Glass Company,114 W Magnolia Ave Ste D,,Auburn,AL,36830,US,,3342090970,alleyglassco@gmail.com,2018-12-26,,Yes,H,CBD,Yes,,
American Cannabis Company,16 S Sage Ave Ste B,,Mobile,AL,36606,US,https://americannco.com/,2517256521,contact@americannco.com,2020-11-17,2020-11-17,Yes,C,CBD,,,
Athens Smoke Shop,909 Jefferson St S,,Athens,AL,35611,US,,2568000089,,2018-10-28,2019-02-15,Yes,S,CBD,,,
Attalla Vapor,959 Gilbert Ferry Rd SE,,Attalla,AL,35954,US,,2563442302,,2018-06-30,2019-07-14,Yes,V,CBD,,,
Avondale Vape and Hookah Lounge,309 41st St S,,Birmingham,AL,35222,US,https://www.avondalevapeandhookah.com/,2057773591,avondalevhl@gmail.com,2022-02-10,2022-02-10,Yes,L,CBD,,,
Bama Discount Tobacco,13758 AL-216,,Cottondale,AL,35453,US,,2053315960,,2019-07-21,2019-07-22,,T,,,,
Bama Package Store Cigarette & Tobacco outlet,6822 Atlanta Hwy,,Montgomery,AL,36117,US,,3343560802,gandhiparin@gmail.com,2019-07-21,,,T,,,,
Bama Vapor,152 W Valley Ave,,Birmingham,AL,35209,US,http://bamavapor.com/,2059837957,webstore@bamavapor.com,2014-08-27,2019-03-12,,V,,,,
Best Vapors,401 Schillinger Rd N #B-172,,Mobile,AL,36608,US,,2513794948,,2019-07-24,,,V,,,,
"Bills Bottles, Smokes, & Suds",5156 US-78 Ste 7,,Oxford,AL,36203,US,,2568319010,,2021-04-30,2021-04-30,Yes,S,CBD,,,
Black Tie CBD,2801 John Hawkins Pkwy,,Birmingham,AL,35244,US,https://www.blacktiesmoke.com/,2059681022,support@blacktiesmoke.com,2020-11-21,2020-11-21,Yes,C,CBD,,,
Body Exchange,102 University Ave,,Troy,AL,36081,US,,3345661166,,2019-07-27,,Yes,C,CBD,,,
Bottle Paradise,8743 Eastchase Pkwy,,Montgomery,AL,36117,US,,3343568740,bottleparadisemgm@gmail.com,2020-11-21,,Yes,O,CBD,,,
Bottle Paradise,603 Coosa River Pkwy,,Wetumpka,AL,36092,US,https://bottleparadise.com/,3344784538,bottleparadisewetumpka@gmail.com,2020-11-21,,Yes,O,CBD,,,
Brew N' Vape,8908 McClellan Blvd,,Anniston,AL,36206,US,http://www.brewnvape.com,2566890075,ken@ecigsouth.com,2018-06-09,2022-04-01,Yes,V,CBD,,,
Calera Tobacco and Vape Shop,11038 AL-25,,Calera,AL,35040,US,http://calera-tobacco-shop.business.site/,2056907444,,2019-07-30,,Yes,S,CBD,,,
Cali Variety Store,606 S Pelham Rd,,Jacksonville,AL,36265,US,https://calivarietystore.com/,2563651211,,2022-02-28,2022-02-28,Yes,S,CBD,,,
Cannabama,558 Saint Francis St Ste 1,,Mobile,AL,36602,US,https://cannabama.com/,2512555155,jennifer@cannabama.com,2020-08-30,2020-08-30,Yes,C,CBD,,,
CannaBama: Daphne,25935 Friendship Rd Unit C,,Daphne,AL,36526,US,https://cannabama.com/,2514040913,jennifer@cannabama.com,2020-11-22,2020-11-22,Yes,C,CBD,,,
Capes Vapes,3236 W Main St,,Dothan,AL,36305,US,https://capesvapes.com,3342374242,capesvapesdothan@gmail.com,2021-08-05,2021-08-05,Yes,V,CBD,,,
CBD America,5668 Old Hwy 43,,Satsuma,AL,36572,US,https://cbdamerica1.com/,2516754291,theoriginalcbdstore@yahoo.com,2020-08-25,,Yes,C,CBD,,,
"CBD American Shaman - Madison, AL",8490 US-72 Ste 169,,Madison,AL,35758,US,https://cbdamericanshaman.com/,2563251601,hello@cbdala.com,2019-11-11,,Yes,C,CBD,,,
CBD American Shaman Clanton,1471 7th St S,,Clanton,AL,35045,US,https://cbdamericanshaman.com/,2052585018,clantoncbd@gmail.com,2019-11-08,,Yes,C,CBD,,,
CBD Nation LLP,4465 Highway 431 South,,Albertville,AL,35950,US,,2566600028,,2020-11-27,,Yes,C,CBD,,,
CBD of Moody,2332 Moody Pkwy,,Moody,AL,35004,US,,2053520440,cbdofmoody@gmail.com,2020-11-27,,Yes,C,CBD,,,
CBD Organic Store,7930 Moffett Rd Ste F,,Semmes,AL,36575,US,https://thecbdorganicstore.com/,2517067934,braxton@thecbdorganicstore.com,2020-11-28,,Yes,C,CBD,,,
CBDivine,3457 Malcolm Dr,,Montgomery,AL,36116,US,https://www.cbdivine.com/,3344406490,lydia.heisler@cbdivine.com,2020-12-01,,Yes,C,CBD,,,
CC's Tobacco and Package,8045 Stemley Bridge Rd,,Talladega,AL,35160,US,,2562686161,,2019-07-31,2019-07-31,,T,,,,
Cell Touch And Vape Shop,306 Jackson Ave S,,Russellville,AL,35653,US,,2563988811,,2020-12-14,2020-12-14,Yes,V,CBD,Yes,,
Centre Vapes,1880 W Main St,,Centre,AL,35960,US,,2569272540,,2020-07-20,2020-12-29,,V,,,,
Cigarette King,217 Forrest Ave,,East Brewton,AL,36426,US,,2518676060,,2019-08-25,,Yes,T,CBD,,,
Cloud 9 Vapes,27080 US-98 Ste 2,,Daphne,AL,36526,US,https://www.cloud9vapesllc.com/,2513487941,cloud9vapesllc@gmail.com,2018-06-30,2019-07-14,,V,,,,
Cloud 9 Vapes,2315 Hillcrest Rd,,Mobile,AL,36695,US,https://www.cloud9vapesllc.com/,2513806407,cloud9vapesllc@gmail.com,2015-07-10,2019-04-01,,V,,,,
Cloud 9 Vapes Airport,3913 Airport Blvd,,Mobile,AL,36608,US,https://www.cloud9vapesllc.com/,2512177174,cloud9vapesllc@gmail.com,2018-06-30,2019-07-14,,V,,,,
Cloud 9 Vapes Semmes,7885 Moffett Rd Ste 132,,Semmes,AL,36575,US,https://www.cloud9vapesllc.com/,2516604445,cloud9vapesllc@gmail.com,2018-06-30,2019-07-14,Yes,V,CBD,,,
Cloud 9 Vapor & CBD,2607 S Broad St Ste C,,Scottsboro,AL,35768,US,https://www.cloud9vapor-cbd.com/,2566099378,jennichapx5@gmail.com,2018-08-06,2020-01-17,Yes,V,CBD,,,
Cloud Nine Southside Tattoo and Piercing,1030 20th St S,,Birmingham,AL,35205,US,,2054589998,cloudninesouth@gmail.com,2018-11-29,,Yes,H,CBD,,,
Coastal Discount Tobacco and Vapor,12900 US-280,,Sterrett,AL,35147,US,,2056788277,,2019-08-27,,,T,,,,
Cold Water Tobacco and Beverage,5156 US-78 #7,,Oxford,AL,36203,US,,2568319010,,2019-08-26,,,T,,,,
Cool Vapors,1111 Rucker Blvd,,Enterprise,AL,36330,US,,3343932665,coolvapors@yahoo.com,2018-06-24,2019-07-04,Yes,V,CBD,,,
Cool Vapors,1720 Hamric Dr E Ste 9,,Oxford,AL,36203,US,,2563435828,coolvapors5@gmail.com,2018-06-24,2019-07-04,Yes,V,CBD,,,
Cool Vapors,119 Southland Village Unit G,,Troy,AL,36079,US,,3347700383,,2019-04-02,,,V,,,,
Cool Vapors Dothan,3119 Ross Clark Cir Ste 5,,Dothan,AL,36303,US,,3344461846,,2015-02-25,2019-04-02,,V,,,,
Cosmic Connexion,1635 S College St,,Auburn,AL,36830,US,,3348870989,la.siryn@gmail.com,2019-08-24,2019-12-23,,H,,,,
Cosmic Debris,632 Broad St,,Gadsden,AL,35901,US,,2565477069,csdebris@gmail.com,2019-09-01,,,H,,,,
Creek Smoke Shop,116 Poarch Rd,,Atmore,AL,36502,US,http://creekindianenterprises.org/westminster/creek_convenience_store_atmore.html,2514468801,,2018-10-20,2021-10-16,,O,,,,
Crimson Tobacco,1809 Skyland Blvd E,,Tuscaloosa,AL,35405,US,,2055071177,,2019-09-03,,Yes,S,CBD,,,
Crimson Vapor,301 W Inez Rd Ste 12,,Dothan,AL,36301,US,,3344460551,,2018-06-22,2021-10-16,,V,,,,
Crimson Vapor - Geneva,414 E Magnolia Ave Ste B,,Geneva,AL,36340,US,,3342486434,,2019-09-03,,,V,,,,
Crimson Vapor Ozark,1394 US-231 Ste 3,,Ozark,AL,36360,US,,3344430266,,2019-09-03,2019-09-03,,V,,,,
Cullman Smoke & Vapes,1206 4th St SW,,Cullman,AL,35055,US,https://cullman-smoke-vapes.business.site/,2568416677,,2020-02-17,,Yes,S,CBD,,,
Cyclops Vapor,25883 Friendship Rd,,Daphne,AL,36526,US,https://www.cyclopsvapor.com/,2512102560,,2017-12-02,2019-01-19,,V,,,,
Cynefin CBD,206 Cox Creek Pkwy #C,,Florence,AL,35630,US,,2563674995,cynefincbd@gmail.com,2020-12-19,,Yes,C,CBD,,,
Da Gallery,1409 S College St Ste 102,,Auburn,AL,36832,US,https://da-gallery.com/,3345215067,dagallery2015@gmail.com,2018-10-29,2018-10-29,Yes,H,CBD,,,
Decatur Smoke and Vape,1423 6th Ave SE,,Decatur,AL,35601,US,https://decatur-smoke-and-vape.business.site/,2568222234,decutersmoke51@gmail.com,2022-04-18,2022-04-18,Yes,S,CBD,,,
Deep South Vape,5300 Halls Mill Rd Ste H,,Mobile,AL,36619,US,,2516613244,deepsouthvape@yahoo.com,2014-08-28,2019-04-02,,V,,,,
Deep South Vape,3385 Schillinger Rd N Ste 7,,Semmes,AL,36575,US,http://www.deepsouthvapors.com/,2516453244,,2020-06-29,,Yes,V,CBD,,,
Deep South Vapors - Southside,2312 S Oates St Ste 5,,Dothan,AL,36301,US,http://www.deepsouthvapors.com,3344465326,customerservice@deepsouthvapors.com,2018-06-22,2019-04-02,Yes,V,CBD,,,
Dirt Road Hemp Company,141 Daleville Ave,,Daleville,AL,36322,US,https://dirtroadhempcompany.com/,3345990145,khumble@dirtroadhempcompany.com,2020-12-06,,Yes,C,CBD,,,
Discount Tobacco,1105 S Jefferson St,,Athens,AL,35611,US,,2567710830,,2019-10-01,,Yes,T,CBD,,,
Discount Tobacco Outlet,708 Douglas Ave,,Brewton,AL,36426,US,,2518673434,,2019-09-19,,,T,,,,
Discount Tobacco Outlet,6845 US-90 #110,,Daphne,AL,36526,US,,2516265226,,2019-10-16,,,T,,,,
Discount Tobacco Outlet,2101 6th Ave SE,,Decatur,AL,35601,US,,2563516823,,2019-11-07,,,T,,,,
Discount Tobacco Outlet,1209 Rucker Blvd,,Enterprise,AL,36330,US,,3343471104,,2019-10-12,,,T,,,,
Discount Tobacco Outlet,8846 US-72,,Madison,AL,35758,US,,2564303565,,2019-11-11,2020-02-07,Yes,T,CBD,,,
Discount Tobacco Outlet,3326 Atlanta Hwy,,Montgomery,AL,36109,US,,3342730709,,2019-11-10,,,T,,,,
Discount Tobacco Outlet,1013 Lurleen B Wallace Blvd,,Northport,AL,35476,US,,2055533500,,2018-10-21,,,S,,,,
Discount Tobacco Outlet,713 Florala Hwy,,Opp,AL,36467,US,,3344937665,,2019-09-19,2020-12-21,Yes,T,CBD,,,
Discount Tobacco Outlet,634 S Memorial Dr,,Prattville,AL,36067,US,,3343654558,,2019-09-30,,Yes,T,CBD,,,
Discount Tobacco Outlet,21951 AL-59,,Robertsdale,AL,36567,US,,2519473270,,2019-11-09,,Yes,T,CBD,,,
Discount Tobacco Outlet,706 S Broad St,,Scottsboro,AL,35768,US,,2565745411,,2019-10-16,2019-10-16,,T,,,,
Discount Tobacco Outlet 103,1222 Gilmer Ave,,Tallassee,AL,36078,US,,3342528328,,2019-11-12,,,T,,,,
Dothan CBD & Vape Shop,2803 Ross Clark Cir,,Dothan,AL,36301,US,,3346614007,,2020-12-24,,Yes,C,CBD,,,
Downtown Vape,1818 Cogswell Ave,,Pell City,AL,35125,US,,2053381795,,2018-09-11,,Yes,V,CBD,,,
Dye Pirates,5046 AL-49,,Dadeville,AL,36853,US,,2563071900,,2020-12-25,,Yes,H,CBD,,,
Earth Strong Natural CBD,2907 Governors Dr SW A,,Huntsville,AL,35805,US,https://myearthstrong.com/,2569784372,info@myearthstrong.com,2020-12-26,,Yes,C,CBD,,,
ECig South Vape 2,80 Spring Branch Dr #C,,Alexandria,AL,36250,US,,2566895970,ken@ecigsouth.com,2015-02-16,2019-04-02,Yes,V,CBD,,,
Eco Smoke,4925 University Dr NW Ste 168,,Huntsville,AL,35816,US,https://www.ecosmokeonline.com/,2569646904,support@ecosmokeonline.com,2018-10-18,2019-04-03,,V,,,,
"Ed's Tobacco, Liquor and Wine",24934 State St,,Elberta,AL,36530,US,,2512856731,mifarmer6716@gmail.com,2019-10-24,,,T,,,,
Elk River Vapor Shop,12793 US-231 S Ste C,,Hazel Green,AL,35750,US,http://www.elkrivervaporshop.com/,2568280504,shane@elkrivervaporshop.com,2018-08-06,2019-10-17,Yes,V,CBD,,,
Elk River Vapor Shop,1961 Winchester Rd NE Ste I,,Huntsville,AL,35811,US,http://www.elkrivervaporshop.com/,2567835170,shane@elkrivervaporshop.com,2018-08-06,2019-04-03,,V,,,,
eVapor Shoppe,3211 Martin Luther King Jr Pkwy S,,Phenix City,AL,36869,US,http://evaporshoppe.com/,3342914000,evaporshoppe@att.net,2014-09-13,2019-04-02,,V,,,,
Everything Vape Kbm,1211 21st St,,Haleyville,AL,35565,US,,2054854666,,2021-01-02,,Yes,V,CBD,,,
Fairhope Hemp LLC,505 Fairhope Ave,,Fairhope,AL,36532,US,,2519281910,fairhopehemp@gmail.com,2021-01-02,,Yes,C,CBD,,,
Fame Package and Tobacco,1408 Highway 72 W,,Tuscumbia,AL,35674,US,,2562484806,,2019-04-15,2019-04-15,,T,,,,
