Shop Name,Address 1,Address 2,City,State/Province,Zip/Postcode,Country,Website,Phone,Email,Added,Updated,CBD,Biz Type,MJ,Kratom,Buyer name ,Title 
Cafe De Vapor,6311 DeBarr Rd Ste G,,Anchorage,AK,99504,US,http://cafedevapor.com/,9073388273,info@cafedevapor.com,2014-08-28,2019-03-28,,V,,,,
Cold Vapes 907,4505 Spenard Rd Ste B,,Anchorage,AK,99508,US,,9077179622,coldvapes907@gmail.com,2014-08-28,2019-03-29,,V,,,,
Fatboy Vapors - Anchorage,810 E 36th Ave,,Anchorage,AK,99503,US,http://www.fatboyvapors.com/,9075630366,alaska@fatboyvapors.com,2014-08-29,2019-03-20,,V,,,,
MJ's One Stop Vape Shop,171 Muldoon Rd Ste 110,,Anchorage,AK,99504,US,,9078653244,rmaryjramos@gmail.com,2014-10-06,2019-03-29,,V,,,,
Planet X Vapor & Smoke Shop,1087 W 27th Ave,,Anchorage,AK,99503,US,http://www.planetxalaska.com/,9073376653,planetxspenard@gmail.com,2018-11-23,,,S,,Yes,,
Releaf Alaska,910 W International Airport Rd,,Anchorage,AK,99518,US,https://releafak.com/,9072505453,releafak@gci.net,2019-08-17,,Yes,C,CBD,,,
Wonderland Emporium,20828 Bill Stephens Dr,,Chugiak,AK,99567,US,,,wonderlandemporiumak@gmail.com,2021-07-16,2021-07-16,Yes,H,CBD,,,
Andy's Smoking Shop,201 Old Steese Hwy,,Fairbanks,AK,99701,US,,9073743040,,2018-06-10,2018-10-13,,S,,,,
Fatboy Vapors - Fairbanks,505 Old Steese Hwy Ste 126,,Fairbanks,AK,99701,US,http://shop.fatboyvapors.com,9073741330,fairbanks@fatboyvapors.com,2015-01-08,2019-03-29,,V,,,,
"Ice Fog Vapor, Inc",909 Cushman St Ste 101,,Fairbanks,AK,99701,US,http://www.icefogvapor.com/,9073281077,,2014-10-06,2019-03-29,,V,,,,
Smokin Deals,3588 Airport Way,,Fairbanks,AK,99709,US,,9074562020,richbarnes21@gmail.com,2019-01-05,,Yes,H,CBD,,,
Subterranea Reincarnated,3550 Airport Way Unit 208,,Fairbanks,AK,99709,US,,9076870641,dashthedbee@gmail.com,2020-02-23,,,H,,Yes,,
Spit Tobacco,1421 Ocean Dr Ste 5,,Homer,AK,99603,US,https://spit-tobacco.business.site/,9072262447,homerspittobacco@yahoo.com,2018-10-24,,Yes,S,CBD,,,
Acidni Avitas,1900 Crest St Ste 109,,Juneau,AK,99801,US,https://acidni-avitas.business.site/,9075866342,acidniavitas@alaska.net,2020-11-08,,Yes,S,CBD,Yes,,
Zootz Alor,209 Seward St,,Juneau,AK,99801,US,https://www.zootzalor.com/,9077899668,zootzalor@gmail.com,2018-08-28,2020-03-01,Yes,H,CBD,,,
Smokin Deals 3x,10821 Kenai Spur Hwy,,Kenai,AK,99611,US,,9076905500,,2019-01-05,,Yes,S,CBD,Yes,,
Alaskan Pipeline,352 Front St,,Ketchikan,AK,99901,US,,9072257473,thefoxhole@kpunet.net,2018-07-24,2019-07-30,,S,,,,
Discount Smoke Shop,340 Evergreen Ave,,Palmer,AK,99645,US,http://www.discountsmokeshop.com/,9077458814,,2018-10-21,,,S,,,,
SNJ GIFTS,216 4th Ave #,,Seward,AK,99664,US,,9074910685,snjgifts13@gmail.com,2018-12-03,2021-05-02,Yes,H,CBD,Yes,,
Buckshot & Bobby Pins,745 Broadway,,Skagway,AK,99840,US,,9079833850,buckshot.kristine@gmail.com,2018-12-19,2018-12-19,,S,,,,
5150 Vapes,44224 Sterling Hwy #2,,Soldotna,AK,99669,US,,9074200660,,2018-07-03,2019-07-22,,V,,,,
Lucky Raven Tobacco,36312 Irons Ave,,Soldotna,AK,99669,US,https://luckyraven.com/,9072606280,luckyraventobacco@gmail.com,2021-03-18,,Yes,S,CBD,,,
Mapes Vapes,43530 Kalifornsky Beach Rd Ste 2,,Soldotna,AK,99669,US,,9072626639,,2021-11-23,2021-11-23,,V,,,,
Smokin Deals Quatro,43421 Kalifornsky Beach Rd,,Soldotna,AK,99669,US,http://www.pieceofmind.net/,9072620466,,2018-11-01,,Yes,S,CBD,,,
Alaska Elixirs Vapes,711 W Parks Hwy,,Wasilla,AK,99654,US,https://www.alaskaelixirs.com/,9076313690,alaskaelixirs@gci.net,2018-07-03,2019-07-22,,V,,,,
Alaskan Sweet Vapes,224 Yenlo St #5,,Wasilla,AK,99654,US,http://www.aksweetvapes.com/,9073732839,articman1969@yahoo.com,2015-02-28,2019-03-20,,V,,,,
Fatboy Vapors - Wasilla,1261 S Seward Meridian Pkwy Unit K,,Wasilla,AK,99654,US,http://www.fatboyvapors.com/,9073738088,wasilla@fatboyvapors.com,2014-08-29,2019-03-29,,V,,,,
Smokin Deals TOO,2521 Mountain Village Dr Ste G,,Wasilla,AK,99654,US,,9073739215,,2019-01-05,2021-07-16,Yes,S,CBD,Yes,,
The Shack,163 W Herning Ave,,Wasilla,AK,99654,US,,9076310656,,2018-11-06,,,H,,,,
Up-N-Smoke 2.0,951 S Hermon Rd Ste 4,,Wasilla,AK,99654,US,,9073574545,upnsmoke2@mtaonline.net,2018-08-28,2021-07-16,,S,,Yes,,
