Shop Name,Address 1,Address 2,City,State/Province,Zip/Postcode,Country,Website,Phone,Email,Added,Updated,CBD,Biz Type,MJ,Kratom,Buyer name ,Title 
Your CBD Store - Ahwatukee,4802 E Ray Rd Ste 3,,Ahwatukee,AZ,85044,US,,4805818111,ahwatukee0062@cbdrx4u.com,2021-04-14,,Yes,C,CBD,,,
Oovape,3668 W. Anthem Way Ste B-150,,Anthem,AZ,85086,US,https://oovape.business.site/,6025751310,,2019-10-19,,,V,,,,
AJ Tobacco & Liquor,1601 Apache Trail,,Apache Junction,AZ,85120,US,,4809835383,,2019-07-16,,,S,,,,
Kings Up In Smoke & Beer Cave,10250 E Apache Trail,,Apache Junction,AZ,85120,US,,4809866589,,2020-08-04,,,S,,,,
Red Star Vape Smoke & CBD,2540 Apache Trail #103,,Apache Junction,AZ,85120,US,https://www.redstarvapor.com/,4802555586,feedback@redstarvapor.com,2020-01-30,2020-01-30,Yes,S,CBD,,,
Tobacco & Supplies,1000 Apache Trail #106,,Apache Junction,AZ,85120,US,http://tobacco-supplies.business.site/,4802880454,,2020-05-24,,Yes,S,CBD,,,
Everything Smoke,13514 S Sunland Gin Rd,,Arizona City,AZ,85123,US,,5204948095,everythingsmoke@hotmail.com,2019-10-21,,,S,,,,
Avondale Mini Mart Smoke Shop,10565 W Indian School Rd,,Avondale,AZ,85392,US,,6238726375,,2019-07-20,,,S,,,,
GK's Vapor Pub,13048 W Rancho Santa Fe Blvd #115,,Avondale,AZ,85392,US,http://www.gkvapors.com/,6239355358,,2018-08-06,2019-12-22,,V,,,,
High Life Smoke Shop,11345 W Buckeye Rd,,Avondale,AZ,85323,US,,6234781780,,2019-08-24,,,S,,,,
Jim's Smoke Shop & More,1450 N Dysart Rd #14,,Avondale,AZ,85323,US,,6232157299,,2019-09-20,,Yes,S,CBD,Yes,,
Smoke Away,1453 N Dysart Rd Ste 104,,Avondale,AZ,85338,US,,6234660041,,2018-12-10,,,S,,,,
V World,10030 W McDowell Rd #150,,Avondale,AZ,85392,US,,6235368533,,2018-08-12,2020-02-08,Yes,V,CBD,,,
Unlit Vapor Shop,600 W 4th St,,Benson,AZ,85602,US,,5207208050,unlitvapors@gmail.com,2018-09-19,,,V,,,,
Mels Bisbee Bodega,2 Main St,,Bisbee,AZ,85603,US,https://bisbeebodega.com/,5202496314,bisbee.bodega@gmail.com,2021-03-15,,Yes,O,CBD,,,
Vapor Solutions,24 Brewery Ave,,Bisbee,AZ,85603,US,http://www.arizonavaporsolutions.com/,5202551536,arizonavaporsolutions@gmail.com,2018-08-12,2020-02-08,,V,,,,
Royals Smoke Shop,34550 Old Black Canyon Hwy,,Black Canyon City,AZ,85324,US,https://royals-smoke-shop.business.site/,6025733683,,2020-02-10,2020-02-10,Yes,S,CBD,Yes,,
