Shop Name,Address 1,Address 2,City,State/Province,Zip/Postcode,Country,Website,Phone,Email,Added,Updated,CBD,Biz Type,MJ,Kratom,Buyer name ,Title 
Huny-B,402 Main St,,Arkadelphia,AR,71923,US,https://huny-b.com/,8702606981,info@huny-b.com,2021-02-09,,Yes,C,CBD,,,
Tobacco Outlet of Arkadelphia,107 S 26th St,,Arkadelphia,AR,71923,US,,8702452213,,2019-10-31,,Yes,T,CBD,,,
Tobacco World,2400 Pine St #980,,Arkadelphia,AR,71923,US,,5017572223,,2021-10-23,,Yes,T,CBD,,,
Vape City,2905 Pine St,,Arkadelphia,AR,71923,US,,5013212021,ecell02@yahoo.com,2019-05-09,,Yes,V,CBD,,,
Tobacco Town,903 N Church St,,Atkins,AR,72823,US,,4796411087,,2020-02-28,2020-02-28,,T,,,,
Up In Smoke Tobacco Store,3053 AR-367,,Austin,AR,72007,US,,5012866051,,2019-10-17,,Yes,S,CBD,,,
Tobacco SuperStore,2700 AR-367,,Bald Knob,AR,72010,US,http://tobaccosuper.com/,5017246212,,2020-03-01,,Yes,T,CBD,,,
1-Stop Tobacco Shop,650 Lawrence St,,Batesville,AR,72501,US,,8703070764,facebook@1stoptobacco.com,2019-07-12,,,T,,,,
Smokes Tobacco Warehouse #7,2285 Harrison St,,Batesville,AR,72501,US,,8709552066,,2020-01-13,2021-07-14,Yes,T,CBD,,,
Vapor Maven,13 Eagle Mountain Blvd,,Batesville,AR,72501,US,,8705698190,,2019-09-24,2019-09-25,Yes,V,CBD,,,
Alford Tobacco,1400 W Dewitt Henry Dr,,Beebe,AR,72012,US,,5018823321,,2018-06-09,2018-10-12,,T,,,,
Vapor Maven,1910 W Dewitt Henry Dr,,Beebe,AR,72012,US,https://www.vapormaven.com/,5012329591,vapormaven@gmail.com,2018-01-10,2019-01-21,Yes,V,CBD,,,
CBD of Bella Vista,3401 Bella Vista Way,,Bella Vista,AR,72714,US,,2282387573,rich@richwilens.com,2020-11-27,,Yes,C,CBD,,,
Tobacco Mart 2,1024 Military Rd,,Benton,AR,72015,US,,5017784850,,2020-07-13,,Yes,S,CBD,,,
Tobacco SuperStore,1201 Military Rd #4,,Benton,AR,72015,US,https://tobaccosuper.com/main/,5017761100,,2018-08-06,2019-12-10,Yes,T,CBD,,,
Vapor Stop,1016 Military Rd,,Benton,AR,72015,US,https://www.vaporstop.com/,5018606101,,2018-08-06,2020-01-08,Yes,V,CBD,,,
Vapor World Benton,1205 Military Rd Ste C,,Benton,AR,72015,US,http://vaporworldcentralark.com/,5013164048,vaporworldlittlerock@gmail.com,2018-08-06,2020-01-09,Yes,V,CBD,,,
Wonderland,2124 Military Rd Ste B,,Benton,AR,72015,US,https://wonderlandbenton.business.site/,5015756266,,2021-10-22,,,S,,,,
CBD Plus USA - Bentonville,1001 SW Regional Airport Blvd Ste 5,,Bentonville,AR,72712,US,https://cbdplususa.com/,83342237580200,,2019-08-14,,Yes,C,CBD,,,
Lit Premium Smoking Supplies,1200 SE 14th St Ste 4,,Bentonville,AR,72712,US,https://www.litsmokingsupplies.com/,4793640074,litsmokingsupplies@gmail.com,2021-03-18,,Yes,S,CBD,,,
Purely Natural CBD,1406 S Walton Blvd Ste 6,,Bentonville,AR,72712,US,https://purelynaturalonline.com/,4795537024,purelynaturalcbd@gmail.com,2021-02-05,2021-02-05,Yes,C,CBD,,,
Smooth Vapes,1406 S Walton Blvd Ste 15,,Bentonville,AR,72712,US,http://www.smooth-vapes.com/,4792685700,smoothvapes@gmail.com,2018-08-06,2020-01-01,Yes,V,CBD,,,
Vapor World - Bentonville,100 SW 14th St,,Bentonville,AR,72712,US,http://www.vaporworldstore.com/,4795537979,info@vaporworldstore.com,2019-10-02,,Yes,V,CBD,,,
Tobacco Outlet,310 S Main St #A,,Berryville,AR,72616,US,,8704234333,,2020-07-14,,Yes,S,CBD,,,
Vapor Maven,928 W Trimble Ave Ste C1,,Berryville,AR,72616,US,https://vapormaven.com,8705052049,,2020-12-13,,Yes,V,CBD,,,
Blytheville Tobacco,1021 E Main St,,Blytheville,AR,72315,US,,8708388248,,2019-11-06,,,T,,,,
Chuckin' Clouds Vape Lounge,825 E Main St Ste J,,Blytheville,AR,72315,US,https://www.chuckinclouds.com/,8702785390,,2018-08-06,2020-01-12,Yes,V,CBD,,,
J & J Discount Tobacco Shop,330 E Main St,,Booneville,AR,72927,US,,4796753047,,2019-12-12,,,T,,,,
Henard 1 Stop Tobacco Shop,1215 N Main St,,Brinkley,AR,72021,US,,8707342378,,2019-12-08,,Yes,T,CBD,,,
Emerald's Triangle,11131 US-49 Unit 1,,Brookland,AR,72417,US,https://www.emeralds-triangle.com/,8707618422,info@shamansreach.com,2018-08-06,2019-09-16,Yes,H,CBD,,,
All-In Vapors,6221 AR-5 Ste 1,,Bryant,AR,72022,US,https://www.facebook.com/allin.vapors/,5018473211,allinvapors@att.net,2018-06-09,2019-03-12,,V,,,,
Serenity Vapes,3116 Horizon Dr,,Bryant,AR,72022,US,,5018470088,serenityvapes123@yahoo.com,2018-08-06,2020-01-01,Yes,V,CBD,,,
Tobacco Shack,1800 N Reynolds Rd #2,,Bryant,AR,72022,US,,5018473522,,2020-04-28,,,T,,,,
Vapor World + CBD Bryant,5313 AR-5 Ste 330,,Bryant,AR,72022,US,http://vaporworldcentralark.com/,5012130336,vaporworldlittlerock@gmail.com,2018-08-07,2020-01-22,Yes,V,CBD,,,
Alford Tobacco Store,521 W Main St #A,,Cabot,AR,72023,US,,5019413179,,2018-07-24,2019-05-17,,T,,,,
Bad Boyz Vaporz,521 W Main St Ste B,,Cabot,AR,72023,US,https://badboyzvaporz.com/ageverify,5019413510,,2018-06-09,2019-06-21,,V,,,,
Drippers Vape Shop - Cabot,1435 S Pine St,,Cabot,AR,72023,US,http://drippersvapeshop.com/,5012866068,drippersvapeshop@gmail.com,2018-01-10,2019-02-01,Yes,V,CBD,,,
One Stop Tobacco Shop,1423 S 2nd St,,Cabot,AR,72023,US,,5019413617,,2020-02-01,2020-02-01,Yes,S,CBD,,,
The CBD Store at Cabot,10721 AR-5,,Cabot,AR,72023,US,,5016056701,cbdorganiks@gmail.com,2020-12-19,,Yes,C,CBD,,,
Vmart,3052 S 2nd St,,Cabot,AR,72023,US,,5014226666,,2021-10-23,,,O,,,,
Willy's Vapor Cafe,2051 W Main St Ste B,,Cabot,AR,72023,US,,5013391648,,2018-08-06,2019-09-15,,V,,,,
Fairview Tobacco Warehouse,1085 Fairview Rd SW #6434,,Camden,AR,71701,US,https://fairview-tobacco-wearhouse.business.site/,8704544455,,2021-01-02,2021-01-02,Yes,S,CBD,,,
High Notes,113 Garden Oaks Dr,,Camden,AR,71701,US,,8708187881,highnoteshemp@gmail.com,2022-02-07,2022-02-07,Yes,C,CBD,,,
Starfire Studio Glass,972 W Washington St,,Camden,AR,71701,US,,8703123869,,2018-11-17,2019-02-01,Yes,H,CBD,,,
The Vapor Shop,220 Garden Oaks Dr SW,,Camden,AR,71701,US,https://www.thevaporshopar.com/,8708364513,,2018-09-28,2019-11-03,Yes,V,CBD,,,
Tobacco Station USA,100 Garden Oaks Dr SW,,Camden,AR,71701,US,http://tobacco-station-usa.business.site/,8708371011,,2020-02-28,,,T,,,,
Tobacco SuperStore,940 Cash Rd SW,,Camden,AR,71701,US,https://tobaccosuper.com/main/,8708371699,,2018-08-06,2019-12-10,Yes,T,CBD,,,
Tobacco Superstore,203 N Court St,,Carlisle,AR,72024,US,http://tobaccosuper.com/,8705529215,,2020-03-02,,,T,,,,
Happy Daze,421 W Centerton Blvd,,Centerton,AR,72719,US,,4792244546,happydazenwa@yahoo.com,2018-11-02,,Yes,H,CBD,,,
Tobacco Outlet,506 S Crawford St,,Clarksville,AR,72830,US,,4797547074,,2019-11-29,,,T,,,,
Tobacco Town Clarksville,211 S Rogers St,,Clarksville,AR,72830,US,,4797050688,,2020-02-28,,Yes,T,CBD,,,
Vapor Maven Clarksville,1229 Market St,,Clarksville,AR,72830,US,https://www.vapormaven.com/,4797051225,vapormaven@gmail.com,2018-01-10,2019-01-21,Yes,V,CBD,,,
Lake Vapors,1303 US-65 Ste 1,,Clinton,AR,72031,US,,5017458699,,2019-12-28,2019-12-28,Yes,V,CBD,,,
Tobacco World,119 Ingram St,,Clinton,AR,72031,US,,5017457680,,2020-02-19,2020-02-19,,T,,,,
Crazy J's,2625 Donaghey Ave Ste #110,,Conway,AR,72032,US,,5012058596,crazyjconway@yahoo.com,2018-08-06,2021-10-20,Yes,S,CBD,,,
Oak St Tobacco Express,511 Oak St,,Conway,AR,72032,US,https://oak-st-tobacco-express.business.site/,5015046919,,2021-04-30,,,T,,,,
Righteous Remedies,1205 Front St,,Conway,AR,72032,US,http://www.shoprighteousremedies.com,5013586290,righteousremedies@outlook.com,2020-07-16,,Yes,C,CBD,,,
That 70's Store,404 US-65 N,,Conway,AR,72032,US,http://www.that70sstore.com/,5015483500,that70sstore@alliancecable.net,2018-12-23,2020-04-16,Yes,H,CBD,,,
Tobacco Corner Plus - Donaghey,2665 Donaghey Ave #109,,Conway,AR,72032,US,,5014509985,,2020-03-14,2022-01-27,Yes,S,CBD,,,
