Shop Name,Address 1,Address 2,City,State/Province,Zip/Postcode,Country,Website,Phone,Email,Added,Updated,CBD,Biz Type,MJ,Kratom,Buyer name ,Title 
Dragon 2 Smoke Shop,11336 Bartlett Ave #4,,Adelanto,CA,92301,US,,7602465585,,2019-08-24,,,S,,,,
Red Dragon Smoke Shop,11965 Cactus Rd,,Adelanto,CA,92301,US,,7602467643,,2020-02-08,,,S,,,,
CBD Comfort Zone,5647 Kanan Rd,,Agoura Hills,CA,91301,US,https://cbdcomfortzone.com/,8183181222,info@cbdcomfortzone.com,2020-06-21,,Yes,C,CBD,,,
Sam's Tobacco Store,30688 Thousand Oaks Blvd,,Agoura Hills,CA,91301,US,,8185759045,,2018-10-03,,Yes,T,CBD,,,
Ozone,1431 Park St Ste B,,Alameda,CA,94501,US,,5105232547,,2018-10-03,,Yes,S,CBD,,,
Tobacco Superstore,841 Marina Village Pkwy,,Alameda,CA,94501,US,https://tobaccosuper.com/main/,5105238300,,2018-09-20,2021-06-15,,S,,,,
Better Cloud Vapor,600 San Pablo Ave #105,,Albany,CA,94706,US,,5102805669,,2014-09-21,2019-03-24,,V,,,,
Cigarette Discounter$,1079 San Pablo Ave #96,,Albany,CA,94706,US,,5105254223,,2018-08-06,2019-09-04,,S,,,,
Super Vape Alhambra,200 N Huntington Dr,,Alhambra,CA,91801,US,http://www.supervapealhambra.com/,6262812800,supervapealhambra@gmail.com,2018-08-06,2020-01-02,Yes,V,CBD,,,
White Mountain,1703 W Valley Blvd,,Alhambra,CA,91803,US,,6262823508,whitemountainsmoke@yahoo.com,2019-06-27,,,S,,,,
E-Cig Vault,27058 La Paz Rd,,Aliso Viejo,CA,92656,US,https://www.ecigvault.com/,9492734447,info@ecigvault.com,2018-08-06,2019-12-16,Yes,V,CBD,,,
Alpine Smoke And Vape,2130 Arnold Way,,Alpine,CA,91901,US,,6196122287,,2021-12-02,2021-12-02,Yes,S,CBD,,,
Mt. Hempire,2535 Alpine Blvd Ste 2,,Alpine,CA,91901,US,https://www.mthempire.com/,6197221775,mountainhempire@gmail.com,2020-11-12,,Yes,C,CBD,,,
Sam Cigar and Smoke,1730 Alpine Blvd Ste 115,,Alpine,CA,91901,US,,6197226204,,2020-02-13,,,S,,,,
Cigarette Saving #1,9620 Baseline Rd,,Alta Loma,CA,91701,US,,9094666444,,2021-12-29,2021-12-29,,S,,,,
M J Smoke Shop,10431 Lemon Ave Ste C,,Alta Loma,CA,91737,US,,9099417401,,2022-04-21,2022-04-21,,S,,,,
Ace Smoke Shop,2501 Lake Ave,,Altadena,CA,91001,US,,6262960273,,2018-09-18,,Yes,S,CBD,Yes,,
Al Pacino Smoke Shop,585 S Knott Ave,,Anaheim,CA,92804,US,,7148862142,,2021-12-02,2021-12-02,Yes,S,CBD,Yes,,
Alibaba 40 Flavors Smoke Shop,2424 W Ball Rd #R,,Anaheim,CA,92804,US,,7146163303,,2021-11-28,2021-11-28,,T,,,,
Anaheim Smoke and Vape Shop,1674 W Lincoln Ave,,Anaheim,CA,92801,US,,7145333534,,2021-11-28,2021-11-28,Yes,S,CBD,Yes,,
Anaheim Smoke House,947 N Euclid St,,Anaheim,CA,92801,US,,7142841140,,2018-06-12,2018-10-13,,S,,,,
Astro Smoke and Vape Shop,3448 W Lincoln Ave,,Anaheim,CA,92801,US,https://astro-smoke-and-vape-shop.business.site/,7145271005,,2021-12-03,2021-12-03,Yes,S,CBD,Yes,,
B & B Smoke Shop,3136 W Lincoln Ave #C,,Anaheim,CA,92801,US,,7148862554,,2021-12-03,2021-12-03,,S,,,,
Cali Smoke,411 S Brookhurst St,,Anaheim,CA,92804,US,,7142035183,,2020-12-28,,Yes,S,CBD,,,
Cali Smoke & Vape,252 S Euclid St,,Anaheim,CA,92802,US,,6574560007,,2022-02-28,2022-02-28,,S,,,,
Cigar House,172 W Lincoln Ave,,Anaheim,CA,92805,US,,7142540609,,2022-04-04,2022-04-04,,S,,,,
Cloud 9 Smoke Shop,1440 S Anaheim Blvd #D-23,,Anaheim,CA,92805,US,,9094622408,,2019-08-26,2019-08-26,,H,,,,
Clouds Smoke Shop,327 S Magnolia Ave,,Anaheim,CA,92804,US,https://cloudshookahandsmoke.business.site/,6572142363,cloudshookah.smoke@gmail.com,2022-03-08,2022-03-08,Yes,S,CBD,Yes,,
Crescent Smoke Shop & Vape,538 N Magnolia St,,Anaheim,CA,92801,US,,7142292201,,2019-04-03,,,S,,,,
Dream Tobacco,874 S Brookhurst St,,Anaheim,CA,92804,US,,7149914292,,2018-08-06,2019-05-23,,S,,,,
Euclid Smoke & Vape,875 S Euclid St,,Anaheim,CA,92802,US,,7146037603,,2021-06-20,,Yes,S,CBD,,,
George Cigar,804 S Anaheim Blvd,,Anaheim,CA,92805,US,https://www.georgecigar.com/,7147801195,info@georgecigar.com,2022-05-02,2022-05-02,Yes,S,CBD,,,
Gift & Smoke Shop,2840 Lincoln Ave Ste E,,Anaheim,CA,92806,US,,7142380008,,2019-11-11,,,S,,,,
Golden Crown Smoke and Vape Shop,1200 S Brookhurst St,,Anaheim,CA,92804,US,,7149911011,,2019-11-11,2021-06-27,Yes,S,CBD,,,
Harbor Smoke Shop,853 S Harbor Blvd,,Anaheim,CA,92805,US,https://harbor-smoke-shop.business.site/,7144853669,,2020-01-29,,Yes,S,CBD,,,
Illusions Smoke Shop,1101 W Lincoln Ave Ste 175,,Anaheim,CA,92805,US,,7146037957,,2018-10-29,,Yes,S,CBD,Yes,,
J&J Hookah's Tobacco Smoke Shop,1671 W Katella Ave Ste 110,,Anaheim,CA,92802,US,,7148676752,,2021-12-05,2021-12-05,,S,,,,
Lucky Smoke Shop,10678 Katella Ave,,Anaheim,CA,92804,US,,7144911410,,2020-01-02,,,S,,,,
Master Tobacco Plus,5749 E La Palma St,,Anaheim,CA,92807,US,,7147770454,,2021-11-29,2021-11-29,Yes,S,CBD,Yes,,
Maya Vape And Smoke Shop,700 W Orangewood Ave Ste 2,,Anaheim,CA,92802,US,https://maya-vape-and-smoke-shop.business.site/,7145615341,,2018-09-25,,,V,,,,
OC Smoke And Vape,1284 S Magnolia Ave,,Anaheim,CA,92804,US,,,,2022-04-26,2022-04-26,,S,,,,
Premium Tobacco,5051 E Orangethorpe Ave Ste F,,Anaheim,CA,92807,US,,7147019279,,2021-12-16,2021-12-16,,S,,,,
Puffy Smoke Shop,2520 W Lincoln Ave,,Anaheim,CA,92801,US,,7147236748,,2020-11-08,,Yes,S,CBD,,,
Reefers Smoke Shop,1773 1/2 W Lincoln Ave,,Anaheim,CA,92801,US,,7146163205,reeferssmokeshop@hotmail.com,2018-11-23,2020-02-08,Yes,S,CBD,,,
Rodeo Smoke Shop OC,52 E Orangethorpe Ave,,Anaheim,CA,92801,US,https://rodeosmokeshop.com,7144479288,rodeosmokeshopoc@gmail.com,2018-12-28,,Yes,S,CBD,Yes,,
Sam's Smoke & Vape,5031 E Orangethorpe Ave,,Anaheim,CA,92807,US,,7143403222,,2018-10-03,,,S,,,,
Smokeyz Smoke Shop,410 Euclid St Ste 7,,Anaheim,CA,92802,US,http://smokeyz-smoke-shop.business.site/,7147788950,,2019-10-09,,Yes,S,CBD,Yes,,
Smokie Dokie Smoke Shop,689 N Euclid St,,Anaheim,CA,92801,US,,7146355584,,2018-09-13,,,S,,,,
The Glass Warehouse,430 S State College Blvd,,Anaheim,CA,92806,US,,7146350420,,2019-10-24,,Yes,H,CBD,,,
Tobacco & Gift Shop,1057 N State College Blvd,,Anaheim,CA,92806,US,,7147721633,,2021-12-17,2021-12-17,,S,,,,
USA Tobacco,2113 E Ball Rd,,Anaheim,CA,92806,US,,7145333117,,2022-02-03,2022-02-03,,S,,,,
Vape Works,5642 E La Palma Ave #102,,Anaheim,CA,92807,US,,7147797221,,2018-09-09,2020-03-22,Yes,V,CBD,Yes,,
VAPEFORIC,2624 W La Palma Ave,,Anaheim,CA,92801,US,,6572142659,,2022-04-12,2022-04-12,,V,,,,
Vapor Store Smoke Shop,500 N Brookhurst St #101,,Anaheim,CA,92801,US,,7147801150,vaporstore101@gmail.com,2018-09-05,2020-03-06,Yes,V,CBD,,,
Wonderland Smoke Shop,2790 W Ball Rd,,Anaheim,CA,92804,US,,7147611242,,2019-09-09,,,S,,,,
World Smoke Shop,512 S Brookhurst St Unit 2,,Anaheim,CA,92804,US,https://www.worldsmokeshop.co/,7145633124,,2019-09-09,,Yes,S,CBD,Yes,,
Flawless Vape Shop,5589 E Santa Ana Canyon Rd,,Anaheim Hills,CA,92807,US,https://www.flawlessvapeshop.com/,7149988298,flawlessvapeshop@gmail.com,2018-08-06,2019-12-21,Yes,V,CBD,,,
Anderson Vapes & Smokes,1808 CA-273,,Anderson,CA,96007,US,https://anderson-vapes-n-smokes.business.site/,5307763077,,2021-12-03,2021-12-03,Yes,S,CBD,Yes,,
D & K Smoke Shop,2903 North St,,Anderson,CA,96007,US,,5303654200,,2019-09-02,,,S,,,,
Smoke 4 Less,5030 Rhonda Rd,,Anderson,CA,96007,US,,5303642290,,2019-12-27,,Yes,S,CBD,,,
Tobbacco & More,2619 Balls Ferry Rd,,Anderson,CA,96007,US,,5303651626,,2020-02-18,,Yes,S,CBD,,,
Smokin',422 N Main St,,Angels Camp,CA,95222,US,,2097362600,,2020-03-23,2020-03-23,,S,,,,
3 Monkeys Vape & Smokes,4400 Elverta Rd #130,,Antelope,CA,95843,US,https://threemonkeysmokes.com/,9165609216,support@threemonkeysmokes.com,2018-07-02,2021-12-11,Yes,S,CBD,,,
Puff N Up Vape And Tobacco Shop,7943 Watt Ave,,Antelope,CA,95843,US,,9163492786,,2018-08-06,2019-08-24,,S,,,,
Antioch Smoke Shop,3708 Lone Tree Way,,Antioch,CA,94509,US,http://www.antiochsmokeshop.com/,9257531519,,2018-08-06,2019-08-06,,S,,,,
Buchanan Smoke Shop,2329 Buchanan Rd Unit A,,Antioch,CA,94509,US,,9257541860,,2018-10-15,,,S,,,,
Cigarettes 4 Less,2727 Hillcrest Ave,,Antioch,CA,94531,US,,9257771690,,2018-11-07,,,S,,,,
Cigarettes 4 Less,3142 Contra Loma Blvd,,Antioch,CA,94509,US,,9257542990,,2022-01-03,2022-01-03,Yes,S,CBD,Yes,,
Delta Square Smoke Shop,3608 Delta Blvd,,Antioch,CA,94509,US,,9253032311,,2021-12-11,2021-12-11,Yes,S,CBD,Yes,,
Downtown Smoke Shop,1515 A St,,Antioch,CA,94509,US,https://downtown-smoke-shop.business.site/,9257323955,,2019-10-08,,,S,,,,
Tower Zone Smoke Shop,401 Sunset Dr Ste C,,Antioch,CA,94509,US,,9254703551,,2018-08-21,2021-06-13,Yes,S,CBD,Yes,,
Tower Zone Smoke Shop,2717 Contra Loma Blvd,,Antioch,CA,94509,US,,9257779322,,2018-11-23,,Yes,S,CBD,,,
A.V. Smoke Shop,20410 CA-18,,Apple Valley,CA,92307,US,,9517868207,,2021-11-28,2021-11-28,Yes,S,CBD,Yes,,
Apple Valley Smoke Shop,20783 Bear Valley Rd Ste D,,Apple Valley,CA,92308,US,,7602400512,,2021-11-29,2021-11-29,,S,,Yes,,
AV Smoke Shop,12289 Apple Valley Rd,,Apple Valley,CA,92308,US,,7602473300,,2018-10-14,2021-11-28,,S,,,,
