Shop Name,Address 1,Address 2,City,State/Province,Zip/Postcode,Country,Website,Phone,Email,Added,Updated,CBD,Biz Type,MJ,Kratom,Buyer name ,Title 
DaggleBeez,167 Broadway Ave,,Alamosa,CO,81101,US,https://dagglebeez.com/,7192987093,,2020-12-04,,Yes,C,CBD,,,
Arvada Smoke Shop,5087 W 64th Ave,,Arvada,CO,80003,US,,3034238387,,2019-07-19,,,S,,,,
CBD American Shaman Arvada,6695 Wadsworth Blvd Ste C,,Arvada,CO,80003,US,https://cbdamericanshaman.com/,7205832793,arvada.americanshaman@gmail.com,2019-11-08,,Yes,C,CBD,,,
Cignot Arvada,6418 Ward Rd,,Arvada,CO,80004,US,http://www.cignotcolorado.com/,3034218273,info@cignotcolorado.com,2018-08-06,2020-01-12,,V,,,,
Colorado Vape And Toke,14705 W 64th Ave,,Arvada,CO,80004,US,,3034216891,,2022-01-02,2022-01-02,Yes,V,CBD,,,
Kratom Cafe USA,7701 Ralston Rd,,Arvada,CO,80002,US,https://kratomcafeusa.com/,8006170105,info@kratomcafeusa.com,2020-07-17,,Yes,O,CBD,,,
Smash Glass And Vape,6385 Wadsworth Blvd,,Arvada,CO,80003,US,http://smashglassandvape.com/,3034244040,,2019-05-07,2020-01-31,Yes,H,CBD,Yes,,
Smoker Friendly,7540 Sheridan Boulevard,,Arvada,CO,80003,US,http://smokerfriendly.com/,3036505008,,2020-01-13,2020-01-13,Yes,S,CBD,,,
Vapor Clouds,6470 Wadsworth Byp,,Arvada,CO,80003,US,,7206127833,vaporcloudsco@gmail.com,2018-08-25,2020-02-24,,V,,,,
Grassland Hemp Co.,213 US-85,,Ault,CO,80610,US,https://grasslandhc.com/,9705901921,grasslandhempco@gmail.com,2021-01-14,,Yes,C,CBD,,,
Aurora Head Shop - Colorado Kratom Supply,15102 E Hampden Ave Ste A,,Aurora,CO,80014,US,https://vapeglassparker.com/,3038154639,auroraheadshop@gmail.com,2018-12-23,2020-02-03,Yes,H,CBD,Yes,,
Aurora Vape & Glass,13980 E Mississippi Ave,,Aurora,CO,80012,US,,7203356934,goldexchangetamarac@yahoo.com,2020-07-07,2020-07-07,Yes,H,CBD,Yes,,
"Cloud 9 Vape, Glass and Tobacco",14655 E Arapahoe Rd,,Aurora,CO,80016,US,,3036802412,sean@smokingcave.com,2022-03-08,2022-03-08,Yes,S,CBD,,,
Denver Electronic Cigarettes,2300 S Chambers Rd Unit G,,Aurora,CO,80014,US,https://denverelectroniccigarettes.com/,7207487524,sales@denverelectroniccigarettes.com,2018-10-21,2019-03-25,Yes,V,CBD,,,
Evaporation Vape Shoppe,15224 E Hampden Ave,,Aurora,CO,80014,US,http://www.evaporationvapeshoppe.com/,7208087080,evaporationvapeshoppe@yahoo.com,2019-04-11,,,V,,,,
Flex Nutrition,6150 S Main St #102,,Aurora,CO,80016,US,,3039746420,flexnutritionhw@gmail.com,2019-12-07,,Yes,C,CBD,,,
Inno-Vapor Digital,3571 S Tower Rd Unit C,,Aurora,CO,80013,US,https://www.inno-vapor.com/,7205506609,vapeitcolorado@gmail.com,2014-10-05,2019-12-25,,V,,,,
Myxed Up Creations,1718 S Chambers Rd,,Aurora,CO,80017,US,https://www.myxedup.com/,3036959500,info@myxedup.com,2018-09-30,2018-11-12,,H,,,,
N2 Vapes,6180 S Gun Club Rd Unit L5,,Aurora,CO,80016,US,https://n2vapes.com/,3034003357,info@n2vapes.com,2018-09-30,,,V,,,,
Perfect Alternatives - Aurora,13760 E Quincy Ave Ste 8-B,,Aurora,CO,80015,US,https://www.perfectalternatives.com/,3036932578,perfectalternatives@mail.com,2019-05-07,,Yes,V,CBD,,,
