Shop Name,Address 1,Address 2,City,State/Province,Zip/Postcode,Country,Website,Phone,Email,Added,Updated,CBD,Biz Type,MJ,Kratom,Buyer name ,Title 
Fine Cigar & Tobacco House,192 W Main St,,Avon,CT,6001,US,,8604042788,finecigarandtobaccohouse@hotmail.com,2019-10-24,,Yes,S,CBD,Yes,,
Natures Gifts CBD,304 W Main St,,Avon,CT,6001,US,http://www.natruresgifts-usa.com,8609954444,andy@naturesgifts-usa.com,2020-01-13,2020-01-13,Yes,C,CBD,,,
Your CBD Store,41 E Main St,,Avon,CT,6001,US,https://cbdrx4u.com/find-us/connecticut/avon,8602557101,avon610@cbdrx4u.com,2021-06-02,,Yes,C,CBD,,,
Grassy Plain Vape & Smoke,39 Grassy Plain St #A,,Bethel,CT,6801,US,http://www.grassyplain.com/,2039173597,grassplainvape@gmail.com,2018-10-16,2018-10-16,Yes,S,CBD,,,
Stony Hill Cigar And Smoke Shop,68 Stony Hill Rd,,Bethel,CT,6801,US,,3024566324,stonyhillcigars@gmail.com,2020-09-18,,,S,,Yes,,
Better Ways,1122 Main Street,,Branford,CT,6405,US,https://betterwayscbd.com/,2034332311,betterwayscbd@gmail.com,2020-03-23,,Yes,C,CBD,,,
E-Six Vapors,869 W Main St,,Branford,CT,6405,US,http://www.esixvapors.com/,2032082227,sales@esixvapors.com,2014-08-28,2019-01-31,,V,,,,
Your CBD Store,885 W Main St #B,,Branford,CT,6405,US,https://cbdrx4u.com/find-us/connecticut/branford,2032084661,milfordct@cbdrx4u.com,2021-06-02,,Yes,C,CBD,,,
Bridgeport News,584 North Ave,,Bridgeport,CT,6606,US,,2033841150,bptnews.helio@gmail.com,2018-11-05,,Yes,S,CBD,Yes,,
Head To Toe,4322 Main St,,Bridgeport,CT,6606,US,https://www.h2tsmokeshop.com/,2033749441,,2018-08-10,2020-02-05,Yes,S,CBD,,,
Puff City Bridgeport,575 E Main St,,Bridgeport,CT,6608,US,https://www.puffcity.com/,2819030868,puffcitybridgeport@gmail.com,2020-08-09,2020-08-09,Yes,S,CBD,Yes,,
Smoke & More,4106 Main St,,Bridgeport,CT,6606,US,,2036901465,smoke.print.universe@gmail.com,2018-08-06,2019-11-08,,S,,,,
Stoked,3389 Fairfield Ave,,Bridgeport,CT,6605,US,https://stokedct.com/,2039084533,info@stokedct.com,2019-01-13,,Yes,H,CBD,,,
Tony's Smoke Shop,2738 Main St,,Bridgeport,CT,6606,US,,2033678558,,2020-02-01,2020-12-29,,T,,,,
Your CBD Store,3030 Fairfield Ave,,Bridgeport,CT,6605,US,https://cbdrx4u.com/find-us/connecticut/black-rock,2036128822,blackrock516@cbdrx4u.com,2020-12-07,,Yes,C,CBD,,,
Big Cat's Smoke Shop,274 Middle St,,Bristol,CT,6010,US,https://sevvie01.wixsite.com/bigcatssmokeshop,8602614340,,2019-07-24,,Yes,S,CBD,Yes,,
Tobacconist,1214 Farmington Ave,,Bristol,CT,6010,US,,8605848702,,2020-02-24,,,S,,,,
Your CBD Store,900 Farmington Ave,,Bristol,CT,6010,US,https://cbdrx4u.com,8609733434,bristol517@cbdrx4u.com,2020-12-07,,Yes,C,CBD,,,
CP Royale Tobacco & Vapor Store,355 Federal Rd,,Brookfield,CT,6804,US,http://royaletobacco.blogspot.com/,2037756325,rtcs235@gmail.com,2018-10-16,2019-03-20,Yes,S,CBD,Yes,,
OG Smoke And CBD,450 Federal Rd Unit 3,,Brookfield,CT,6804,US,https://ogsmokeandcbd.com/,2038850785,ddos70910@gmail.com,2022-03-28,2022-03-28,Yes,S,CBD,,,
Trading Post Music & Video,233 Albany Turnpike,,Canton,CT,6019,US,https://www.tradingpostct.com/,8606934679,tradingpostct@gmail.com,2018-08-10,2020-02-05,Yes,H,CBD,,,
Your CBD Store,1072 S Main St,,Cheshire,CT,6410,US,https://cbdrx4u.com/find-us/connecticut/cheshire,2038061254,cheshire669@cbdrx4u.com,2021-06-02,,Yes,C,CBD,,,
Your CBD Store,114 E Main St #3,,Clinton,CT,6413,US,https://cbdrx4u.com/find-us/connecticut/clinton,8606644636,,2021-06-02,,Yes,C,CBD,,,
U Vape,467 S Main St,,Colchester,CT,6415,US,http://uvapeus.com/,8606032148,,2018-08-26,2020-02-25,Yes,V,CBD,,,
Danbury Smoke Shop,128 Federal Rd,,Danbury,CT,6811,US,http://www.vaporandsmokeshop.com,2036287340,info@vaporandsmokeshop.com,2018-08-06,2019-09-08,,S,,,,
Putnam's Place,18 North St,,Danbury,CT,6810,US,,2037987228,putnams@comcast.net,2019-01-13,,Yes,H,CBD,,,
Resistance Vapor & Smoke,12 Mill Plain Rd,,Danbury,CT,6811,US,http://www.vaporandsmokeshop.com,4752893797,info@vaporandsmokeshop.com,2018-08-06,2020-01-15,Yes,S,CBD,,,
Stogey's Cigarette & Tobacco Outlet,71 Newtown Rd,,Danbury,CT,6810,US,,2037922447,,2019-05-19,,,T,,,,
Twilight Vapor,10 Hayestown Ave,,Danbury,CT,6810,US,,4753295939,twilightvapor@gmail.com,2018-08-10,2020-02-05,Yes,V,CBD,,,
Your CBD Store,52 Padanaram Rd,,Danbury,CT,6811,US,https://cbdrx4u.com/find-us/connecticut/danbury,2038267560,danbury555@cbdrx4u.com,2021-06-02,,Yes,C,CBD,,,
Vape Tek,157 Main St,,Danielson,CT,6239,US,http://www.myvapetek.com/,8605038273,,2014-10-04,2019-01-26,,V,,,,
"Your CBD Store - East Lyme, CT",170 Flanders Rd Ste D7,,Deep River,CT,6357,US,https://cbdrx4u.com/,8604512990,,2019-09-11,2019-09-11,Yes,C,CBD,,,
Derby Cigar Shop,656 New Haven Ave,,Derby,CT,6418,US,,2035165249,,2019-08-12,2019-08-12,,S,,,,
Valley Vapors of Connecticut,435 New Haven Ave,,Derby,CT,6401,US,https://valleyvaporsofconnecticut.com/,2033082323,valleyvaporsofconnecticut@gmail.com,2015-06-12,2019-01-27,Yes,V,CBD,,,
Berlin Smoke & Vape Shop,831 Mill St,,East Berlin,CT,6023,US,https://berlinsmoke.business.site/,8608291937,,2018-08-10,2020-02-05,,S,,,,
Belltown Smoke Shop,27 E High St,,East Hampton,CT,6424,US,http://www.belltownsmokes.com/,8603655416,,2019-07-22,,,S,,,,
CT Vapors,672 Foxon Rd,,East Haven,CT,6513,US,,2039859204,,2014-08-28,2021-10-26,Yes,V,CBD,,,
Puff City East Haven,228 Main St,,East Haven,CT,6512,US,https://www.puffcity.com/,4752346338,puffcityeasthaven@gmail.com,2020-08-09,2020-08-09,Yes,S,CBD,Yes,,
Smoker's Discount World,933 Foxon Rd,,East Haven,CT,6513,US,,2034692226,,2021-10-27,,,S,,,,
Tobacco Express,320 Main St Unit 3,,East Haven,CT,6512,US,,2034680200,,2021-10-28,2021-10-28,Yes,S,CBD,,,
