Shop Name,Address 1,Address 2,City,State/Province,Zip/Postcode,Country,Website,Phone,Email,Added,Updated,CBD,Biz Type,MJ,Kratom,Buyer name ,Title 
Lifeluxee,5125 Georgia Ave NW,,District Of Columbia,DC,20011,US,,2025975169,karmaclone@lifeluxee.org,2021-04-21,,Yes,H,CBD,,,
13 & U Smoke Shop,1351 U St NW,,Washington,DC,20009,US,https://washingtoncbdshop.com/,2029492375,,2022-01-04,2022-01-04,Yes,H,CBD,,,
"American Cigar, Tobacco & Vape",6450 Georgia Ave NW #B,,Washington,DC,20012,US,https://american-cigar-tobacco-vape.business.site/,2027227100,americancigar01@gmail.com,2022-01-04,2022-01-04,Yes,S,CBD,Yes,,
B & K Convenience Store and Smoke Shop,2414 18th St NW,,Washington,DC,20009,US,,2022340494,bandksmokeshop@gmail.com,2019-06-11,2021-12-21,Yes,S,CBD,,,
Bazaar Atlas,2405 18th St,,Washington,DC,20009,US,,2023324911,,2018-11-06,,,H,,,,
Capital Vape Supply,1007 U St NW,,Washington,DC,20001,US,https://capital-vape-supply.mycloveronline.com/,2022340603,capitalvapesupply@gmail.com,2018-02-08,2018-11-25,Yes,V,CBD,,,
Capitol Hemp,1770 Columbia Rd NW,,Washington,DC,20009,US,https://capitolhemp.com/,2028461934,info@capitolhemp.com,2018-07-24,2019-05-16,Yes,H,CBD,,,
District Hemp Botanicals,1323 Connecticut Ave NW 2nd Fl,,Washington,DC,20036,US,https://www.districthempstore.com/,2026004664,info@districthempstore.com,2020-12-22,,Yes,C,CBD,,,
Embers,1821 18th St NW,,Washington,DC,20009,US,https://embersdc.com/,2025251487,info@embersdc.com,2021-05-25,2021-05-25,Yes,H,CBD,,,
FunkyPiece Smoke Shop & Glass Gallery,2116 18th St NW,,Washington,DC,20009,US,http://www.funkypiece.com/category-s/1897.htm,2025063060,sales@funkypiece.com,2019-01-03,2019-01-17,Yes,H,CBD,,,
Funkypiece Smoke Shop & Glass Gallery,2801 M St NW,,Washington,DC,20007,US,https://www.funkypiece.com,2024147047,sales@funkypiece.com,2021-05-25,2021-08-14,Yes,S,CBD,,,
"Grass & Co. Smoke Shop, CBD Oil & CBD Flower",1730 Columbia Rd NW,,Washington,DC,20009,US,http://www.grassand.co,2025252373,haseeb@globebb.com,2020-06-05,2020-06-05,Yes,C,CBD,,,
"M Street Glass, Vape & CBD",1821 M St NW Fl 2,,Washington,DC,20036,US,https://www.mstreetglass.com/,2023224086,mstglassdc@gmail.com,2015-03-19,2019-05-03,Yes,H,CBD,,,
New Leaf Smoke Shop,416 H St NE,,Washington,DC,20002,US,http://www.newleafsmokeshop.com/,2023137826,,2020-01-27,2020-01-27,Yes,S,CBD,,,
Nomad Smoke Shop,1202 H St NE,,Washington,DC,20002,US,,2023266623,,2019-01-12,2022-03-11,Yes,S,CBD,,,
Qi Kratom CBD Tea,1517 U St NW,,Washington,DC,20009,US,https://www.qikratom.com/,2028470679,info@qikratom.com,2020-07-16,,Yes,C,CBD,Yes,,
