Shop Name,Address 1,Address 2,City,State/Province,Zip/Postcode,Country,Website,Phone,Email,Added,Updated,CBD,Biz Type,MJ,Kratom,Buyer name ,Title 
Fairwinds Cigarette Outlet,757 Pulaski Hwy,,Bear,DE,19701,US,http://fairwinds-cigarette-outlet.business.site/,3023224922,,2018-10-22,,,S,,,,
Tobacco Time,108 Fox Hunt Dr,,Bear,DE,19701,US,,3028383737,tobaccotime@outlook.com,2020-03-01,2020-03-01,,S,,,,
Delaware Vapor,2710 Philadelphia Pike,,Claymont,DE,19703,US,http://www.delawarevapor.com,3028344764,support@delawarevapor.com,2018-06-27,2019-07-09,Yes,V,CBD,,,
Ridge Smoke Shop,307 Ridge Rd,,Claymont,DE,19703,US,,3027467289,,2020-02-09,,,S,,,,
Tobacco Express,333 Naamans Rd Ste 30,,Claymont,DE,19703,US,https://tobaccoexpressstores.com/,3027987079,,2019-12-13,2019-12-13,Yes,T,CBD,,,
Delmar Vapor Lounge of Delmar,38660 Sussex Hwy Unit 2,,Delmar,DE,19940,US,http://delmarvapor.com/,3029070125,david@delmarvapor.com,2018-08-06,2019-07-07,Yes,V,CBD,,,
Joe's Tobacco Superstore #33,38627 Benro Dr #2,,Delmar,DE,19940,US,http://www.gotojoes.com/,3028462898,,2019-12-19,,,T,,,,
Oddz & Endz,38660 Sussex Hwy Unit 7,,Delmar,DE,19940,US,http://oe420.com/,3029070550,oe420@oe420.com,2018-11-18,,Yes,H,CBD,Yes,,
Cheswold News and Tobacco,62 Holly Oak Ln #1,,Dover,DE,19904,US,,3027477234,,2019-08-05,,,S,,Yes,,
Crystal Dragon,3050 N Dupont Hwy Ste C,,Dover,DE,19901,US,,3027301264,,2018-11-08,,,H,,,,
First State Vape,470 N Dupont Hwy,,Dover,DE,19901,US,,3028832245,firststatevapellc@yahoo.com,2014-10-01,2019-04-09,Yes,V,CBD,,,
Maxed Out Vape,529 S Red Haven Ln,,Dover,DE,19901,US,http://www.maxedoutvape.com/,3025385602,maxedoutvape@gmail.com,2019-05-03,2019-05-03,Yes,V,CBD,,,
Puffster,115 W Loockerman St,,Dover,DE,19904,US,http://puffster.com/,,info@puffster.com,2018-08-14,2020-02-10,Yes,H,CBD,Yes,,
Sully's Vapor,96 Salt Creek Dr Ste 1,,Dover,DE,19901,US,,3026749105,,2018-08-06,2019-10-21,,V,,Yes,,
Vape Nook,668 S Dupont Hwy,,Dover,DE,19901,US,,3028832425,vapenook668@gmail.com,2018-08-14,2020-02-11,Yes,V,CBD,,,
Your CBD Store,222 S Dupont Hwy Ste 101,,Dover,DE,19901,US,https://cbdrx4u.com,3024804474,dover563@cbdrx4u.com,2020-12-07,,Yes,C,CBD,,,
Mr. Wigz Smoke Shop,1100 Coastal Hwy #4,,Fenwick Island,DE,19944,US,,3022966485,,2018-12-17,,Yes,S,CBD,,,
302 Hemp Co,18751 Dupont Blvd,,Georgetown,DE,19947,US,https://302hemp.com/,3028544367,mikespray@302hemp.com,2020-11-14,,Yes,C,CBD,,,
SeaVapes,29 Georgetown Plz,,Georgetown,DE,19947,US,http://www.seavapes.net/,3022538135,,2018-08-14,2020-02-10,Yes,V,CBD,,,
Dragon's Lair Inc.,26453 Lewes-Georgetown Hwy,,Harbeson,DE,19951,US,,3026844620,youradultstoreattheshore@gmail.com,2018-11-21,,,H,,,,
Harrington Cigarette Outlet,1000 Midway Dr Ste 10,,Harrington,DE,19952,US,,3023987881,,2018-10-22,,,S,,,,
The Smoke Shack,515 Shaw Ave,,Harrington,DE,19952,US,,3025666074,,2019-06-20,,Yes,S,CBD,Yes,,
Hockessin Books & Tobacco,214 Lantana Dr,,Hockessin,DE,19707,US,,3022394224,hobotobacco@aol.com,2018-10-22,2019-04-09,Yes,T,CBD,,,
Summit High Smoke Shop,4446 Summit Bridge Rd,,Middletown,DE,19709,US,,3023766000,,2020-01-09,,,S,,,,
Delmar Vapor Lounge of Milford,155 Aerenson Dr,,Milford,DE,19963,US,http://www.delmarvapor.com/,3024914087,milfordde@delmarvapor.com,2018-08-06,2019-12-15,,V,,,,
Euphoric Herbals Apothecary,621 N Dupont Blvd,,Milford,DE,19963,US,https://www.delawareapothecary.com/,3024914443,hello@delawareapothecary.com,2019-09-10,,Yes,C,CBD,,,
Milford Plaza Cigarette Outlet,676 N Dupont Blvd #A,,Milford,DE,19963,US,,3024248061,,2019-07-02,,,T,,,,
Back Bay Tobacco,26396 Bay Farm Rd Unit 6,,Millsboro,DE,19966,US,http://www.backbaytobacco.com/,3029471199,backbaytobacco@gmail.com,2019-07-21,,,S,,,,
Delmar Vapor Lounge of Millsboro,28521 Dupont Blvd Ste 4,,Millsboro,DE,19966,US,http://www.delmarvapor.com,3026630672,david@delmarvapor.com,2018-06-27,2019-07-07,,V,,,,
L & L Retro,32564 Long Neck Rd,,Millsboro,DE,19966,US,,3024304291,landlretro@gmail.com,2019-12-27,2020-03-26,Yes,O,CBD,,,
Deep Tobacco Outlet,214 New Castle Ave,,New Castle,DE,19720,US,,3025436092,,2019-09-10,,,T,,,,
Stateline Cigarette Outlet,2076 New Castle Ave,,New Castle,DE,19720,US,,3027775144,,2018-10-24,,,T,,,,
Tobacco Express,1609 N Dupont Hwy,,New Castle,DE,19720,US,http://www.tobaccoexpressstores.com/,3023951602,,2020-07-05,,Yes,S,CBD,,,
Tobacco Field II,1102 N DuPont Hwy,,New Castle,DE,19720,US,http://tobaccofieldcigars.com/,3023270800,burn@tobaccofieldcigars.com,2020-07-05,2020-07-05,,T,,,,
Unreal Vapors New Castle,1418 N DuPont Hwy,,New Castle,DE,19720,US,http://www.unrealvapors.com,3023222600,support@unrealvapors.com,2018-08-14,2020-02-11,Yes,V,CBD,,,
All in One Smoke Shop,223 E Main St,,Newark,DE,19711,US,http://allin1smokeshop.com/,3023681034,customer@allinonesmokeshop.com,2018-08-06,2019-07-31,Yes,S,CBD,,,
Delaware Vapor,510 Peoples Plaza,,Newark,DE,19702,US,http://www.delawarevapor.com/,3028344764,support@delawarevapor.com,2014-09-03,2019-04-09,Yes,V,CBD,,,
EZ Mart,121 S Main St,,Newark,DE,19711,US,,3022733188,,2021-09-15,2021-09-15,,S,,Yes,,
Frolic On Main St,170 E Main St Ste 2,,Newark,DE,19711,US,http://www.frolicglass.com/,3022831300,,2018-10-28,,Yes,H,CBD,,,
Head Quarters Smoke Shop,151 E Main St,,Newark,DE,19711,US,,3025256718,,2018-10-22,,,S,,,,
Joe's Tobacco Superstore #35,3124 Pulaski Hwy,,Newark,DE,19702,US,http://www.gotojoes.com/,3028365955,,2018-08-06,2019-06-09,,T,,,,
Old Baltimore Pike Cigarettes,786 S Old Baltimore Pike,,Newark,DE,19702,US,,3024551003,,2018-08-06,2019-10-23,Yes,S,CBD,,,
Royal Tobacco & Vape Outlet,786 S Old Baltimore Pike,,Newark,DE,19702,US,,3024551003,,2019-11-24,,Yes,S,CBD,Yes,,
Smoke Land Outlet,1147 Christiana Rd,,Newark,DE,19713,US,,3028616622,,2020-02-19,,,S,,Yes,,
Terrapin Select CBD,211 Lake Dr,,Newark,DE,19702,US,https://terrapinselect.com/,3023180947,info@terrapinselect.com,2020-12-23,,Yes,C,CBD,,,
Tobacco One & Convenience Plus CBD-Kratom,1009 S College Ave,,Newark,DE,19713,US,,3024551510,,2020-06-07,2020-06-07,Yes,S,CBD,Yes,,
VapeEscape,1834 Capitol Trail,,Newark,DE,19711,US,http://vapeescapedelaware.com/,3027378273,lisa@vapeescapedelaware.com,2018-08-14,2020-02-11,Yes,V,CBD,,,
Wonderland Records,110 W Main St,,Newark,DE,19711,US,https://wonderlandrecords.wordpress.com,3027386856,wonderlandmagik@aol.com,2018-11-21,,Yes,H,CBD,,,
Efactor Vape,18701 Coastal Hwy,,Rehoboth,DE,19971,US,,3022125954,info@efactorvape.com,2018-08-06,2019-12-17,Yes,V,CBD,,,
CBD Supply MD,70 Rehoboth Ave #110,,Rehoboth Beach,DE,19971,US,https://www.cbdsupplymd.com/,3025675637,cbdsupplymd@gmail.com,2020-08-19,2020-08-19,Yes,C,CBD,,,
scuBees CBD Boutique,216 Rehoboth Ave Unit C,,Rehoboth Beach,DE,19971,US,https://scubees.com/,3022333719,s-provost@live.com,2021-01-12,,Yes,C,CBD,,,
Sunshine Octopus,149 Rehoboth Ave # 3,,Rehoboth Beach,DE,19971,US,http://www.sunshineoctopus.com/,3022278674,contact@sunshineoctopus.com,2019-10-23,,Yes,H,CBD,,,
Delmar Vapor Lounge of Seaford,22848 Sussex Hwy,,Seaford,DE,19973,US,http://delmarvapor.com/,3024045097,seafordde@delmarvapor.com,2018-08-06,2019-12-15,,V,,,,
SeaVapes,36666 Bluewater Run W,,Selbyville,DE,19975,US,http://www.seavapes.net/,3025647203,,2018-08-14,2020-02-10,Yes,V,CBD,,,
Vape + CBD Station,222 N Dupont Blvd,,Smyrna,DE,19977,US,https://www.vapestation701.com/,3025085938,vapestationde@gmail.com,2020-12-12,,Yes,V,CBD,,,
Blue Dream Vapor Express,3634 Old Capitol Trail,,Wilmington,DE,19808,US,https://www.bluedreamvapor.com/,3025025300,info@bluedreamvapor.com,2018-08-06,2020-01-11,Yes,V,CBD,,,
Books and Tobacco,4555 Kirkwood Hwy,,Wilmington,DE,19808,US,,3029943156,,2018-07-24,2019-05-17,,T,,,,
Botana Organics,3650 Silverside Rd,,Wilmington,DE,19810,US,https://www.botanaorganics.com/,3022323636,jesse@botanaorganics.com,2020-11-21,,Yes,C,CBD,,,
