,Shop Name,Address 1,Address 2,City,State/Province,Zip/Postcode,Country,Website,Phone,Email,Added,Updated,CBD,Biz Type,MJ,Kratom,Buyer name
,Vape Dimensions Inc.,14557 NW US-441 Ste 110,,Alachua,FL,32615,US,https://www.vapedimensions.com/alachua-store,3865185273,jlouisemartin90@gmail.com,2016-05-23,11/11/2021,Yes,V,CBD,,
,Farenhyte Smoke Shop,1157 FL-436 #109,,Altamonte Springs,FL,32714,US,,4077740420,,2019-01-02,1/2/2019,Yes,S,CBD,,
,iSmoke - Altamonte,1022 FL-436 Ste 1012,,Altamonte Springs,FL,32714,US,https://ismoke-altamonte.business.site/,4079605615,ismokeoutlet@gmail.com,2019-04-27,,Yes,S,CBD,,
,The Vaporatory,2770 S Ronald Reagan Blvd,,Altamonte Springs,FL,32701,US,https://thevaporatory.com/,4075047368,vaporatory@gmail.com,2018-09-08,3/13/2020,,V,,,
,Vapor and Company,100 E Altamonte Springs Dr,,Altamonte Springs,FL,32701,US,https://vaporandco.com/,4078787397,vaporandco@aol.com,2018-09-09,4/6/2020,,V,,,
,Apollo Beach Smoke Shop,222 Apollo Beach Blvd,,Apollo Beach,FL,33572,US,http://apollosmoke.wordpress.com/,8136458350,,2019-07-18,,,S,,,
,APK Smoke Shop,2182 E Semoran Blvd,,Apopka,FL,32703,US,,4077039791,,2021-10-06,,,S,,,
,Apopka Vape,1232 Rock Springs Rd Ste 102,,Apopka,FL,32712,US,,4077032021,lee@vapeshopventures.com,2020-04-29,,Yes,V,CBD,,
,Cloud Factory Vapes,3030 E Semoran Blvd Ste 240,,Apopka,FL,32703,US,https://www.cfvapes.com/,4078808273,cfvapes@gmail.com,2018-10-19,4/5/2019,Yes,V,CBD,,
,Dat Hoot Smoke Shop,68 E Main St,,Apopka,FL,32703,US,https://www.dathootsmokeshop.com/,4079885873,hootsmokeshop17@gmail.com,2021-10-07,,Yes,S,CBD,Yes,
,Low Ball Louie's,1805 E Semoran Blvd,,Apopka,FL,32703,US,http://www.lowballlouies.com,4078148180,www.tammis@lowballlouies.com,2018-10-23,11/10/2021,,T,,,
,Smokeshop Diamond,2901 W Orange Blossom Trl,,Apopka,FL,32712,US,,4076035822,,2021-10-16,,Yes,S,CBD,Yes,
,The Vapor Train - City Vapor and E Cig III,4 W Oak St Ste C,,Arcadia,FL,34266,US,https://www.thevaportrain.net,8634940203,thevaportrain@yahoo.com,2018-06-22,7/4/2019,,V,,,
,904 Smiles Smoke Shop,1447 Mayport Rd #3,,Atlantic Beach,FL,32233,US,http://904-smiles-smoke-shop.business.site/,9043724426,,2019-07-14,,Yes,S,CBD,,
,Blackhat Vapor,31 Sailfish Dr E,,Atlantic Beach,FL,32233,US,https://www.blackhatcigs.com/,9043398273,shop2@blackhatcigs.com,2018-09-07,3/10/2020,,V,,,
,Evergreen Smoke Shop Beer & Wine,469 Atlantic Blvd Ste 3,,Atlantic Beach,FL,32233,US,,9042466977,,2021-10-08,,Yes,S,CBD,Yes,
,The Vape Deck,2550 Mayport Rd Ste 8,,Atlantic beach,FL,32233,US,,19043729446,,2018-09-25,,,V,,,
,Rings of Vapor,224 Dairy Rd,,Auburndale,FL,33823,US,https://hopsandvinebar.com/,8638756002,,2021-10-12,,Yes,V,CBD,Yes,
,World of Smoke & Vape - Aventura,2558 NE Miami Gardens Dr,,Aventura,FL,33180,US,https://www.worldofsmokenvape.com/,7869162224,aventura@worldofsmokenvape.com,2018-08-19,2/17/2020,Yes,S,CBD,,
,Dr Strains CBD,697 N Semoran Blvd Ste E,,Azalea Park,FL,32807,US,https://www.drstrainscbd.com,4072038468,kyle@drstrainscbd.com,2020-09-13,10/8/2021,Yes,C,CBD,,
,Low Ball Louie's,1206 N Broadway Ave,,Bartow,FL,33830,US,http://www.lowballlouies.com,8635190732,tammis@lowballlouies.com,2018-10-23,,,T,,,
,Xfusion Smoke Shop 2,5709 SE Abshier Blvd,,Belleview,FL,34420,US,https://www.xfusionsmokeandvape.com/,3522034093,xfusion2sales@gmail.com,2018-11-02,6/19/2021,Yes,S,CBD,Yes,
,White Rabbit,3513 N Lecanto Hwy,,Beverly Hills,FL,34465,US,,3522708066,,2019-09-20,,,S,,Yes,
,"7 Mile Vapor Shop, Cafe & Kava Bar",30200 Overseas Hwy,,Big Pine Key,FL,33043,US,https://7-mile-vapor-shop-cafe-kava-bar.business.site/,3057831357,,2019-07-13,7/13/2019,Yes,V,CBD,Yes,
,Boca Vapes,4818 NW 2nd Ave,,Boca Raton,FL,33431,US,http://bocavapes.com/,5612410322,support@bocavapes.com,2014-08-27,3/25/2019,,V,,,
,Cloud House Vape & Smoke Shop,21691 Fl-7 Ste B,,Boca Raton,FL,33428,US,http://www.cldhouse.com,5614106981,bluetradingboca@gmail.com,2021-02-05,2/5/2021,Yes,S,CBD,Yes,
,Double D's Vapor and Tobacco World,23048 Sandalfoot Plaza Dr,,Boca Raton,FL,33428,US,,5614706003,,2019-10-21,,Yes,S,CBD,,
,Electric Smoke Vapor,2150 N Dixie Hwy,,Boca Raton,FL,33431,US,,5612458477,electricsmokevapor@gmail.com,2021-09-29,,Yes,S,CBD,,
,Fresh Vapors Etc,75 S Federal Hwy,,Boca Raton,FL,33432,US,,5613677177,,2021-10-01,,Yes,V,CBD,,
,GoodLife Smoke Shop,1920 NW 2nd Ave,,Boca Raton,FL,33432,US,http://goodlifeallday.com/,5617174004,goodlifesmoke@gmail.com,2019-11-15,11/15/2019,Yes,S,CBD,Yes,
,Grateful J's Boca Raton,2401 N Federal Hwy Ste B,,Boca Raton,FL,33431,US,https://gratefuljs.com/,5613626100,,2018-08-06,9/21/2019,Yes,H,CBD,Yes,
