Shop Name,Address 1,Address 2,City,State/Province,Zip/Postcode,Country,Website,Phone,Email,Added,Updated,CBD,Biz Type,MJ,Kratom,Buyer name ,Title 
CBD American Shaman by Petunia's Way,3330 Cobb Pkwy NW Ste 126,,Acworth,GA,30101,US,https://cbdamericanshaman.com/,7702853010,petuniasway@gmail.com,2019-11-11,,Yes,C,CBD,,,
Cloud 9 Smoke and Vape Co - Acworth,5020 Cherokee St Ste 200,,Acworth,GA,30101,US,https://cloud9smokeco.com/,6784031475,info@cloud9smokeco.com,2019-10-22,2020-11-25,Yes,S,CBD,Yes,,
Vape Rings,3335 Cobb Pkwy NW #200,,Acworth,GA,30101,US,http://www.vaperingsga.com/,7706931057,vaperings@comcast.net,2019-08-09,2021-07-16,Yes,V,CBD,,,
"Your CBD Store - Acworth, GA",3450 Cobb Pkwy NW #230,,Acworth,GA,30101,US,https://cbdrx4u.com/,6789095230,,2019-09-12,,Yes,C,CBD,,,
Wholly Beauty,7300 Highway 140 NW,,Adairsville,GA,30103,US,,7707739050,info@whollybeauty.com,2022-01-03,2022-01-03,Yes,O,CBD,,,
Smoke Crave,1034 Richland Ave W,,Aiken,GA,29801,US,https://smoke-crave-llc.business.site/,8032260013,smokecrave@gmail.com,2021-01-10,,Yes,S,CBD,,,
Good Life Vapor,118 Philema Rd Ste F,,Albany,GA,31701,US,https://www.goodlifevapor.com/,2294469003,info@goodlifevapor.com,2018-08-06,2019-12-22,Yes,V,CBD,,,
Slappey Smoke Shop,2211 N Slappey Blvd,,Albany,GA,31701,US,https://slappeysmokeshop.com/,2296390520,slappeysmokeshop@gmail.com,2020-02-16,,Yes,S,CBD,Yes,,
Summerlin Vitamins & The Vapor Corner,1111 N Slappey Blvd,,Albany,GA,31701,US,https://www.facebook.com/summerlin-vitamins-vapor-corner-fireworks-107293899328827/,2294392108,summerlinvitamins@gmail.com,2018-08-06,2020-01-02,Yes,V,CBD,Yes,,
Faircloth Vapor,1045 S Pierce St,,Alma,GA,31510,US,http://faircloth-vapor.business.site/,9122185336,fairclothgospelmusic@gmail.com,2019-10-30,2019-10-30,Yes,V,CBD,,,
Alpha Smoke,1805 Hembree Rd Ste C,,Alpharetta,GA,30009,US,http://www.alphasmokellc.com/,4042052337,overflowdrew87@gmail.com,2018-09-17,2019-06-04,Yes,S,CBD,Yes,,
ATLRx CBD,865 N Main St,,Alpharetta,GA,30009,US,https://www.atlrx.com/,7706769775,info@atlrx.com,2019-12-11,2019-12-11,Yes,C,CBD,,,
Big Bang Vape Co.,800 N Main St Ste 210,,Alpharetta,GA,30009,US,https://bigbangvapeshops.com/,7704420503,service@bigbangvapeco.com,2018-01-21,2019-01-22,,V,,,,
CBD American Shaman of Alpharetta,5188 McGinnis Ferry Rd,,Alpharetta,GA,30005,US,https://cbdamericanshaman.com/,6786914473,cbdamericanshamanatlanta@gmail.com,2019-11-11,,Yes,C,CBD,,,
Hot Box Smoke Shop,6225 Atlanta Hwy Ste 200,,Alpharetta,GA,30004,US,https://www.hotboxsmokes.com/,4703367760,,2019-08-12,,Yes,S,CBD,Yes,,
Odysseus Vapor,5155 GA-9 Ste 101,,Alpharetta,GA,30004,US,http://odysseusvapor.com/,7706741503,odysseusvapor@gmail.com,2019-08-12,,Yes,V,CBD,,,
Pure Therapy,3005 Old Alabama Rd,,Alpharetta,GA,30022,US,https://www.puretherapymd.com/,4702732012,puretherapyllc@gmail.com,2020-07-11,,Yes,C,CBD,,,
The Hemp Farmacy,5250 Windward Pkwy Ste 116,,Alpharetta,GA,30004,US,https://hempfarmacy.us/,7706760853,alpharetta@hempfarmacy.us,2020-12-17,,Yes,C,CBD,,,
Vapor King,631 N Main St Ste 130,,Alpharetta,GA,30009,US,http://vapor-king.business.site/,7706965592,,2019-08-12,,Yes,V,CBD,,,
Your CBD Store,3460 Old Milton Pkwy Ste 102,,Alpharetta,GA,30005,US,https://cbdrx4u.com,4702993152,,2020-12-07,,Yes,C,CBD,,,
Your CBD Store,109 N Prince St Ste C,,Americus,GA,31709,US,https://cbdrx4u.com/find-us/georgia/americus,2293143878,,2021-06-03,,Yes,C,CBD,,,
Blue Rat Smoke Shop,260 1/2 W Clayton St,,Athens,GA,30601,US,,7065488030,,2018-11-25,2018-11-25,Yes,S,CBD,Yes,,
Cloud 9 Smoke and Vape Co - Athens,378 E Broad St,,Athens,GA,30601,US,http://cloud9smokeco.com/,7065215114,info@cloud9smokeco.com,2018-12-11,2020-11-25,Yes,S,CBD,Yes,,
Elations Of Athens,4100 Lexington Rd,,Athens,GA,30605,US,http://www.shopstarship.com/,7065521492,,2019-10-08,,Yes,H,CBD,Yes,,
