Shop Name,Address 1,Address 2,City,State/Province,Zip/Postcode,Country,Website,Phone,Email,Added,Updated,CBD,Biz Type,MJ,Kratom,Buyer name ,Title 
,,,,,,,,,,,,,,,,,
Tobacco Connection,1747 Sabin Dr,,Ammon,ID,83406,US,http://tbcollc.com,2085521212,vapingtbco@tbcollc.com,2018-08-07,2020-01-19,,T,,Yes,,
The Vapor Door,3160 E 17th St Ste 130,,Ammon,ID,83406,US,,2085242722,,2018-08-07,2020-01-18,Yes,V,CBD,,,
Durity Vape and Smoke,733 N Main St Ste A,,Bellevue,ID,83313,US,,2089284888,,2019-09-30,,,V,,,,
The Vaping Outlet,1233 Parkway Dr Ste C,,Blackfoot,ID,83221,US,http://thevapingoutlet.com/,2082522223,contactus@thevapingoutlet.com,2018-08-07,2020-01-17,,V,,,,
Atomic Vapor Supply,1529 S Five Mile Rd,,Boise,ID,83709,US,,2083228273,,2014-09-17,2019-02-24,,V,,,,
Bella Vardo,5400 W Franklin St Ste L,,Boise,ID,83705,US,https://bellavardo.com/,2087948393,bellavardoboise@gmail.com,2020-11-19,,Yes,C,CBD,,,
Big Smoke,4920 W Emerald St,,Boise,ID,83706,US,http://tbcollc.com,2083435387,vapingtbco@tbcollc.com,2018-08-06,2019-08-22,,T,,,,
Big Smoke,6595 W Ustick Rd,,Boise,ID,83704,US,http://tbcollc.com,2083769333,vapingtbco@tbcollc.com,2018-08-06,2019-08-22,,T,,,,
Big Smoke,2127 Broadway Ave,,Boise,ID,83706,US,http://tbcollc.com,2083453043,vapingtbco@tbcollc.com,2018-08-06,2019-08-22,,T,,,,
Big Smoke,6627 W Overland Rd,,Boise,ID,83709,US,,2083225765,,2019-07-25,,,T,,,,
Big Smoke,9030 W Franklin Rd,,Boise,ID,83709,US,http://www.tbcollc.com/,2083755497,,2019-07-25,,,T,,,,
Big Smoke,3826 W State St,,Boise,ID,83703,US,http://tbcollc.com,2084260778,vapingtbco@tbcollc.com,2018-08-06,2019-08-22,,T,,Yes,,
Big Smoke,9030 W Franklin Rd,,Boise,ID,83709,US,http://tbcollc.com,2083755497,vapingtbco@tbcollc.com,2018-08-06,2018-11-10,,S,,,,
Big Smoke,6898 Fairview Ave,,Boise,ID,83704,US,http://tbcollc.com,2083238070,vapingtbco@tbcollc.com,2018-08-06,2019-08-22,Yes,T,CBD,,,
Big Smoke,1521 S Five Mile Rd,,Boise,ID,83709,US,http://tbcollc.com,2083771050,vapingtbco@tbcollc.com,2018-08-06,2019-08-22,,T,,,,
Big Smoke,3107 W Overland Rd,,Boise,ID,83709,US,http://tbcollc.com,2083225765,vapingtbco@tbcollc.com,2018-08-06,2019-08-22,,T,,Yes,,
Boise Hemp World,6928 W State St,,Boise,ID,83714,US,https://boisehempworld.com/,8444324367,kirieamaya@gmail.com,2020-11-21,,Yes,C,CBD,,,
Boise Vapor Supply,6555 W Overland Rd Ste 106,,Boise,ID,83709,US,,2083764466,,2018-08-07,2019-07-27,Yes,V,CBD,,,
Cafe De Vapor,7068 W State St,,Boise,ID,83714,US,http://cafedevapor.com/,2088538273,cdvboise@gmail.com,2014-08-28,2019-03-29,,V,,,,
Eyes Of The World Imports,1576 W Grove St,,Boise,ID,83702,US,https://www.eyesoftheworldimportsboise.com/,2083311212,worldchicks@aol.com,2020-07-01,,Yes,O,CBD,,,
