Shop Name,Address 1,Address 2,City,State/Province,Zip/Postcode,Country,Website,Phone,Email,Added,Updated,CBD,Biz Type,MJ,Kratom,Buyer name,Title
Smokers Host Discount Tobacco,1405 N Park Ave,,Alexandria,IN,46001,US,http://www.kocolene.com/,7657247949,,2020-03-12,,Yes,T,CBD,,,
Chief's Discount Tobacco,2625 Columbus Ave,,Anderson,IN,46016,US,,,,2019-08-05,,Yes,S,CBD,,,
Discount Tobacco,3814 Columbus Ave,,Anderson,IN,46013,US,,7656499390,,2019-10-04,,,T,,,,
Get Right Smoke Shop,524 S Scatterfield Rd,,Anderson,IN,46012,US,https://getrightanderson.com,7659993234,getrightsmokeshopllc@gmail.com,2022-03-29,3/29/2022,Yes,S,CBD,,,
Hoosier Vapes,1417 E 53rd St,,Anderson,IN,46013,US,https://www.hoosiervapes.com/,7652745044,,2014-08-29,1/28/2019,Yes,V,CBD,,,
Low Bob's Discount Tobacco,1035 S Scatterfield Rd # 4,,Anderson,IN,46016,US,http://www.lowbob.com,7653564524,marketing@lowbob.com,2018-08-06,11/12/2018,Yes,S,CBD,,,
Low Bob's Discount Tobacco,1305 E 53rd St,,Anderson,IN,46013,US,http://www.lowbob.com,7656421503,marketing@lowbob.com,2018-08-06,10/16/2019,Yes,S,CBD,,,
Still Chillin,2121 Ohio Ave,,Anderson,IN,46016,US,https://still-chillin.business.site/,7656067468,,2018-11-18,,Yes,H,CBD,,,
Stone Age Smokeshop,2213 S Scatterfield Rd Ste 2,,Anderson,IN,46016,US,,7653564197,stoneagesmokeshop@gmail.com,2018-11-04,,Yes,H,CBD,,,
Tobacco Central,923 W Cross St,,Anderson,IN,46011,US,,7656839706,,2018-08-06,6/11/2019,Yes,T,CBD,,,
Vapor Madness,4742 S Scatterfield Rd,,Anderson,IN,46013,US,https://vapormadness.cloud/,7656448273,vapormadnessindy@gmail.com,2018-08-06,1/8/2020,Yes,V,CBD,,,
Vintage Vapors,2407 Broadway St,,Anderson,IN,46012,US,,7653564865,,2022-03-25,3/25/2022,,V,,,,
