Shop Name,Address 1,Address 2,City,State/Province,Zip/Postcode,Country,Website,Phone,Email,Added,Updated,CBD,Biz Type,MJ,Kratom,Buyer name ,Title 
Route 69 Vapor,301 Center Pl Ste F,,Altoona,IA,50009,US,http://www.route69vapor.com/,5159579366,tastethevapellc@gmail.com,2018-07-02,2019-07-18,Yes,V,CBD,,,
Ames Smoke Shop,223 Lincoln Way,,Ames,IA,50010,US,,5153378800,,2019-07-18,,Yes,S,CBD,,,
Central Iowa Vapors,3505 Lincoln Way Ste 104,,Ames,IA,50014,US,https://iowaecigs.com/site/,5152920004,info@centraliowaecigs.com,2018-06-05,2019-06-20,,V,,,,
High Class Glass,2408 Lincoln Way,,Ames,IA,50014,US,http://www.hcgiowa.com,5152929244,highclassglassiowa@gmail.com,2018-11-17,,,S,,,,
Shag,2801 Grand Ave,,Ames,IA,50010,US,http://www.shopshag.com,5153371779,contact@shopshag.com,2019-01-09,,Yes,H,CBD,Yes,,
Central Iowa Vapors,207 NE Delaware Ave,,Ankeny,IA,50021,US,https://iowaecigs.com/site/,5152650004,info@centraliowaecigs.com,2016-06-09,2019-03-05,,V,,,,
"Your CBD Store - Ankeny, IA",833 E 1st St #101,,Ankeny,IA,50021,US,https://cbdrx4u.com/,5159649862,,2019-09-12,2019-09-12,Yes,C,CBD,,,
Tobacco Shop,612 US-71,,Arnolds Park,IA,51331,US,,7123322915,,2020-03-14,2020-03-14,,T,,,,
Fog Zone,420 Chestnut St,,Atlantic,IA,50022,US,,7122497413,info@thefogzone.com,2018-08-09,2022-04-26,,V,,,,
Fog Zone Express,7005 N Chestnut St Ste 100,,Avoca,IA,51521,US,http://thefogzone.com,8003216956,,2018-08-09,2020-02-03,,V,,,,
QC Vapes,2336 Spruce Hills Dr,,Bettendorf,IA,52722,US,http://www.qcvapes.com/,5633553244,info@qcvapes.com,2014-09-02,2019-04-20,,V,,,,
Aqueous Vapor,420 N Roosevelt Ave Ste 140,,Burlington,IA,52601,US,https://aqueousvapor.com/,3197523244,info@aqueousvapor.com,2018-06-05,2019-06-20,Yes,V,CBD,,,
Dave's Not Here,713 Jefferson St Ste 104,,Burlington,IA,52601,US,,3197958642,jamiesemporium@gmail.com,2020-06-26,,Yes,S,CBD,,,
Smokin' Joe's Tobacco & Liquor Outlet,110 S Roosevelt Ave,,Burlington,IA,52601,US,,3192504456,,2018-08-12,2020-02-08,,T,,,,
The Vaped Ape,905 Lincoln Hwy,,Carroll,IA,51401,US,,7127752291,,2018-08-12,2020-02-08,,V,,,,
Buzz Smoke & Vapor,2125 College St Ste A,,Cedar Falls,IA,50613,US,,3192602247,,2020-08-27,,Yes,S,CBD,Yes,,
Tobacco Outlet Plus,4116 University Ave #106,,Cedar Falls,IA,50613,US,,3192680995,,2018-08-12,2020-02-08,,T,,,,
Up In Smoke,2218 College St,,Cedar Falls,IA,50613,US,https://www.upinsmokeonhill.com/,3192140484,upinsmokeonhill@gmail.com,2019-05-28,2019-08-15,Yes,S,CBD,,,
"Your CBD Store - Cedar Falls, IA",100 E 2nd St #107,,Cedar Falls,IA,50613,US,https://cbdrx4u.com/,3192602246,cbd3507@gmail.com,2019-09-12,2019-09-12,Yes,C,CBD,,,
Central Iowa Vapors,3950 Center Point Rd NE,,Cedar Rapids,IA,52402,US,https://iowaecigs.com/site/,3192943244,info@centraliowaecigs.com,2015-05-04,2019-03-06,Yes,V,CBD,,,
"Don't Worry, Be Hempy",1756 1st Ave NE,,Cedar Rapids,IA,52402,US,https://dontworrybehempyia.com/,3192020683,mike@dontworrybehempy.org,2020-12-23,,Yes,C,CBD,,,
Hawkeye Vapor,3135 Wiley Blvd SW Ste 105,,Cedar Rapids,IA,52404,US,https://tigerhawkvapor.com/,3193590778,volcanoecigsofiowa@gmail.com,2018-06-05,2019-06-20,,V,,,,
Iowa Smoke Shop,70 Kirkwood Ct SW,,Cedar Rapids,IA,52404,US,,3193643700,,2020-08-18,,,S,,,,
Shag,4444 1st Ave NE #78,,Cedar Rapids,IA,52402,US,http://www.shopshag.com,3192944802,contact@shopshag.com,2019-01-09,2019-01-09,,H,,,,
Smokin' Joe's Tobacco & Liquor Outlet,904 1st Ave NW,,Cedar Rapids,IA,52405,US,,3192504466,,2018-08-12,2020-02-08,Yes,S,CBD,,,
Smokin' Joe's Tobacco & Liquor Outlet,2315 Mt Vernon Rd SE,,Cedar Rapids,IA,52403,US,,3192504465,,2018-08-12,2019-06-16,,T,,,,
Smokin' Joe's Tobacco & Liquor Outlet,455 Edgewood Rd NW,,Cedar Rapids,IA,52405,US,,3192504466,,2018-08-12,2019-06-16,,T,,,,
The Cooler,4920 Johnson Ave NW,,Cedar Rapids,IA,52405,US,http://www.thecoolercr.com/,3198263770,stillmaryp33@yahoo.com,2019-10-29,,Yes,S,CBD,,,
