Shop Name,Address 1,Address 2,City,State/Province,Zip/Postcode,Country,Website,Phone,Email,Added,Updated,CBD,Biz Type,MJ,Kratom,Buyer name,Title
Vaping Js,7967 Alexandria Pike,,Alexandria,KY,41001,US,,8596358274,vapingjs@gmail.com,2015-03-01,12/26/2018,Yes,V,CBD,,,
Bear Vapor,2228 Greenup Ave,,Ashland,KY,41101,US,,6063933093,,2019-09-28,2/10/2022,,V,,,,
District 4 Vapor,1700 29th St,,Ashland,KY,41101,US,https://district4vapor.com/,6062622029,sales@district4vapor.com,2016-06-16,4/7/2019,,V,,,,
Prying Eye Vapes,2124 13th St,,Ashland,KY,41101,US,,6063271735,service.pryingeyevape@gmail.com,2021-02-08,,,V,,,,
Select a Vapor,423 Diederich Blvd,,Ashland,KY,41101,US,https://www.madvapes.com/,8476873475,guestservice@amvholdings.com,2018-08-06,1/1/2020,Yes,V,CBD,,,
Smokin Toms Discount Tobacco,12484 US-60,,Ashland,KY,41102,US,,6069284100,,2020-02-01,,Yes,S,CBD,,,
Vapor Evolutions,8124 US-60,,Ashland,KY,41102,US,,6069284151,,2018-08-06,1/7/2020,,V,,,,
Vapor World,1606 Greenup Ave,,Ashland,KY,41101,US,,,,2014-09-30,1/26/2019,,V,,,,
"Your CBD Store - Ashland, KY",2116 13th St,,Ashland,KY,41101,US,https://cbdrx4u.com/,6063933339,cbd3507@gmail.com,2019-09-13,9/13/2019,Yes,C,CBD,,,
Alley Cat Vapors 3,104 Cumberland Ave,,Barbourville,KY,40906,US,,6066272283,,2020-11-17,,Yes,V,CBD,,,
Bo's Smoke Shop,700 Bloomfield Rd #A,,Bardstown,KY,40004,US,http://www.bos-smokeshop.com/,5023484880,,2019-07-27,,,T,,,,
Bourbon City Vapes,610 Bloomfield Rd,,Bardstown,KY,40004,US,,5023488170,bcvapes@yahoo.com,2018-06-14,6/26/2019,Yes,V,CBD,,,
Cannabis Phrog,213 Culpepper St,,Bardstown,KY,40004,US,https://cannabisphrog.com,5023316006,cannabisphrog@gmail.com,2020-11-22,,Yes,C,CBD,,,
Beaver Dam Liquors,1091 N Main St,,Beaver Dam,KY,42320,US,,2702742337,,2020-11-19,,Yes,O,CBD,,,
Bo's Smoke Shop,1395 N Main St,,Beaver Dam,KY,42320,US,http://www.bos-smokeshop.com/,2702740840,,2019-07-27,,,T,,,,
Vapor 55,1856 N Main St,,Beaver Dam,KY,42320,US,http://www.vapor55.com/,2702742500,myvapor55@aol.com,2018-10-10,9/28/2019,Yes,V,CBD,,,
Kentucky Botanical Co.,406 Fairfield Ave,,Bellevue,KY,41073,US,http://www.kybotanicalco.com,8597390240,sales@kybotanicalco.com,2019-12-04,,Yes,C,CBD,,,
Miracle Kratom,56 Donnermeyer Dr,,Bellevue,KY,41073,US,https://buykratompowders.com/,8599168238,info@buykratompowders.com,2021-03-13,,Yes,O,CBD,,,
Benton Vapor Emporium,801 Main St,,Benton,KY,42025,US,,2703870098,kyvaporemporium@gmail.com,2014-09-21,4/6/2019,,V,,,,
Discount Tobacco City & Lottery,325 Main St,,Benton,KY,42025,US,,2705270110,,2019-10-10,,Yes,T,CBD,,,
Sub Ohm Vapor,88A Commerce Blvd,,Benton,KY,42025,US,,2702277520,,2020-04-14,,,V,,,,
MT Vapors,340 Mini Mall Dr,,Berea,KY,40403,US,https://www.mtvapors.org/,8595753392,mtvapors1@gmail.com,2018-08-16,2/12/2020,Yes,V,CBD,,,
S&L Vapors,304 Richmond Rd N Ste 3,,Berea,KY,40403,US,,8599855353,2012slvapors@gmail.com,2018-08-16,2/13/2020,Yes,V,CBD,,,
Tobacco Barn Desert Sun,103 Clay Dr,,Berea,KY,40403,US,,8599867183,,2019-11-05,,,S,,,,
ECig Source,160 River Place Ave,,Bowling Green,KY,42101,US,http://www.ecigsourceonline.com/,2709042291,ecigsource@att.net,2018-08-06,1/13/2020,Yes,V,CBD,,,
eCig Source,760 Campbell Ln Ste 105,,Bowling Green,KY,42101,US,http://ecigsourceonline.com/,2704951608,ecigsource@att.net,2018-10-18,4/27/2019,Yes,V,CBD,,,
Green Earth Stones Metaphysical Shop,"1701 US-31 W Bypass, #B",,Bowling Green,KY,42101,US,https://www.greenearthstones.com/,2704954101,contact@greenearthstones.com,2020-07-03,,Yes,O,CBD,,,
MAXX Electronic Cigarettes - Bowling Green,2740 Scottsville Rd,,Bowling Green,KY,42104,US,http://www.maxxecigs.com/,2707964060,,2019-05-03,,,V,,,,
Prince Hookah Lounge,116 Old Morgantown Rd,,Bowling Green,KY,42101,US,,2707460107,,2019-01-12,,,L,,,,
Remedy Vapor,1440 Campbell Ln Ste 500,,Bowling Green,KY,42101,US,https://remedyvapor.com/,2709969092,remedyvaporbg@gmail.com,2018-08-06,1/1/2020,Yes,V,CBD,,,
Saffire Vapor,2710 Nashville Rd #117,,Bowling Green,KY,42101,US,https://saffirevapor.com/,2707838375,customerservice@saffirevapor.com,2018-08-06,1/1/2020,Yes,V,CBD,,,
Smoke in Glass,2736 Scottsville Rd,,Bowling Green,KY,42104,US,http://bgmrsmokeky.business.site/,2709044679,,2020-02-18,,Yes,S,CBD,Yes,,
Tobacco America,710 Morgantown Rd,,Bowling Green,KY,42101,US,,2708428990,,2019-12-06,,Yes,T,CBD,,,
Vette City Vapes,1239 US-31 W Bypass,,Bowling Green,KY,42101,US,http://www.vettecityvapes.com/,2705990707,sales@vettecityvapes.com,2018-08-06,9/29/2019,Yes,V,CBD,,,
DETS Vape Lounge,301 Bypass Rd Ste C,,Brandenburg,KY,40108,US,,2704225007,vapeon@dets.com,2015-09-10,4/7/2019,,V,,,,
Stogie Annie's,4308 KY-146,,Buckner,KY,40010,US,https://stogie-annies.com/,5022650182,stogieannies@gmail.com,2021-08-12,,Yes,T,CBD,,,
Sissy's Smoke Shop,239 N Main St,,Burkesville,KY,42717,US,,2708641500,,2020-02-16,,Yes,S,CBD,Yes,,
Bo's Smoke Shop,607 E Broadway St,,Campbellsville,KY,42718,US,http://www.bos-smokeshop.com/,2704650630,,2019-07-27,,,T,,,,
Central Kentucky Vapor,400 Campbellsville Bypass Ste 2E,,Campbellsville,KY,42718,US,http://www.centralkentuckyvapor.com/,2704053088,centralkentuckyvapor@yahoo.com,2014-08-28,3/25/2019,,V,,,,
Modfathers Vapor,116 Central Shopping Center,,Campbellsville,KY,42718,US,,2704054295,,2019-01-23,1/11/2020,,V,,,,
White Trash Customs,608 W Main St Ste A,,Campbellsville,KY,42718,US,,2704699035,,2019-06-27,6/27/2019,Yes,C,CBD,,,
Dunn's Discount Tobacco Inc,155 KY-15,,Campton,KY,41301,US,,6066687065,,2019-10-09,,,T,,,,
Blue Wolf Vape Shop,101 5th St,,Carrollton,KY,41008,US,http://www.bluewolfvape.com/,5026620145,bluewolfvape@gmail.com,2016-08-08,3/3/2019,,V,,,,
First & Last Tobacco,300 35th St,,Catlettsburg,KY,41129,US,http://www.discount-cigarettes.org/,6067396134,customerservice@discountcigarettes.com,2019-11-06,7/25/2020,Yes,T,CBD,,,
Quick Tobacco #3,211 35th St,,Catlettsburg,KY,41129,US,http://quicktobacco3.business.site/,6067390305,,2020-01-12,,Yes,T,CBD,,,
Modern Farm Concepts,540 Wilson Childress Rd,,Cave City,KY,42127,US,http://www.modernfarmconcepts.com,2706121749,modernfarmconcepts@gmail.com,2020-05-27,3/12/2021,Yes,O,CBD,,,
Kick Ash Vape 2,129 E Broad St,,Central City,KY,42330,US,,2707572122,,2020-01-28,,,V,,,,
Fast Lane Discount Tobacco,3841 N Mayo Trail,,Coal Run Village,KY,41501,US,,6064370157,,2018-08-06,9/16/2019,Yes,T,CBD,,,
Bluegrass Vape - Cold Spring,4135 Alexandria Pike Ste 208,,Cold Spring,KY,41076,US,http://www.bluegrassvape.com/,8594412500,info@bluegrassvape.com,2014-09-19,3/24/2019,,V,,,,
Club Vape - Cold Spring,50 Martha Layne Collins Blvd,,Cold Spring,KY,41076,US,http://www.clubvapeshop.com/,8595258273,clubvapeshop@gmail.com,2019-04-07,4/7/2019,,V,,,,
Hippie At Heart,511 Main St Ste D,,Corbin,KY,40701,US,https://hippieatheartlondo.wixsite.com/hippieatheartonmain,6062613684,hippie.at.heart.on.main@gmail.com,2018-12-28,12/28/2018,Yes,H,CBD,Yes,,
Jakes Vapes,800 W Cumberland Gap Pkwy,,Corbin,KY,40759,US,https://jakes-vapes.business.site/,6066205177,jacob_buttery@outlook.com,2017-07-22,1/29/2019,Yes,V,CBD,,,
