Shop Name,Address 1,Address 2,City,State/Province,Zip/Postcode,Country,Website,Phone,Email,Added,Updated,CBD,Biz Type,MJ,Kratom,Buyer name ,Title 
Pippi's Purpose,110 Broadmoore Blvd,,Abbeville,LA,70510,US,https://www.pippispurpose.com/,3372830092,cwhite@pippispurpose.com,2022-03-24,2022-03-24,Yes,C,CBD,,,
Smoke N Go,201 S State St,,Abbeville,LA,70510,US,http://www.mysmokengo.com/,3378934428,,2019-08-02,2019-08-02,Yes,S,CBD,,,
Smoker Friendly,1101 Charity St,,Abbeville,LA,70510,US,http://smokerfriendly.com/,3378930342,,2020-03-03,,,T,,,,
Smoke Shop,729 MacArthur Dr,,Alexandria,LA,71303,US,,3184456558,,2020-02-25,,,T,,,,
Smoker's Heaven,3339 Jackson St,,Alexandria,LA,71301,US,http://www.smokersheaven.biz/,3184426134,smokersheavenalexandria@gmail.com,2019-05-16,,,V,,,,
The e-Spot Vape Shop - Alexandria,2102 MacArthur Dr Ste E,,Alexandria,LA,71301,US,https://espotvapeshop.com/,3187046212,sales@espotvapeshop.com,2018-09-18,,Yes,V,CBD,,,
Tobacco Plus,2140 N Mall Dr,,Alexandria,LA,71301,US,,3184849107,,2020-05-23,,,S,,,,
Cannaleaf Hemp Company,6027 Monroe Hwy Ste A,,Ball,LA,71405,US,https://cannaleaf.com/,8887154367,cannaleaf@yahoo.com,2019-12-20,2022-02-13,Yes,C,CBD,,,
Aurora CBD & Hemp,19970 Highland Rd,,Baton Rouge,LA,70809,US,https://www.auroracbdhemp.com/,2252186062,aurora985@outlook.com,2020-11-18,,Yes,C,CBD,,,
Bella Sunrise Tobacco LLC,6010 Jones Creek Rd Ste D,,Baton Rouge,LA,70817,US,,2253027950,bellasunrisetobacco@gmail.com,2019-01-11,,Yes,S,CBD,,,
Bobs Smoke Shop,990 W Lee Dr Ste 3,,Baton Rouge,LA,70820,US,http://sasprospect.com/,2258319054,,2022-01-20,2022-01-20,Yes,S,CBD,,,
Cali Smoke Shop,4225 Nicholson Dr Ste 103,,Baton Rouge,LA,70808,US,,2252560230,,2020-11-21,,Yes,S,CBD,Yes,,
Cali Smoke Shop,13188 Perkins Rd,,Baton Rouge,LA,70810,US,,2259602504,,2022-01-11,2022-01-11,Yes,S,CBD,Yes,,
Cypress Hemp: Hemp & CBD Dispensary,10771 Perkins Rd Suite A,,Baton Rouge,LA,70810,US,https://www.cypresshemp.com/,2259631631,sustainability@cypresshemp.com,2020-12-19,2020-12-19,Yes,C,CBD,,,
Go Vapor - Baton Rouge,8841 Highland Rd,,Baton Rouge,LA,70808,US,https://www.govaporgo.com/,2253028710,govapor@govaporgo.com,2014-08-29,2019-11-12,Yes,V,CBD,,,
Hashtags Smoke Shop,12524 Jefferson Hwy Ste A,,Baton Rouge,LA,70816,US,https://www.hashtags.glass/,2259538191,smokinmirrorsgg@gmail.com,2018-08-06,2019-09-22,Yes,S,CBD,Yes,,
HealthyU CBD & Hemp Oil,5703 Essen Ln Ste 5,,Baton Rouge,LA,70810,US,https://healthyu-cbd.com/,2254215920,healthyulouisiana@gmail.com,2021-01-23,,Yes,C,CBD,,,
Hi Life Wonderland,159 W State St,,Baton Rouge,LA,70802,US,,2253889199,,2018-08-06,2018-12-03,Yes,H,CBD,,,
Kalian CBD Vape & Hookah,6755 Airline Hwy Ste A-2,,Baton Rouge,LA,70805,US,https://www.kalianofla.com,2252567110,sales@kalianofla.com,2021-02-02,2021-08-14,Yes,S,CBD,Yes,,
La Vape & Beyond,4433 Perkins Rd Ste 105,,Baton Rouge,LA,70808,US,,2253671126,lavapeandbeyond@gmail.com,2014-10-08,2019-05-05,Yes,V,CBD,,,
Ra Shop,3275 Highland Rd,,Baton Rouge,LA,70802,US,http://www.rashop.us/,2253380081,,2018-08-14,2020-02-10,Yes,S,CBD,Yes,,
Ra Shop,5201 Nicholson Dr,,Baton Rouge,LA,70820,US,http://www.rashop.us/,2257639091,,2018-08-14,2020-02-10,Yes,S,CBD,Yes,,
Releaf Therapy CBD,14790 Wax Rd Ste 105,,Baton Rouge,LA,70818,US,http://www.releaftherapy.co,2252841936,william@releaftherapy.co,2020-10-11,2020-10-11,Yes,C,CBD,,,
Smokecignals,13247 Perkins Rd.,,Baton Rouge,LA,70810,US,http://www.smokecignals.com/,2254565252,info@smokecignals.com,2018-08-14,2020-02-10,Yes,V,CBD,,,
Tobacco Zone,11901 Plank Rd #A,,Baton Rouge,LA,70811,US,,2257758487,,2020-02-06,2020-02-06,,T,,,,
Up In Smoke Glass Galleria,1750 Brightside Dr Ste E,,Baton Rouge,LA,70820,US,,2253643746,,2019-10-17,2019-10-17,Yes,H,CBD,,,
VapingCraze,6031 Siegen Ln Ste K,,Baton Rouge,LA,70809,US,http://vapingcraze.business.site/,2254219999,support@vapingcraze.com,2017-10-17,2019-01-19,,V,,,,
Your CBD Store,10241 Coursey Blvd Ste D,,Baton Rouge,LA,70816,US,https://cbdrx4u.com,2252563303,batonrouge496@cbdrx4u.com,2020-12-07,,Yes,C,CBD,,,
Bayou Queen Vape,693 Corporate Dr Ste 102,,Bayou Cane,LA,70360,US,,9852624197,,2018-06-13,2019-06-25,Yes,V,CBD,,,
Bogalusa Tobacco Discount,444 Memphis St,,Bogalusa,LA,70427,US,,9852415433,,2020-04-29,,,S,,,,
318 Cloudz Smoke & Vape Shop,2307 E Texas St Ste 200,,Bossier City,LA,71111,US,https://318cloudz.com/,3185885333,solo@318cloudz.com,2021-10-23,2021-10-23,Yes,S,CBD,Yes,,
Bossier CBD and Wellness by 5 Star Nutrition,2650 Airline Dr Ste 200,,Bossier City,LA,71111,US,https://5starnutritionusa.com/,3183174151,,2020-11-21,,Yes,C,CBD,,,
Cloud 9,2060 E Texas St,,Bossier City,LA,71111,US,http://www.cloud9vapory.com/,3185846969,cjwgrant@yahoo.com,2019-08-28,,,V,,,,
Discount Tobacco Outlet,1201 Shady Grove Dr #A,,Bossier City,LA,71112,US,,3187477959,,2019-11-06,,,T,,,,
Elite Vape Room,2501 Beene Blvd Ste 500,,Bossier City,LA,71111,US,http://elitevaperoom.com/,3185183478,elitevaperoom@gmail.com,2016-06-26,2019-03-27,,V,,,,
Great American Vapes,4726 E Texas St #200,,Bossier City,LA,71111,US,http://greatamericanvapes.com/,3185847230,,2018-08-06,2020-01-14,Yes,V,CBD,,,
Odditeaze,2914 Barksdale Blvd,,Bossier City,LA,71112,US,,3187524400,loricollier1@yahoo.com,2021-10-23,2021-10-23,Yes,H,CBD,Yes,,
The Lotus,2001 E Texas St Ste 3,,Bossier City,LA,71111,US,,3187738091,,2019-01-10,,,H,,Yes,,
Tobacco House #2,3055 E Texas St,,Bossier City,LA,71111,US,http://www.tobaccohouse.us,3187467700,tobaccohousemarketingdept@gmail.com,2020-07-07,,,T,,,,
"Your CBD Store - Bossier City, LA",2716 Plantation Dr,,Bossier City,LA,71111,US,https://cbdrx4u.com/,3185623588,bossiercityla@cbdrx4u.com,2019-09-13,2019-09-13,Yes,C,CBD,,,
Smokers Hut,13491 US-90,,Boutte,LA,70039,US,,9857854186,,2020-03-10,,,T,,,,
Smoke N Go,1777 Rees St,,Breaux Bridge,LA,70517,US,http://www.mysmokengo.com/,3373322200,,2019-08-02,2019-08-02,Yes,S,CBD,,,
Green Time Wellness,3711 W Pinhook Rd,,Broussard,LA,70518,US,https://greentimewellness.com/,3378894367,info@greentimewellness.com,2021-01-17,,Yes,C,CBD,,,
PuffZone SmokeShop,4016 Hwy 90 E Ste 111,,Broussard,LA,70518,US,https://puffzone-smokeshop.business.site/,3373302072,puffzone4016@gmail.com,2021-12-22,2021-12-22,Yes,V,CBD,,,
Smoke N Go,2005 E Main St,,Broussard,LA,70518,US,http://www.mysmokengo.com/,3378391210,,2019-08-02,2019-08-02,Yes,S,CBD,,,
Vibes Vape & Cannabis,730 Albertson Pkwy Ste C,,Broussard,LA,70518,US,https://vibesvapecbd.com/,3372527364,michael.courrege@gmail.com,2020-12-12,,Yes,V,CBD,Yes,,
Smoke N Go,4029 N University Ave,,Carencro,LA,70520,US,http://www.mysmokengo.com/,3375655023,,2019-08-02,2019-08-02,Yes,S,CBD,,,
Big Chief Vapor Products LLC,135 W Genie St,,Chalmette,LA,70043,US,http://www.bigchiefvapors.com/,5044071881,bigchiefvapors@yahoo.com,2018-09-30,,Yes,V,CBD,,,
Big Easy CBD,310 W Judge Perez Dr,,Chalmette,LA,70043,US,https://bigeasycbd.com/,5045102676,amber@bigeasycbd.net,2020-11-19,,Yes,C,CBD,,,
Chalmette Cigarette Outlet Inc,1016 W Judge Perez Dr,,Chalmette,LA,70043,US,,5046763370,,2019-08-01,,,S,,,,
Organic CBD Garden,1800 E Judge Perez Dr Ste E,,Chalmette,LA,70043,US,https://www.organiccbdgarden.com/s/shop,5049318700,organiccbdgarden@gmail.com,2021-05-05,,Yes,C,CBD,,,
Pure Vapor,316 W Judge Perez Dr,,Chalmette,LA,70043,US,,5049099456,,2018-08-14,2020-02-09,,V,,,,
Smoke N Go,217 S Main St,,Church Point,LA,70525,US,http://www.mysmokengo.com/,3376841012,,2019-08-02,2019-08-02,Yes,S,CBD,,,
Candy & Tobacco Discounts,100 S Tyler St,,Covington,LA,70433,US,,9858710038,,2019-07-31,,,T,,,,
E-Cigmart Vapor Outlet,2600 N Hwy 190 Ste 1,,Covington,LA,70433,US,,9852764802,e_cigmart@yahoo.com,2014-09-29,2019-03-27,Yes,S,CBD,Yes,,
Esmoke Vapors,70380 LA-21,,Covington,LA,70433,US,,9858881203,ecig985@yahoo.com,2018-10-22,2019-03-28,,V,,,,
