Shop Name,Address 1,Address 2,City,State/Province,Zip/Postcode,Country,Website,Phone,Email,Added,Updated,CBD,Biz Type,MJ,Kratom,Buyer name ,Title 
Smokers Haven,1150 Center St Unit A,,Auburn,ME,4210,US,https://customerservice@smokershaveninc.com,2073125685,customerservice@smokershaveninc.com,2021-10-25,2021-10-25,Yes,S,CBD,,,
Smokers Haven,20 Union St,,Auburn,ME,4210,US,https://customerservice@smokershaveninc.com,2072417081,customerservice@smokershaveninc.com,2021-10-25,,Yes,S,CBD,,,
Empire Vape Shop - Augusta,116 Western Ave,,Augusta,ME,4330,US,http://empirevapeshop.com/,2072136439,info@empirevapeshop.com,2018-08-06,2019-12-19,Yes,V,CBD,,,
Maine Smoke Shop,52 Western Ave,,Augusta,ME,4430,US,https://www.mainesmokeshop.com/,2076219787,info@mainesmokeshop.com,2018-08-06,2019-02-23,,S,,,,
Empire Vape Shop - Bangor,691 Hogan Rd,,Bangor,ME,4401,US,http://empirevapeshop.com/,2075734215,info@empirevapeshop.com,2018-08-06,2019-12-19,Yes,V,CBD,,,
Headies Glass Gallery,64 Main St,,Bangor,ME,4401,US,http://headiesglassgallery.com/,2075731125,headiesglassgallery@gmail.com,2019-08-22,,Yes,H,CBD,Yes,,
Herbal Tea & Tobacco,44 Main St,,Bangor,ME,4401,US,,2079422201,,2019-01-07,2019-01-07,Yes,H,CBD,,,
Maine Smoke Shop,1129 Union St #1,,Bangor,ME,4401,US,https://www.mainesmokeshop.com/,2074337281,info@mainesmokeshop.com,2018-09-14,2019-02-23,,S,,,,
Maine Tobacco Shop & Vaping Supplies,732 Broadway,,Bangor,ME,4401,US,,2079459171,,2018-08-06,2019-06-11,,T,,,,
Vapeology,340 Stillwater Ave,,Bangor,ME,4401,US,,2075731163,,2019-05-31,,Yes,V,CBD,,,
Bar Harbor Hemporium,116 Main St,,Bar Harbor,ME,4609,US,,2072883014,bhhemporium@gmail.com,2020-06-19,,Yes,C,CBD,,,
Rip Tide Smoke Shop,67 Belmont Ave,,Belfast,ME,4915,US,https://www.riptidemaine.com/,2072181202,riptidemaine@gmail.com,2018-11-01,2021-10-24,,H,,,,
Pine Tree Glass Art,284 Mayville Rd Ste 2,,Bethel,ME,4217,US,https://pinetreeglassart.com/,2078240280,pinetreeglass@gmail.com,2018-09-24,2018-12-23,Yes,H,CBD,Yes,,
Biddeford Smoke Shop,299 Main St Ste 102,,Biddeford,ME,4005,US,,2072836506,,2018-10-14,,,S,,,,
