Shop Name,Address 1,Address 2,City,State/Province,Zip/Postcode,Country,Website,Phone,Email,Added,Updated,CBD,Biz Type,MJ,Kratom,Buyer name ,Title 
King's Vapor - Aberdeen Md,200 N Philadelphia Blvd Ste H,,Aberdeen,MD,21001,US,https://vapekvp.com/,4433277669,kingsvaporllc@gmail.com,2019-04-29,,Yes,V,CBD,,,
Smoke-King,16 Aberdeen Shopping Plaza,,Aberdeen,MD,21001,US,https://www.smokekingoutlet.com,6672295965,info@smokekingoutlet.com,2021-05-30,2022-03-14,Yes,S,CBD,Yes,,
Tobacco Outlet,3101 Emmorton Rd #A7,,Abingdon,MD,21009,US,https://tobacco-outlet.business.site/,4105695045,,2020-12-09,,Yes,S,CBD,Yes,,
Tobacco Republic,7091 Berry Rd Unit A,,Accokeek,MD,20607,US,,2407664797,republiccigars@gmail.com,2020-06-15,,Yes,T,CBD,,,
Aroma Annapolis,2029 West St,,Annapolis,MD,21401,US,https://aromaannapolis.com,4102673000,clare@goldleafmd.com,2021-07-19,2021-07-19,Yes,H,CBD,,,
Mr. Smoke Annapolis,2020 West St Ste D,,Annapolis,MD,21401,US,http://www.mrsmokemd.com,4102244642,mrsmokemd@gmail.com,2019-01-03,,Yes,S,CBD,Yes,,
Vape N Tobacco,1346 Cape St Claire Rd,,Annapolis,MD,21409,US,https://www.vapentobaccoannapolis.com/,4107570241,,2018-08-15,2020-04-17,Yes,S,CBD,,,
Vape180,903 Bay Ridge Rd,,Annapolis,MD,21403,US,http://www.vape180.com/,4102633767,,2018-08-06,2020-01-06,Yes,V,CBD,,,
Severna Smoke Supply & Ting's Cool Things,965 Ritchie Hwy,,Arnold,MD,21012,US,http://www.coolthingsinc.com/,4104322987,ourcoolcustomers@gmail.com,2018-10-29,2020-04-15,Yes,H,CBD,,,
BmoreVapes,905 Light St,,Baltimore,MD,21230,US,http://www.bmorevapes.com/,4108780157,sales@bmorevapes.com,2014-08-27,2019-03-25,,V,,,,
CBD Supply Maryland,7690 Belair Rd,,Baltimore,MD,21236,US,http://www.cbdsupplymaryland.com,4107779750,shop@cbdsupplymaryland.com,2020-02-06,2020-02-06,Yes,C,CBD,,,
Charm City Hemp,526 E Belvedere Ave,,Baltimore,MD,21212,US,https://www.charmcityhempstore.com/,4434383761,charmcityhemp@gmail.com,2019-10-14,2019-10-14,Yes,C,CBD,,,
Charm City Hemp - Hampden,1013 W 36th St,,Baltimore,MD,21211,US,https://www.charmcityhempstore.com/,8583494512,charmcityhemp@gmail.com,2019-12-14,,Yes,C,CBD,,,
Charmed Hemp,1802 Eastern Ave Unit 1,,Baltimore,MD,21231,US,http://charmedhemp.com,4436828213,cbdsales@carebalancedelivery.com,2019-11-11,2019-11-17,Yes,C,CBD,Yes,,
Charmed Hemp - W 29th St,348 W 29th St,,Baltimore,MD,21211,US,https://www.charmedhemp.com/,4437084400,cbdsales@carebalancedelivery.com,2021-10-08,,Yes,C,CBD,,,
City Tobacco & Vape Outlet,779 Washington Blvd,,Baltimore,MD,21230,US,,4437085586,,2018-08-06,2019-09-08,Yes,S,CBD,,,
Desires Novelty & Smoke Shop,1099 N Rolling Rd,,Baltimore,MD,21228,US,,4107880378,abott117@hotmail.com,2018-12-20,,,S,,,,
Discount Cigarettes,5716 Ritchie Hwy,,Baltimore,MD,21225,US,,4106090140,,2021-08-27,,,S,,,,
Doc's Smoke Shop,3721 Eastern Ave,,Baltimore,MD,21224,US,https://docssmokeshop.com/,4103273676,info@docssmokeshop.com,2019-01-03,2021-08-27,Yes,S,CBD,Yes,,
Down Under Smoke Shop,3998 Roland Ave Ste B,,Baltimore,MD,21211,US,https://www.smokedownunder.com/,4436816936,,2018-08-06,2019-09-16,Yes,H,CBD,Yes,,
EzHut Smoke Shop,1003 S Charles St,,Baltimore,MD,21230,US,,4102445019,ezhut1003@gmail.com,2020-07-11,,Yes,S,CBD,Yes,,
Firefly,3714 Eastern Ave,,Baltimore,MD,21224,US,,4107321232,,2018-10-27,,,S,,,,
Golden Cave Tobacco-Vape-Hookah,1301 N Charles St,,Baltimore,MD,21201,US,,4102440011,,2018-08-15,2019-05-30,,S,,,,
Hot Zone Tobacco,708 S Broadway,,Baltimore,MD,21231,US,,4434387180,,2018-10-22,2019-03-25,Yes,S,CBD,Yes,,
Innerzen,1008 W 36th St,,Baltimore,MD,21211,US,https://innerzen.shop/,4109296879,innerzenglobal@gmail.com,2019-11-02,2019-11-16,Yes,C,CBD,,,
Jamz Vaporium,8150 Fort Smallwood Rd,,Baltimore,MD,21226,US,https://www.jamzvaporium.com/,4438172042,,2022-02-07,2022-02-07,Yes,V,CBD,,,
Karmic Connection,508 S Broadway,,Baltimore,MD,21231,US,http://karmicconnection.com/,4105580428,karmicconnection508@gmail.com,2018-11-07,2018-11-08,,S,,,,
Kratom KVC Shop,1407 Sulphur Spring Rd #C,,Baltimore,MD,21227,US,https://www.baltimorekratom.com,2407552583,urmobileshop@gmail.com,2021-08-18,,Yes,C,CBD,Yes,,
Kratom Vapor CBD Shop 1,1000 Dundalk Ave,,Baltimore,MD,21224,US,,4432518425,kratomvapourcbd@gmail.com,2021-02-26,,Yes,S,CBD,Yes,,
Mona Lisa Tobacco & Gifts,1712 Thames St,,Baltimore,MD,21231,US,,4105220010,,2018-11-07,,,S,,,,
Mr. Smoke Baltimore,900 Light St,,Baltimore,MD,21230,US,,4439485495,mrsmokemd@gmail.com,2021-06-30,,Yes,S,CBD,,,
Parkville Vape House,7231 Harford Rd,,Baltimore,MD,21234,US,,4438334577,,2018-09-22,,,V,,,,
Patorco Smoke Shop & CBD Flower,1132 S Charles St,,Baltimore,MD,21230,US,https://www.pator.co,4437082559,officialpatorco@gmail.com,2020-12-14,2020-12-14,Yes,H,CBD,,,
"Romeo and Julieta Cigar, Tobacco And Vaporizer",2924 O'Donnell St,,Baltimore,MD,21224,US,,4434385414,,2018-08-06,2019-11-02,,S,,,,
Smoke District,503 W Cold Spring Ln,,Baltimore,MD,21210,US,,4438354711,store@thesmokedistrictstore.com,2021-08-29,2021-08-29,Yes,S,CBD,Yes,,
The Corner Store CBD,1114 Cathedral St Suite 2,,Baltimore,MD,21201,US,https://the-corner-store-glass-shop.business.site/,6673123010,,2020-12-18,,Yes,C,CBD,,,
The World Tobacco,602 S Broadway,,Baltimore,MD,21231,US,https://the-world-tobacco.business.site/,4103277300,,2021-08-30,,Yes,S,CBD,Yes,,
Tobacco Barrel,1415 Merritt Blvd #B,,Baltimore,MD,21222,US,,4102846777,,2021-08-30,2021-08-30,,T,,,,
Tobacco Barrel,3834 E Lombard St,,Baltimore,MD,21224,US,,4105344600,,2021-08-30,,,S,,,,
Tobacco Depot Overlea,6606 Belair Rd,,Baltimore,MD,21206,US,https://business,4104441744,,2021-08-31,,Yes,S,CBD,,,
Vapor CBD Baltimore,853 E Fort Ave,,Baltimore,MD,21230,US,,4434385297,,2021-09-01,,Yes,V,CBD,,,
Burns CBD,2123 Conowingo Rd,,Bel Air,MD,21014,US,https://www.burnscbd.com/,4433450078,sales@burnscbd.com,2020-11-21,,Yes,C,CBD,,,
Class 5 Vapors - Bel Air,2418 Churchville Rd,,Bel Air,MD,21015,US,http://www.class5vapors.com/,4109145918,,2018-08-15,2019-03-25,Yes,V,CBD,,,
Tobacco Stop,5 Bel Air S Pkwy # 1627,,Bel Air,MD,21015,US,,4105692092,,2020-03-09,,Yes,S,CBD,,,
Towson Vaporium - Bel Air,1323 Baltimore Pike,,Bel Air,MD,21014,US,,4437935648,towsonvaporium@gmail.com,2018-08-15,2020-02-11,Yes,V,CBD,,,
Vape Dojo Bel Air,138 N Bond St,,Bel Air,MD,21014,US,https://vapedojo.com/,4433716268,info@thevapelounge.com,2018-08-15,2019-05-30,Yes,V,CBD,,,
Vape Dojo Belcamp,1321 Riverside Pkwy Ste F-3,,Belcamp,MD,21017,US,https://vapedojo.com/,4433604204,info@vapedojo.com,2019-05-30,2019-05-30,Yes,V,CBD,,,
Delmarva Health thru CBD,10445 Old Ocean City Blvd Unit 3,,Berlin,MD,21811,US,https://delmarvahealththrucbd.com/,4106502292,nathan@dhtcbd.com,2021-05-08,2022-04-06,Yes,C,CBD,,,
Bethesda Hemp & Wellness LLC,8004 Norfolk Ave,,Bethesda,MD,20814,US,https://bethesdahempwellness.com,3013477122,andrea@cbdbethesda.com,2022-03-14,2022-03-14,Yes,C,CBD,,,
Funkypiece Smoke Shop & Glass Gallery,7814 Old Georgetown Rd,,Bethesda,MD,20814,US,http://www.funkypiece.com,2408003905,sales@funkypiece.com,2018-12-17,,Yes,S,CBD,Yes,,
One Flight Up Smoke Shop,5004 Governor Ritchie Hwy #A,,Brooklyn,MD,21225,US,http://www.oneflightupsmokeshop.com/,4107898600,,2018-08-06,2019-10-30,Yes,H,CBD,,,
The Vape It Store,309 Sunburst Hwy Unit 5,,Cambridge,MD,21613,US,https://thevapeitstores.com/,4432255386,vapeitofcambridge@gmail.com,2018-08-13,2020-02-09,,V,,,,
Global Discount Tobacco,7089 Allentown Rd,,Camp Springs,MD,20748,US,,2405585659,,2022-04-19,2022-04-19,,S,,,,
Vapist MD,6321 Old Branch Ave,,Camp Springs,MD,20748,US,http://www.vapistmd.com/,3013856871,vapistmd@comcast.net,2018-09-30,,,V,,,,
Discount Tobacco & Vapor Shop,4867 Marlboro Pike,,Capitol Heights,MD,20743,US,,3015682125,,2019-09-12,2019-09-12,Yes,S,CBD,,,
KVC Smoke Shop,6409 Frederick Rd,,Catonsville,MD,21228,US,https://catonsvillesmokeshop.com/,4104217903,,2021-03-01,,Yes,S,CBD,Yes,,
Peace of Sunshine,2 Mellor Ave,,Catonsville,MD,21228,US,http://www.peaceofsunshine.com,4107880942,peaceofsunshine@comcast.net,2019-01-03,,Yes,H,CBD,Yes,,
Tobacco Express,728 N Rolling Rd,,Catonsville,MD,21228,US,https://www.tobacco-express-728.com/,4436365144,tobaccoexpress827@gmail.com,2021-08-31,,Yes,S,CBD,Yes,,
Towson Vaporium - Catonsville,5602 Baltimore National Pike Ste 100,,Catonsville,MD,21228,US,,4109497844,,2018-08-15,2020-02-11,Yes,V,CBD,,,
Vapor Villa,730 Frederick Rd Ste 202,,Catonsville,MD,21228,US,https://www.vaporvilla.com/,4432512163,info@vaporvilla.com,2018-09-30,,,V,,,,
Chesapeake Vape,1607 Postal Rd,,Chester,MD,21619,US,https://chesapeakevape.com/,4432621747,chesapeakevape@gmail.com,2014-09-25,2019-03-25,,V,,,,
Cheverly Food Mart Cigar and Hookah,6435 Landover Rd,,Cheverly,MD,20785,US,,2404876861,,2022-01-04,2022-03-25,,S,,,,
Vape N Cigar,12447 Clarksville Pike,,Clarksville,MD,21029,US,https://www.vapencigarclarksville.com/,6672005185,,2021-09-01,,Yes,S,CBD,Yes,,
Sam's Shop,9020 Woodyard Rd,,Clinton,MD,20735,US,,3018775140,,2021-10-24,,,S,,,,
CBD Plus USA - Cockeysville,9832 York Rd Ste 1C,,Cockeysville,MD,21030,US,https://cbdplususa.com/,8334223758,info@cbdplususa.com,2019-08-15,2019-08-15,Yes,C,CBD,,,
Hazy Daze,10621 York Rd,,Cockeysville,MD,21030,US,https://www.hazydazemd.com,4103527498,erickg@hazydazemd.com,2021-12-09,2021-12-09,,H,,,,
Place of Vapes,10037 York Rd,,Cockeysville,MD,21030,US,,4436892950,,2021-08-27,,Yes,V,CBD,,,
Smokin Treasures,10838 York Rd,,Cockeysville,MD,21030,US,https://smokintreasures.com/,4107477770,smokingtreasures@gmail.com,2019-01-07,,Yes,H,CBD,,,
Tobacco Etc,122 Cranbrook Road,,Cockeysville,MD,21030,US,https://www.tobacco-etc.com/,4106670009,tobacco.etc122@gmail.com,2018-10-28,,,S,,,,
Avail Vapor - College Park,10250 Baltimore Ave Ste C,,College Park,MD,20740,US,http://availvapor.com,2409656025,custservice@availvapor.com,2014-09-13,2019-06-18,Yes,V,CBD,,,
Mr. Smoke College Park,7313 Baltimore Ave Ste D,,College Park,MD,20740,US,http://mrsmokemd.com,2407145876,mrsmokemd@gmail.com,2019-01-03,2019-01-04,Yes,H,CBD,Yes,,
One Stop Shop,4509 College Ave,,College Park,MD,20740,US,,2407703128,1stopumd@gmail.com,2019-05-06,,,S,,,,
The Bamboo Eater,9935 Rhode Island Ave,,College Park,MD,20740,US,http://www.thebambooeater.com/,3014411012,thebambooeater9935@gmail.com,2018-10-18,2019-03-03,Yes,S,CBD,,,
Tobacco & Vape King,9213 Baltimore Ave,,College Park,MD,20740,US,https://www.tobaccokings.com/,2409657495,,2022-02-14,2022-02-14,Yes,S,CBD,Yes,,
Vape Exchange,8145 Baltimore Ave Ste D,,College Park,MD,20740,US,,2405424230,vapeexchangecp@gmail.com,2018-08-15,2020-02-12,Yes,V,CBD,,,
Cigare by Tobacco Etc.,10300 Little Patuxent Pkwy,,Columbia,MD,21044,US,http://www.cigaremd.com/,4107307750,,2019-08-19,,,T,,,,
Mean Street Vapor,7060 Oakland Mills Rd Ste C,,Columbia,MD,21045,US,https://www.meanstreetvapor.com/,4435464493,info@meanstreetvapor.com,2018-08-06,2020-01-15,Yes,V,CBD,,,
Pars Market LLC,9400 Snowden River Pkwy Ste 109,,Columbia,MD,21045,US,http://www.parsmarketcolumbia.com/,4432590002,parsmarket@ymail.com,2019-01-03,2020-02-22,Yes,S,CBD,Yes,,
Vape N Cigar,7104 Minstrel Way #7,,Columbia,MD,21045,US,http://www.vapencigar.com/,4103092766,vapencigar@gmail.com,2019-10-14,2019-10-14,Yes,S,CBD,,,
Mystic Piercing & Tattoo,2179 Defense Hwy,,Crofton,MD,21114,US,https://www.mysticpiercing.com/,4104517255,mysticpiercing@aol.com,2018-11-10,2018-11-12,,H,,,,
