Shop Name,Address 1,Address 2,City,State/Province,Zip/Postcode,Country,Website,Phone,Email,Added,Updated,CBD,Biz Type,MJ,Kratom,Buyer name ,Title 
Allston Market,169 Harvard Ave,,Allston,MA,2134,US,,6177837180,allstonmarket@gmail.com,2018-12-19,2020-01-30,,S,,,,
Buried Treasures,377 Cambridge St,,Allston,MA,2134,US,https://www.buriedtreasuresboston.com/,6177821918,,2018-10-27,,Yes,H,CBD,Yes,,
Fast Eddie's Smoke Shop,6A Glenville Ave,,Allston,MA,2134,US,,6177195824,,2018-10-22,2018-11-11,,S,,,,
Exscape Smoke Shop,96 N Pleasant St,,Amherst,MA,1002,US,http://exscapesmoke.com/,4138350121,,2018-10-22,,,S,,,,
Wild Side Smoke Shop,332 College St,,Amherst,MA,1002,US,,4132303936,,2019-01-01,,Yes,H,CBD,,,
"Your CBD Store - Arlington, MA",460 Massachusetts Ave,,Arlington,MA,34266,US,https://cbdrx4u.com/,7814008888,arlington444@cbdrx4u.com,2019-09-13,2019-09-13,Yes,C,CBD,,,
Nostalgic N More,75 Pleasant St,,Attleboro,MA,2703,US,http://www.nostalgicnmore.com/,5084550534,nostalgicnmorefb64@comcast.net,2018-07-24,2019-07-30,,S,,,,
Puffins Smoke Shop,693 Washington St,,Attleboro,MA,2703,US,http://www.puffinssmokeshop.com/,5086395754,puffinssmokeshop@gmail.com,2020-02-06,2020-02-06,Yes,H,CBD,Yes,,
South Side Variety,173 Westminster Ave Unit 2,,Attleboro,MA,2703,US,https://south-side-variety-store.business.site/,5083996760,,2020-08-18,,,S,,,,
Jack's Vape & Smoke,567 Southbridge St,,Auburn,MA,1501,US,https://www.jacksvarietyandvape.com/,5088324226,jacksvariety@aol.com,2018-09-30,,,V,,,,
CBD Releaf Center,421 Pulaski Blvd,,Bellingham,MA,2019,US,https://mycbdreleafcenter.com/,7744606084,releafcenter1@gmail.com,2020-07-16,,Yes,C,CBD,,,
Bell Smoke Shop,852 Boston Rd,,Billerica,MA,1821,US,,9787973005,tejal.patel14@gmail.com,2019-08-15,2020-02-20,Yes,S,CBD,Yes,,
Billerica Smoke Shop,480 Boston Rd #108,,Billerica,MA,1821,US,,9786635946,billericasmokeshop@gmail.com,2018-10-14,,,S,,,,
Blackstone Smoke Shop,2 Main St,,Blackstone,MA,1504,US,,5089281094,,2019-07-25,,,S,,,,
21 Plus Smoke Shop #2,380 Centre St,,Boston,MA,2130,US,,6175220240,21plussmokeshop@hmail.com,2020-10-07,,Yes,S,CBD,,,
3J Hookah,646 Blue Hill Ave Unit  4,,Boston,MA,2121,US,,6179829885,3jhookah@gmail.com,2021-11-28,2021-11-28,,T,,,,
Blue Moon Smoke Shop,470 Commonwealth Ave,,Boston,MA,2215,US,,6179826950,bluemoonsmokeshop@gmail.com,2018-10-14,2018-10-14,Yes,S,CBD,,,
Blue Moon Smoke Shop,263 Newbury St,,Boston,MA,2116,US,,8572771610,,2021-06-17,,Yes,S,CBD,,,
Boston Smoke Shop,40 Boylston St,,Boston,MA,2116,US,,6172591736,,2019-07-28,2019-07-28,,S,,Yes,,
Boston Smoke Shop - South Boston,334 Dorchester St,,Boston,MA,2127,US,https://www.bostonsmokeshop.com/,6172682785,,2018-10-15,2019-03-25,Yes,S,CBD,,,
Buried Treasures,28 Haviland St,,Boston,MA,2115,US,https://www.buriedtreasuresboston.com/,6172471011,,2018-10-27,,Yes,H,CBD,Yes,,
CBD American Shaman - Boston,227 Newbury St,,Boston,MA,2116,US,,8573174159,nathan@thegoodleaf.net,2019-11-08,,Yes,C,CBD,,,
Chansky Smoke Shop,159 Sutherland Rd,,Boston,MA,2135,US,,8573321594,,2021-12-08,2021-12-08,Yes,S,CBD,Yes,,
Christian Wireless & Hookah,373 Blue Hill Ave,,Boston,MA,2121,US,,8572308228,,2018-06-02,2021-11-28,,T,,,,
City Smoke Shop,87 Salem St,,Boston,MA,2113,US,https://citysmokeshop.com/,8573431990,contact@thecitysmokeshop.com,2021-10-26,2021-10-26,Yes,S,CBD,Yes,,
City Smoke Shop,324 Newbury St,,Boston,MA,2115,US,https://citysmokeshop.com/,6176865271,sales@citysmokeshop.com,2021-10-26,2021-10-26,Yes,S,CBD,Yes,,
City Smoke Shop,957 Commonwealth Ave,,Boston,MA,2115,US,https://citysmokeshop.com/,6178949226,sales@citysmokeshop.com,2021-10-26,2021-10-26,Yes,S,CBD,Yes,,
City Smoke Shop,449 Washington St,,Boston,MA,2108,US,https://citysmokeshop.com/,8573033018,contact@thecitysmokeshop.com,2021-10-26,2021-10-26,Yes,S,CBD,Yes,,
City Smoke Shop 167,167 Newbury St,,Boston,MA,2115,US,https://citysmokeshop.com/,6176865271,sales@citysmokeshop.com,2021-10-26,2021-11-26,Yes,S,CBD,Yes,,
Eastie Smoke Shop,76 Bennington St,,Boston,MA,2128,US,http://www.eastiesmokeshop.com,6174187104,support@eastiesmokeshop.com,2018-10-21,,Yes,S,CBD,,,
Good Glass,244 Brighton Ave Ste 103,,Boston,MA,2134,US,http://www.goodglassgallery.com/,6175621684,goodglassgallery@gmail.com,2018-11-30,2020-01-16,Yes,H,CBD,,,
Kang's Corner,56 Gainsborough St,,Boston,MA,2115,US,,6172666876,,2018-10-27,,,S,,,,
King Smoke Shop,992 Dorchester Ave,,Boston,MA,2125,US,http://www.kingsmoke1.com/,6175143002,contactkingsmoke@gmail.com,2020-07-08,,Yes,S,CBD,,,
