Shop Name,Address 1,Address 2,City,State/Province,Zip/Postcode,Country,Website,Phone,Email,Added,Updated,CBD,Biz Type,MJ,Kratom,Buyer name,Title
The Head Shed,2309 US-223,,Adrian,MI,49221,US,http://cybershed.com,5177594190,joe@cybershed.com,2019-01-15,,Yes,H,CBD,,,
The Tobacco Shoppe,1390 S Main St,,Adrian,MI,49221,US,https://www.thetobaccoshoppeinc.com/,5179204961,info@thetobaccoshoppeinc.com,2018-09-29,,Yes,T,CBD,,,
Wild Bill's Tobacco,1200 S Main St,,Adrian,MI,49221,US,http://www.wildbillstobacco.com/,5174388282,help@wildbillstobacco.com,2018-09-30,,Yes,T,CBD,Yes,,
Corona Smoke Shop,111 N Superior St,,Albion,MI,49224,US,http://coronasmokeshop.com/,5176300010,coronasmokeshop@gmail.com,2019-09-01,9/1/2019,,S,,,,
Wild Bill's Tobacco,2614 Pointe Tremble Rd,,Algonac,MI,48001,US,http://www.wildbillstobacco.com/,8107942944,help@wildbillstobacco.com,2018-10-25,2/25/2019,Yes,S,CBD,Yes,,
Cloud 10,1608 Lincoln Rd Ste A,,Allegan,MI,49010,US,http://cloud10shop.com/,2699783131,cloud10shop@live.com,2018-12-21,,Yes,H,CBD,Yes,,
Rogue Dreams,1247 Lincoln Rd,,Allegan,MI,49010,US,,2696735205,roguedreams13@yahoo.com,2018-10-24,10/24/2018,Yes,S,CBD,Yes,,
Advanced Vapors,15672 Southfield Rd,,Allen Park,MI,48101,US,,3132779550,advancedvapors313@gmail.com,2019-07-16,,Yes,V,CBD,Yes,,
Smoketopia,8457 Park Ave,,Allen Park,MI,48101,US,,3134066725,,2022-05-13,5/13/2022,,S,,,,
GR E Liquid Vapor Lounge,4965 Lake Michigan Dr,,Allendale,MI,49401,US,http://eliquidvaporlounge-gr.com/,6167770994,greliquidallendale@gmail.com,2014-08-29,5/14/2019,Yes,V,CBD,,,
Inferno Vape & Smoke,10897 48th Ave Ste B500,,Allendale,MI,49401,US,,6169861520,infernoallendale@gmail.com,2022-04-21,4/21/2022,Yes,S,CBD,,,
Willies One Stop Shop,6101 Lake Michigan Dr Ste B300,,Allendale,MI,49401,US,https://willies-one-stop-shop.business.site/,6169861511,williesonestop@gmail.com,2020-08-14,,Yes,H,CBD,Yes,,
Future Smoke and Vape Shop,1610 Wright Ave,,Alma,MI,48801,US,,9892851199,,2018-08-06,9/17/2019,Yes,H,CBD,,,
Holy Smokes Tobacco & Cigar Shoppe,148 S Ripley St,,Alpena,MI,49707,US,,9893402242,,2019-12-02,,Yes,S,CBD,,,
42 Degrees Ann Arbor,615 1/2 E William St,,Ann Arbor,MI,48104,US,,7346659600,info@42degreesglass.com,2018-12-13,,,H,,,,
A Clean Cigarette,2366 E Stadium Blvd Ste B,,Ann Arbor,MI,48104,US,https://www.acleancigarette.com/,7346775880,info@acleancigarette.com,2018-06-29,7/13/2019,Yes,V,CBD,,,
Ann Arbor Liquor,3937 Jackson Rd,,Ann Arbor,MI,48103,US,,7342225111,,2022-01-24,1/24/2022,Yes,O,CBD,Yes,,
