Shop Name,Address 1,Address 2,City,State/Province,Zip/Postcode,Country,Website,Phone,Email,Added,Updated,CBD,Biz Type,MJ,Kratom,Buyer name ,Title 
Big Dream Organics,1723 W Main St,,Albert Lea,MN,56007,US,https://bigdreamorganics.com/,5074380676,bigdreamorganics@gmail.com,2020-11-19,,Yes,C,CBD,,,
Tobacco Store,2312 Hendrickson Rd,,Albert Lea,MN,56007,US,,5073770177,albertleatobaccostore@gmail.com,2019-05-24,2020-03-09,Yes,S,CBD,,,
Albertville Tobacco and Vapor,11008 61st St NE Ste 1005,,Albertville,MN,55301,US,,7634971511,avtobacco@gmail.com,2019-07-16,,Yes,S,CBD,,,
EBacco,410 30th Ave E Ste 104,,Alexandria,MN,56308,US,http://www.ebaccocigs.com,3202196585,,2018-10-21,2018-10-21,,V,,,,
Infinite Vapor Alexandria,1402 Broadway St #3,,Alexandria,MN,56308,US,http://www.infinitevapor.com/,3207668273,alexandria@infinitevapor.com,2017-10-31,2021-06-16,Yes,V,CBD,,,
King Tobacco,4617 MN-29,,Alexandria,MN,56308,US,,3202197490,,2019-12-04,2019-12-04,Yes,S,CBD,,,
CBD RS,13650 Hanson Blvd NW #104,,Andover,MN,55304,US,,7632054394,,2020-11-29,,Yes,C,CBD,,,
Pure X-Hale,15190 Bluebird St NW Ste 104,,Andover,MN,55304,US,https://www.purex-hale.com/,7634326803,purexhale11@gmail.com,2018-10-24,2021-04-12,Yes,V,CBD,Yes,,
House of Oilworx,1919 2nd Ave,,Anoka,MN,55303,US,https://houseofoilworx.com/,6124407060,admin@houseofoilworx.com,2021-02-08,,Yes,C,CBD,,,
The eCig Shop,530 W Main St #7A,,Anoka,MN,55303,US,http://www.ecigshopmn.com/,7632084718,,2018-08-06,2020-01-02,Yes,V,CBD,,,
Tobacco Valley,7539 148th St W,,Apple Valley,MN,55124,US,https://avtobaccoandvape.com,9524313000,,2019-01-06,,,S,,,,
Arden Hills Tobacco,3673 Lexington Ave N,,Arden Hills,MN,55126,US,http://ardenhillstobacco.com,6517668885,,2018-06-10,2018-10-13,,T,,Yes,,
Dick's Headshop,12 E 3rd Ave N,,Aurora,MN,55705,US,,2185658013,,2018-11-06,,,H,,,,
Austin Tobacco,1004 18th Ave NW Ste C,,Austin,MN,55912,US,,5074331603,austintobacco@gmail.com,2019-07-20,,,S,,,,
Superior Cannabis Company,125 Main St N,,Austin,MN,55912,US,https://www.superiorcannabiscompany.com/,5074381000,jbrinkman@superiorcannabiscompany.com,2020-12-26,,Yes,C,CBD,,,
King Tobacco Baxter,14695 Edgewood Dr N,,Baxter,MN,56425,US,,2188299661,,2019-07-01,,,S,,Yes,,
Pure X-Hale,15175 Edgewood Dr Ste 110,,Baxter,MN,56401,US,,2182703240,purexhale11@gmail.com,2018-08-06,2019-12-31,Yes,V,CBD,,,
Good Spirits & Smoke,13850 1st St Ste 3,,Becker,MN,55308,US,http://www.goodspiritsandsmoke.com/,7632614445,goodspiritsandsmoke@gmail.com,2019-08-13,,,S,,,,
Belle Plaine Tobacco Vape & CBD,109 N Meridian St,,Belle Plaine,MN,56011,US,https://belle-plaine-tobacco-vape-cbd.business.site/,5076071396,belleplainetobacco@gmail.com,2022-01-18,2022-01-18,Yes,T,CBD,Yes,,
CBD of Bemidji,119 Paul Bunyan Dr NW,,Bemidji,MN,56601,US,https://www.cbdbemidji.com/,2182092349,bemidjihempdropz@gmail.com,2020-11-27,,Yes,C,CBD,,,
Happy 420 Merch,114 4th St NW,,Bemidji,MN,56601,US,,2184445543,contactus@happy420merch.com,2021-11-02,2021-11-02,Yes,H,CBD,,,
Northland Vapor Company & CBD,1500 Bemidji Ave N,,Bemidji,MN,56601,US,https://northlandvapor.com/,2184442992,info@northlandvapor.com,2021-02-22,2021-02-22,Yes,V,CBD,,,
