Shop Name,Address 1,Address 2,City,State/Province,Zip/Postcode,Country,Website,Phone,Email,Added,Updated,CBD,Biz Type,MJ,Kratom,Buyer name ,Title 
Tobacco SuperStore,1504 US-278 #A,,Amory,MS,38821,US,http://tobaccosuper.com/,6622570219,,2020-03-01,,,T,,,,
Baldwyn Discount Tobacco,324 S 4th St,,Baldwyn,MS,38824,US,,6623659990,,2019-07-21,,,T,,,,
"R & B Tobacco, Beer and Vapor",162 MS-6,,Batesville,MS,38606,US,,6625787481,,2020-01-12,,,T,,,,
Bay Tobacco & Beer,200 US-90,,Bay St Louis,MS,39520,US,,2284675678,,2019-07-22,,Yes,S,CBD,Yes,,
Huff n Puff,295 US-90 #22,,Bay St Louis,MS,39520,US,,2283443344,,2018-08-06,2019-10-02,,S,,,,
Full Spectrum CBD 4U,280 Eisenhower Dr,,Biloxi,MS,39531,US,https://fscbd4u.com/,2289677441,tommyg@fscbd4u.com,2021-01-09,2021-01-09,Yes,C,CBD,,,
Huff N Puff,920 Cedar Lake Rd Ste N,,Biloxi,MS,39532,US,,2283961313,huffnpuff08@gmail.com,2018-08-06,2019-10-02,,S,,,,
Koast Kratom,2337 Pass Rd Ste A,,Biloxi,MS,39531,US,https://koast-kratom.business.site/,2283348352,,2021-02-25,2021-02-25,Yes,O,CBD,Yes,,
MVapes,2600 Beach Blvd Ste 903,,Biloxi,MS,39531,US,,2282093803,mvapes228@gmail.com,2019-05-05,,Yes,V,CBD,,,
My CBD Hub MS,921 Cedar Lake Rd Ste A,,Biloxi,MS,39532,US,,2282227398,,2021-03-09,,Yes,C,CBD,,,
SmokeScreen,19099 Pineville Rd Ste H,,Biloxi,MS,39560,US,https://www.smokescreenllc.com/,2282144377,info@smokescreenllc.com,2018-09-11,2020-01-01,Yes,V,CBD,,,
Vaporized Biloxi,2575 Pass Rd Ste F,,Biloxi,MS,39531,US,https://www.myvaporized.com/,2282808833,vaporized.biloxi@gmail.com,2019-06-03,2019-06-03,,V,,,,
Ya Ya's,2751 Pass Rd,,Biloxi,MS,39531,US,,2285942061,yayasinc@bellsouth.net,2018-11-21,2018-12-03,Yes,H,CBD,Yes,,
Good Life Vape Shop,1189 Old Fannin Rd,,Brandon,MS,39047,US,,7694475997,goodlife.ms@yahoo.com,2016-07-12,2019-04-14,Yes,V,CBD,,,
Tobacco Mart,207 Highway 51 N,,Brookhaven,MS,39601,US,,6018330085,,2020-01-16,2020-01-16,,T,,,,
Vaporized Brookhaven,303 US-51 S,,Brookhaven,MS,39601,US,https://www.myvaporized.com/,6016696584,vaporized.brookhaven@gmail.com,2018-09-30,,,V,,,,
Moonlight Adult Video,6034 I-55 S Frontage Rd,,Byram,MS,39272,US,http://www.moonlightadultvideo.com/,6013733155,,2020-01-11,,,O,,,,
Canton Super Discount Tobacco,203 Meadowlark Dr,,Canton,MS,39046,US,https://canton-super-discount-tobacco.business.site/,6018595620,,2018-10-07,,Yes,T,CBD,,,
VapeBox,137 Yandell Rd,,Canton,MS,39046,US,,6018988398,,2020-12-13,,Yes,V,CBD,,,
Chew Chew's Smokin Depot,15 W Union Rd,,Carriere,MS,39426,US,,6017993737,chewchewssmokin@att.net,2019-08-05,,,S,,,,
Tobacco SuperStore,306 MS-16,,Carthage,MS,39051,US,http://tobaccosuper.com/,6012674567,,2020-03-01,,Yes,T,CBD,,,
The Vapor Shak,419 N Davis Ave Ste A,,Cleveland,MS,38732,US,,6623941153,,2016-05-20,2019-10-04,,V,,,,
Lucky Leaf Discount Tobacco,509 Springridge Rd #C,,Clinton,MS,39056,US,,6019248818,,2020-01-05,,,T,,,,
Sipp Vapes,121 US-80,,Clinton,MS,39056,US,https://sipp-vapes.business.site/,6014884745,,2021-01-11,,Yes,V,CBD,,,
D & B Discount Tobacco & More,316 Main St,,Collins,MS,39428,US,,6017650500,,2019-09-02,2019-09-02,,T,,,,
Bad Wolf Vape Shop,1213 US-98 Byp,,Columbia,MS,39429,US,,6016335064,,2018-08-06,2020-01-17,,V,,Yes,,
1810 Vapors,1909 US-45,,Columbus,MS,39705,US,http://www.1810vapors.com/,6625704812,1810vapes@gmail.com,2018-08-06,2018-12-23,,V,,,,
Nu Way Vape,2321 US-45 Ste A,,Columbus,MS,39705,US,,6627980558,nuwayvape@gmail.com,2018-08-06,2019-09-10,,V,,,,
Sensations,4061 MS-373,,Columbus,MS,39705,US,,6624348599,,2018-12-05,2020-02-15,,H,,Yes,,
Tobacco Warehouse,2217 N Hwy 45 Frontage Rd,,Columbus,MS,39705,US,,6623272299,,2020-02-19,,Yes,S,CBD,,,
"Your CBD Store - Columbus, MS",1118 Gardner Blvd,,Columbus,MS,39702,US,https://cbdrx4u.com/,6628899109,columbusms@cbdrx4u.com,2019-09-13,2020-02-05,Yes,C,CBD,,,
Prescott's Hemp,401 US-72,,Corinth,MS,38834,US,https://prescottshemp.com/,6623319171,info@prescottshemp.com,2021-02-09,2021-08-23,Yes,C,CBD,,,
Tobacco Plus,1000 US-72 E,,Corinth,MS,38834,US,,6622873300,,2018-10-25,2020-05-05,Yes,S,CBD,Yes,,
Cloud 9 Vapes,3586 Sangani Blvd,,D'Iberville,MS,39540,US,https://www.cloudycollabs.com/,2282072567,cloud9vapesllc@gmail.com,2020-12-02,,,V,,,,
Coastal Health and Wellness Boutique,3200 Mallett Rd Ste D2,,D'Iberville,MS,39540,US,https://www.coastalhwb.com/,2282071448,contact@coastalhwb.com,2020-12-15,2021-07-03,Yes,C,CBD,,,
Four Seasons Cigar Beer & Tobacco,3680 Sangani Blvd,,D'Iberville,MS,39540,US,,2283961936,fourseasonsbct@outlook.com,2019-06-14,,Yes,S,CBD,,,
GC Vapors,4020 Popp's Ferry Rd Ste A,,D'Iberville,MS,39540,US,https://www.gcvapors.com/,2283920169,info@gcvapors.com,2014-08-29,2019-04-13,,V,,,,
MVapes,3254 Mallett Rd Ste C,,D'Iberville,MS,39540,US,,2282546688,mvapes228@outlook.com,2015-08-18,2019-01-28,Yes,V,CBD,,,
Natal's Cigar Shoppe and Tobacco Hut,4402 E Aloha Dr Ste 1A,,Diamondhead,MS,39525,US,,2282559777,,2020-01-15,2020-01-15,,T,,,,
PBR Vapors,5208 MS-15,,Ecru,MS,38841,US,https://pbr-vapors.business.site/,6622002336,pbrvapors@gmail.com,2017-07-17,2020-02-03,Yes,V,CBD,,,
Cool Vapes,4220 Lakeland Dr Ste H,,Flowood,MS,39232,US,,6014876126,coolvapes@coolvapesms.com,2015-01-21,2019-02-20,,V,,,,
Discount Tobacco Store,671 Grants Ferry Rd Ste C,,Flowood,MS,39232,US,,6019923571,,2019-06-13,,Yes,S,CBD,,,
Sparx Vape Flowood,901 Lakeland Pl Ste 5A,,Flowood,MS,39232,US,,7695724967,sparkzonevape@gmail.com,2019-10-18,2020-03-24,,V,,,,
"Your CBD Store - Flowood, MS",145 Friendly & Fresh Dr Ste A,,Flowood,MS,39232,US,https://cbdrx4u.com/,7692515499,cbd3507@gmail.com,2019-09-13,2019-09-13,Yes,C,CBD,,,
Copper Road Vapor Shop,1509 S Adams St,,Fulton,MS,38843,US,,6628623100,,2019-08-28,,,V,,,,
SmokeScreen,4351 Gautier Vancleave Rd #D,,Gautier,MS,39553,US,https://www.smokescreenllc.com/,2285222420,info@smokescreenllc.com,2018-09-11,2020-01-01,Yes,V,CBD,,,
Delta Vapors,1422 S Main St,,Greenville,MS,38701,US,,6627439808,deltavaporsllc@gmail.com,2015-02-12,2022-04-18,,V,,,,
The Vapor Shak,1447 Hwy 1 S Ste B,,Greenville,MS,38701,US,,6623941153,,2016-05-06,2018-11-13,Yes,V,CBD,,,
Delta Clouds Vapor,915 Walnut St,,Greenwood,MS,38930,US,,6623927427,,2019-04-05,,,V,,,,
Cloud 9,1321 Sunset Dr Ste T,,Grenada,MS,38901,US,,6623072218,info@c9vaporco.com,2019-08-26,,,V,,,,
DB Rocks Quality Cbd,1015 Pass Rd Ste A,,Gulfport,MS,39501,US,,2285968090,,2020-12-15,2020-12-15,Yes,C,CBD,,,
Dr Feelgood Botanicals CBD and Kratom,1956 E Pass Rd Ste F,,Gulfport,MS,39507,US,,2282436382,drfeelgood9424@gmail.com,2020-12-24,,Yes,C,CBD,Yes,,
EVapes,1116 Cowan Rd Ste B,,Gulfport,MS,39507,US,http://evapes228.com/,2283801570,,2021-01-01,,Yes,V,CBD,,,
Gulfport CBD and Wellness by 5 Star Nutrition,10573 US-49 Ste B,,Gulfport,MS,39503,US,https://5starnutritionusa.com/,2282061407,gulfport@5starnutritionusa.com,2021-01-20,,Yes,O,CBD,,,
Herbal Alternatives,11530 US-49 Ste H,,Gulfport,MS,39503,US,http://www.herbalalternatives.org/,2283281686,admin@herbalalternatives.org,2019-01-14,,Yes,H,CBD,Yes,,
No Smoke About It Just Vape,11370 US-49 Ste H,,Gulfport,MS,39503,US,,2288063244,,2019-09-09,,Yes,V,CBD,,,
Pass Smoke & Vape Shop,1740 E Pass Rd,,Gulfport,MS,39507,US,https://passsmokevapeshop.com,9857901477,,2022-02-11,2022-02-11,Yes,S,CBD,Yes,,
Simply Tobacco Club,9442 US-49 Ste D,,Gulfport,MS,39503,US,http://simplytobaccoclub.com/,2282061369,info@simplytobaccoclub.com,2018-08-06,2019-06-15,Yes,T,CBD,,,
SmokeScreen,12449 US-49 Ste E,,Gulfport,MS,39503,US,https://www.smokescreenllc.com/,2282842710,info@smokescreenllc.com,2018-08-06,2020-01-01,Yes,V,CBD,,,
Smokey's,14527 Dedeaux Rd,,Gulfport,MS,39503,US,https://smokeysmsgulf.weebly.com/,2283280024,smokeys17@hotmail.com,2020-03-18,,,T,,Yes,,
Smokey's Tobacco & Beer Products,3411 Washington Ave,,Gulfport,MS,39507,US,,2288680355,smokeys17@hotmail.com,2020-03-20,,Yes,T,CBD,Yes,,
Up N Smoke,2905 25th Ave Ste B,,Gulfport,MS,39501,US,,2283575700,malekwholesale@yahoo.com,2019-07-03,,Yes,S,CBD,,,
Vaporized Gulfport,15520 Daniel Blvd Ste F,,Gulfport,MS,39503,US,https://www.myvaporized.com/,2288320095,,2018-08-06,2020-01-09,Yes,V,CBD,,,
A1 Vapor LLC,4400 Hardy St Ste A5,,Hattiesburg,MS,39402,US,,6013366279,a1vapor@yahoo.com,2018-09-30,,,V,,,,
BlueLeaf CBD LLC,1910 Hardy St Ste E,,Hattiesburg,MS,39401,US,https://www.blueleafcbd.org/,7693907438,blueleafcbd@yahoo.com,2020-11-21,,Yes,C,CBD,,,
Cloud 9 Vapor,6086 US-98 Ste 10,,Hattiesburg,MS,39402,US,http://anytabest.wixsite.com/cloud9ms,6012962378,,2019-08-08,2021-09-18,Yes,V,CBD,,,
Fuji CBD Hattiesburg,29 Rivers Dr Suite 30,,Hattiesburg,MS,39401,US,https://www.fujicbd.com/,,fujicbd@gmail.com,2021-01-09,,Yes,C,CBD,,,
Handy Pantry,2425 W 4th St,,Hattiesburg,MS,39401,US,,6015823211,,2019-01-10,,,H,,Yes,,
Hattiesburg CBD & Wellness by 5 Star Nutrition,3002 Hardy St Unit 150,,Hattiesburg,MS,39401,US,https://5starnutritionusa.com/,6013368455,,2021-01-21,,Yes,O,CBD,,,
