Shop Name,Address 1,Address 2,City,State/Province,Zip/Postcode,Country,Website,Phone,Email,Added,Updated,CBD,Biz Type,MJ,Kratom,Buyer name ,Title 
Gravois Vapor,10018 Gravois Rd,,Affton,MO,63123,US,,3146386300,gravoisvapor@gmail.com,2014-08-29,2020-10-08,Yes,V,CBD,,,
Cigarette Depot and Fireworks,36724 US-61,,Alexandria,MO,63430,US,http://cigarette-depotmo.business.site/,6607546801,cigarettedepot63430@gmail.com,2019-08-22,2019-08-22,Yes,S,CBD,Yes,,
Smokerz Outlet,2000 US-61,,Alexandria,MO,63430,US,,6607541001,,2019-12-09,,,S,,,,
Mr. Nice Guy Alton,2801 Homer M Adams Pkwy,,Alton,MO,62002,US,,6184338711,,2018-11-08,2019-06-08,Yes,H,CBD,Yes,,
Boyer's CBD Hemporium,1444 Jeffco Blvd,,Arnold,MO,63010,US,https://boyerscbd.com/,6363332331,boyerscbd@gmail.com,2020-10-25,,Yes,C,CBD,,,
E-cig Mania,3863 W Outer Rd,,Arnold,MO,63010,US,http://www.ecigmaniahillsboro.com/,6363333773,ecigmaniahillsboro@yahoo.com,2018-09-25,,,V,,,,
Smoke Shop,1389 Jeffco Blvd,,Arnold,MO,63010,US,,6362965523,,2020-02-23,,,T,,,,
Ultimate Vapor,1448 Jeffco Blvd,,Arnold,MO,63010,US,http://ultimate-vapor.com/,6363332447,admin@ultimate-vapor.com,2018-08-31,2020-03-03,,V,,,,
Smokers' Outlet,1510 S Elliott Ave #B,,Aurora,MO,65605,US,http://www.smokers4u.com/,4176782455,info@smokers4u.com,2020-03-15,,Yes,T,CBD,,,
Aqueous Vapor,15001 Manchester Rd,,Ballwin,MO,63011,US,http://aqueousvapor.com/,6366867219,info@aqueousvapor.com,2018-06-05,2019-06-20,Yes,V,CBD,,,
Blue Vapor,14796 Clayton Rd,,Ballwin,MO,63011,US,https://www.bluevaporstl.com/,6362209311,bluevaporstl@gmail.com,2022-01-20,2022-01-20,Yes,V,CBD,,,
CBD Kratom,15320 Manchester Rd,,Ballwin,MO,63011,US,http://cbdkratomshops.com/,6362203099,shopcbdkratom@gmail.com,2018-11-08,,Yes,H,CBD,Yes,,
Discount Smoke Shop,14666 Manchester Rd,,Ballwin,MO,63011,US,http://www.discountsmokeshop.com/,6362070459,,2019-10-20,,Yes,T,CBD,,,
Big E's Vapor Shop,8314 E 171st St,,Belton,MO,64012,US,http://www.bigesvaporshop.com/,8163883367,,2019-07-24,,Yes,V,CBD,,,
Organic Hemp Botanicals,144 Cedar Tree Square,,Belton,MO,64012,US,https://www.organichempbotanicals.com/,8163816073,healinglifenaturally@gmail.com,2021-02-15,,Yes,C,CBD,,,
Pete's Liquor,616 N Scott Ave Ste C,,Belton,MO,64012,US,https://mypetesliquor.com/,8164255238,peternzueni@mypetesliquor.com,2020-12-17,,Yes,O,CBD,,,
The Green Leaf,616 N Scott Ave #A,,Belton,MO,64012,US,,8164255656,peternzueni@cbdplustobacco.com,2020-12-17,,Yes,S,CBD,Yes,,
Smoker's Palace,410 N 39th St Unit C,,Bethany,MO,64424,US,http://smokers-palace-llc.business.site/,6604257800,,2020-03-10,,,S,,,,
Cherokee Hemp,264 NE Elm St,,Billings,MO,65610,US,,4172345602,info@thecherokeehemp.com,2020-12-03,,Yes,C,CBD,,,
7th Heaven,600 MO-7,,Blue Springs,MO,64014,US,,8162298006,,2021-12-14,2021-12-14,Yes,H,CBD,Yes,,
Blue Springs CBD,1300 MO-7,,Blue Springs,MO,64014,US,https://bluespringscbd.com/,8162284080,bluespringsfit@yahoo.com,2020-11-21,,Yes,C,CBD,,,
CBD American Shaman - Blue Springs,1412 S MO-7 Ste G,,Blue Springs,MO,64014,US,https://cbdamericanshaman.com/,8162951921,bluespringsbotanicals@gmail.com,2019-11-11,,Yes,C,CBD,,,
CigaWatt,1208 NW MO-7,,Blue Springs,MO,64014,US,http://www.cigawatt.com/,8169773356,janelle@cigawatt.com,2018-10-16,2018-10-16,,V,,,,
Good Life Advanced CBD & Kratom,204 SW 11th St,,Blue Springs,MO,64015,US,https://glakratom.com/,8162951876,mike@gla99.com,2020-11-21,,Yes,C,CBD,Yes,,
Natural Remedies CBD,2001 NW Jefferson St,,Blue Springs,MO,64015,US,https://naturalremedies-cbd.com/,8162299520,info@naturalremedies-cbd.com,2021-03-05,,Yes,C,CBD,,,
Vapor Up,307 SW MO-7,,Blue Springs,MO,64014,US,https://www.vapor-up.com/,8165856800,,2018-08-31,2020-03-03,,V,,,,
Vapor World Blue Springs,713 NW Hwy 7,,Blue Springs,MO,64015,US,https://www.vaporworldstore.com/,8164275772,info@vaporworldstore.com,2018-08-31,2020-03-02,Yes,V,CBD,Yes,,
Discount Smokeland,434 S Springfield Ave,,Bolivar,MO,65613,US,https://discount-smoke-land.business.site/,4179422556,,2020-12-16,,Yes,S,CBD,Yes,,
Smokers' Outlet,610 E Buffalo St,,Bolivar,MO,65613,US,http://www.smokers4u.com/,4177777281,info@smokers4u.com,2020-03-15,2020-03-15,Yes,S,CBD,,,
"Cheap Smokes Beer, Liquor & Loans",914 Benham St,,Bonne Terre,MO,63628,US,http://cheapsmokesandloans.com/,5733584040,,2019-08-02,,Yes,T,CBD,,,
Ultimate Vapor,10 W School St,,Bonne Terre,MO,63628,US,http://www.ultimate-vapor.com/,5733589424,admin@ultimate-vapor.com,2018-08-31,2020-03-03,Yes,V,CBD,,,
B-Town Vapory,1318 E State Hwy 76,,Branson,MO,65616,US,,4173368500,,2021-10-20,,Yes,V,CBD,,,
Branson Vapor,607 MO-165 Ste 4,,Branson,MO,65616,US,http://www.bransonvapor.com/,4173358273,bransonvapor@yahoo.com,2014-09-23,2019-02-05,,V,,,,
That Hippies House,2855 MO-76,,Branson,MO,65616,US,,4172500663,,2020-04-16,2020-04-16,,H,,,,
Vapor World,2212 W 76 Country Blvd Ste 105,,Branson,MO,65616,US,https://www.vaporworldstore.com/,4173347557,info@vaporworldstore.com,2018-08-31,2020-03-02,Yes,V,CBD,Yes,,
YSC CBD Dispensaries and Vapor Store,204 N Commercial St #250,,Branson,MO,65616,US,,4173353777,yoursunshinecompany@yahoo.com,2018-09-25,2020-01-26,Yes,C,CBD,,,
"YSC CBD Dispensaries, Vapor and Billiards",18942 MO-13 BUS Ste D,,Branson West,MO,65737,US,http://puffsmartbranson.com/,4172720141,,2018-09-25,2020-01-26,Yes,C,CBD,,,
Kratom Plus CBD,2554 S Brentwood Blvd,,Brentwood,MO,63144,US,,3145288337,lemay@kratompluscbd.com,2020-07-09,2020-07-09,Yes,C,CBD,Yes,,
STL Vapor,2516 S Brentwood Blvd,,Brentwood,MO,63144,US,http://stlvapor.com/,6362942755,stlvaporof@gmail.com,2018-09-11,,,V,,,,
Vaporized,12158 St Charles Rock Rd,,Bridgeton,MO,63044,US,https://www.vaporizedstl.com/,3147394655,vaporizedstl@gmail.com,2018-08-31,2020-03-02,,V,,,,
Rudy's Discount Smoke Shop,511 S Main St,,Brookfield,MO,64628,US,,6602589891,,2020-02-12,,,T,,,,
Smokers' Outlet,720 S Ash St,,Buffalo,MO,65622,US,http://www.smokers4u.com/,4173451014,info@smokers4u.com,2020-03-15,,Yes,T,CBD,Yes,,
Smokers' Outlet,1009 W Fort Scott St,,Butler,MO,64730,US,http://www.smokers4u.com/,6606794442,info@smokers4u.com,2020-03-15,2020-03-15,,T,,,,
Red Bud Emporium,513 Main St,,Cabool,MO,65689,US,,4179620714,redbudemporium@gmail.com,2022-05-04,2022-05-04,,H,,,,
CBD American Shaman Lake of the Ozarks,10 Camden Ct NE Ste 1C,,Camdenton,MO,65020,US,https://cbdamericanshaman.com/,5733179131,owner@cbdloz.com,2019-11-11,,Yes,C,CBD,,,
Vapor World Camdenton,108 Cecil St,,Camdenton,MO,65020,US,https://www.vaporworldstore.com/,5738732855,info@vaporworldstore.com,2018-08-31,2019-10-02,Yes,V,CBD,,,
Rudy's Discount Smoke Shop,1315 N Walnut St,,Cameron,MO,64429,US,http://www.discountsmokeshop.com/,8166324664,,2020-02-12,,,T,,,,
Smoker's Pit Stop,406 Lewis St Ste 10,,Canton,MO,63435,US,,5734062154,,2020-07-19,,Yes,T,CBD,,,
Chuckin' Clouds - Cape Girardeau,1131 N Kingshighway St Ste D,,Cape Girardeau,MO,63701,US,http://www.chuckinclouds.com,5732709975,chuckincloudscape@gmail.com,2018-10-17,2019-03-12,,V,,,,
Dirt Cheap,420 S Kingshighway,,Cape Girardeau,MO,63701,US,http://www.dirtcheapfunfun.com/,5733343775,dirtcheapchicken@gmail.com,2019-10-06,,Yes,T,CBD,,,
GlassRoots,907 Broadway St,,Cape Girardeau,MO,63701,US,https://www.moglassroots.com/,5738033373,info@moglassroots.com,2018-10-22,2018-10-22,Yes,S,CBD,,,
Hempies,111 N Main St,,Cape Girardeau,MO,63701,US,http://www.hempies.com,5733350006,hempies@hempies.com,2019-01-03,2022-03-11,Yes,H,CBD,Yes,,
Hypnotic Smoke Shop,629 Broadway St,,Cape Girardeau,MO,63701,US,http://hypnotic-smoke-shop-gift-shop.business.site/,5738033337,,2019-12-12,2019-12-12,Yes,S,CBD,Yes,,
SEMO CBD,1131 N Kingshighway St Ste F,,Cape Girardeau,MO,63701,US,https://www.semo-cbd.com/,5738033627,semocbd@gmail.com,2020-12-27,,Yes,C,CBD,,,
Semo Smokes,733 Broadway St,,Cape Girardeau,MO,63701,US,,5733320795,,2019-11-09,,,T,,Yes,,
Smokers' Outlet - Cape Girardeau,2116 William St,,Cape Girardeau,MO,63703,US,,5733352341,,2020-03-15,2022-02-01,,T,,Yes,,
Soo Vape,3049 William St Ste 109,,Cape Girardeau,MO,63703,US,,5735798791,soovape@yahoo.com,2014-10-09,2019-02-06,Yes,V,CBD,,,
Ultimate Vapor,703 Broadway St,,Cape Girardeau,MO,63701,US,http://ultimate-vapor.com/,5738030280,admin@ultimate-vapor.com,2021-06-18,2021-06-18,,V,,,,
Vape Cape Vape Shop,1031 Broadway St,,Cape Girardeau,MO,63701,US,,5732900138,vapecapevapeshop@gmail.com,2018-06-09,2019-06-21,,V,,,,
Vapor Maven,2136 William St Ste 145,,Cape Girardeau,MO,63703,US,,5733887302,vapormaven@gmail.com,2018-08-31,2020-03-03,Yes,V,CBD,,,
Mr T's Liquor Store & Smoke Shop,462 US-412,,Cardwell,MO,63829,US,http://www.mrtsriverside.com/,5736542313,riversideliquor@hotmail.com,2020-01-22,2021-10-21,,T,,,,
Pinnacle Vapor,424 W Fir Rd,,Carthage,MO,64836,US,https://pinnaclehemp.com/,4179554054,contact@pinnaclehemp.com,2018-09-25,2021-06-14,Yes,V,CBD,Yes,,
Vapor Maven,2426 Grand Ave,,Carthage,MO,64836,US,https://www.vapormaven.com/,4176806933,vapormaven@gmail.com,2018-08-06,2020-01-08,Yes,V,CBD,,,
Pop's Pipes,490 Hwy 76 Ste C,,Cassville,MO,65625,US,,4173426887,,2021-02-09,,Yes,H,CBD,Yes,,
Vapor World Cassville,105 Main St Ste 1,,Cassville,MO,65625,US,,4178470177,,2019-10-02,,,V,,,,
Smokerz Outlet,10 Charleston Ave,,Charleston,MO,63834,US,http://smokerz-outlet.business.site/,5736834646,,2020-03-16,,,S,,,,
Blue Key CBD,703 Long Rd Crossing Dr Ste 7,,Chesterfield,MO,63005,US,https://bluekeycbd.com/,6363434343,info@bluekeycbd.com,2020-11-21,,Yes,C,CBD,,,
STL Vapor,110 Chesterfield Valley Dr,,Chesterfield,MO,63005,US,http://stlvapor.com/,3148276765,stlvaporof@gmail.com,2018-09-11,,,V,,,,
The Green Dragon CBD,14856 Clayton Rd,,Chesterfield,MO,63017,US,https://www.thegreendragoncbd.com/,6362207278,david@thegreendragoncbd.com,2020-12-17,,Yes,C,CBD,,,
Coconut Grove,705 Locust St,,Chillicothe,MO,64601,US,,6609731121,groovycoconuts@gmail.com,2020-12-15,2021-08-14,Yes,C,CBD,,,
Vapor Maven Chillicothe,500 S Washington St,,Chillicothe,MO,64601,US,https://www.vapormaven.com/,6602405020,vapormaven@gmail.com,2018-01-11,2018-11-13,Yes,V,CBD,,,
Smoke Shop,10038 US-71,,Clearmont,MO,64431,US,,6605813030,,2020-02-21,,Yes,S,CBD,,,
Smokes 4 Less,102 E Main St,,Cleveland,MO,64734,US,,8166583134,,2020-03-16,,,T,,,,
Aardvarx,17 N 10th St,,Columbia,MO,65201,US,http://www.aardvarxstore.com,5738748600,aardvarxstore@gmail.com,2018-06-06,2018-10-12,,H,,,,
Aqueous Vapor,1406 Forum Blvd Ste 202,,Columbia,MO,65203,US,http://aqueousvapor.com/,5737778273,info@aqueousvapor.com,2019-10-03,2019-10-03,,V,,,,
Aqueous Vapor,601 Business Loop 70 E Ste B,,Columbia,MO,65201,US,,5738251955,info@aqueousvapor.com,2022-01-10,2022-01-10,,V,,,,
Aqueous Vapor - Columbia,21 Conley Rd Ste Q,,Columbia,MO,65201,US,https://aqueousvapor.com/,5734418273,info@aqueousvapor.com,2014-08-26,2019-03-05,Yes,V,CBD,,,
CBD American Shaman - Columbia,1400 Forum Blvd Ste 40,,Columbia,MO,65203,US,https://cbdamericanshaman.com/,5733555572,cbdcolumbia@gmail.com,2019-11-11,,Yes,C,CBD,,,
Como Vapor,601 Business Loop 70 W Ste 202,,Columbia,MO,65203,US,https://comovapor.com/,5732289936,info@comovapor.com,2018-08-06,2018-11-23,Yes,V,CBD,,,
Como Vapor,805 E Nifong Blvd Ste C,,Columbia,MO,65201,US,https://comovapor.com/,5733976534,info@comovapor.com,2015-08-19,2019-03-20,Yes,V,CBD,,,
Eye Candy,814 E Walnut St,,Columbia,MO,65203,US,,5738752244,,2018-10-27,,Yes,H,CBD,,,
Grass Roots Smoke Shop,203 N 10th St,,Columbia,MO,65202,US,http://grassrootssmokeshop.com/,5734437668,,2018-11-25,,,H,,,,
Hemp Hemp Hooray,917 E Broadway ST,,Columbia,MO,65201,US,https://weluvhemp.com/,5733551285,weluvhemp@gmail.com,2021-01-25,,Yes,C,CBD,,,
Lucid Vizions LLC,214 S 8th St,,Columbia,MO,65201,US,,5737775551,lucidvizions@gmail.com,2018-11-04,,Yes,S,CBD,,,
Retro Active,600 Cooper Dr N #105,,Columbia,MO,65201,US,http://www.retroactivesmokeshop.com/,5734423559,contact@retroactivesmokeshop.com,2019-01-05,2022-03-14,,H,,,,
Vapor Maven Columbia,3103 W Broadway #11,,Columbia,MO,65203,US,https://www.vapormaven.com/,5736072763,vapormaven@gmail.com,2018-01-11,2018-11-13,Yes,V,CBD,,,
We B Smokin,2507 Bernadette Dr,,Columbia,MO,65203,US,http://www.websmokinanddrinkin.com/,5734743468,,2018-11-05,,,S,,,,
Xpress Liquor & Smokes,5400 E St Charles Rd Ste B,,Columbia,MO,65201,US,http://xpressliquorandsmokes.com/,5734766784,contact@xpressliquorandsmokes.com,2019-06-27,2019-06-27,,T,,,,
Xpress Liquor & Smokes,2101 Corona Rd #101,,Columbia,MO,65203,US,http://www.xpressliquorandsmokes.com/,5732286029,jana.xpress@gmail.com,2019-09-03,,,T,,,,
"Your CBD Store - Columbia, MO",1408 Interstate 70 Dr SW #106,,Columbia,MO,65203,US,https://cbdrx4u.com/,5734426706,cbd3507@gmail.com,2019-09-13,2019-09-13,Yes,C,CBD,,,
Freedom Smoke,508 N Truman Blvd #D,,Crystal City,MO,63019,US,,6365241693,,2018-10-18,2019-03-21,Yes,V,CBD,,,
Ultimate Vapor,1001 N Truman Blvd Ste B,,Crystal City,MO,63019,US,http://www.ultimate-vapor.com/,6366381190,admin@ultimate-vapor.com,2018-08-31,2020-03-03,Yes,V,CBD,,,
Peace Of Mind,510 W Washington St,,Cuba,MO,65453,US,https://www.mypeaceofmindonline.com/,5736770425,,2021-09-01,2021-09-01,Yes,H,CBD,,,
Greenhouse Vapes - De Soto,418 S Main St,,De Soto,MO,63020,US,https://www.greenhousevapes.com/,6362435073,support@greenhousevapes.com,2015-02-27,2019-03-21,Yes,V,CBD,,,
Smokey's Place,2031 Rock Rd,,De Soto,MO,63020,US,,6365862855,smokeysplace@sbcglobal.net,2020-03-19,,,T,,,,
Dirt Cheap - Desloge,413 N State St,,Desloge,MO,63601,US,http://www.dirtcheapfunfun.com/,5735181910,dirtcheapchicken@gmail.com,2019-10-04,,,T,,,,
Inno-Vape,617 N Cowling St Ste D,,Desloge,MO,63601,US,http://innvaping.com/,5733278273,innovativevapingsolutions@gmail.com,2018-08-12,2020-02-08,,V,,,,
Ultimate Vapor,208 N Desloge Dr Ste A,,Desloge,MO,63601,US,http://www.ultimate-vapor.com/,5733278687,admin@ultimate-vapor.com,2018-08-31,2020-03-03,,V,,,,
Chuckin Clouds,903 W US-60 Bus,,Dexter,MO,63841,US,http://chuckinclouds.com/,5738204555,,2019-08-05,,,V,,,,
Discount Cigarettes & Beer,911 W Business US-60,,Dexter,MO,63841,US,,5736144001,,2019-09-19,,,T,,,,
America's Heartland Transmission + Vape Shop,"RR 2 Box 3351, MO-21",,Doniphan,MO,63935,US,,5735934815,americasheartlandtransmission@yahoo.com,2016-03-15,2019-01-28,,V,,,,
Smokers' Outlet,105 US-54,,El Dorado Springs,MO,64744,US,http://www.smokers4u.com/,4178765995,info@smokers4u.com,2020-03-15,2020-03-15,,T,,,,
Puff N Snuff,1900 US-54 BUS,,Eldon,MO,65026,US,,5733927172,,2020-02-05,2020-02-05,Yes,T,CBD,,,
STL Vapor,1739 W 5th St Ste A,,Eureka,MO,63025,US,http://stlvapor.com/,3148276765,stlvaporof@gmail.com,2018-09-11,2018-11-13,,V,,,,
CB Dispensary,102 S Washington St,,Farmington,MO,63640,US,,5732189527,,2020-11-21,2022-03-09,Yes,C,CBD,,,
Cheap Smokes & Loans,736 Weber Rd,,Farmington,MO,63640,US,http://cheapsmokesandloans.com/,5737470330,,2019-08-02,2019-08-02,,T,,,,
Sweet Leaf Emporium,100 Holly Tree Ln,,Farmington,MO,63640,US,http://www.sweetleafemporium.com/,5732189552,glass@sweetleafemporium.com,2019-01-12,,Yes,H,CBD,Yes,,
Ultimate Vapor,507 Potosi St,,Farmington,MO,63640,US,http://www.ultimate-vapor.com/,5736641919,admin@ultimate-vapor.com,2018-08-31,2020-03-03,Yes,V,CBD,,,
USA Vapor Trails,302 Potosi St,,Farmington,MO,63640,US,,5736640010,usavaportrails@gmail.com,2015-03-07,2018-12-27,Yes,V,CBD,,,
Vapor Maven,558 Walmart Dr,,Farmington,MO,63640,US,https://vapormaven.com,5732189637,,2020-12-13,,Yes,V,CBD,Yes,,
Behind The Bluffs,513 Saline Rd,,Fenton,MO,63026,US,,6364967180,,2018-07-24,2019-07-30,,H,,,,
