Shop Name	Address 1	Address 2	City	State/Province	Zip/Postcode	Country	Website	Phone	Email	Added	Updated	CBD	Biz Type	MJ	Kratom	Buyer name 	Title 
Freedom Vapes - Belgrade	19599 Frontage Rd Ste E		Belgrade	MT	59714	US		4068138601	freedomvapesllc@outlook.com	2015-01-08	2019-10-24		V				
406 Glass	2816 1st Ave N		Billings	MT	59101	US		4065984527		2019-07-13		Yes	H	CBD			
B-Town Vapes	1500 Broadwater Ave Ste 4		Billings	MT	59102	US	http://www.b-townvapes.com	4068390515	btownvapes12@gmail.com	2018-06-13	2019-10-07	Yes	V	CBD			
B-Town Vapes - Heights	2018 Main St #5		Billings	MT	59105	US	https://b-townvapes.com	4068399095	btownvapesheights@gmail.com	2021-11-13	2021-11-13	Yes	V	CBD	Yes		
CBD Releaf	1313 Grand Ave Ste 8B		Billings	MT	59102	US		4066946166	montanahemp@yahoo.com	2020-06-06	2020-06-06		C		Yes		
Cloudz Vape	1827 Grand Ave Ste 3		Billings	MT	59102	US	https://www.cloudzvape.com/	4065341015	cloudzvape406@gmail.com	2021-11-02	2021-11-02	Yes	V	CBD			
Cloudz Vape	1749 Main St Ste A		Billings	MT	59105	US	https://www.cloudzvape.com/	4065341018	cloudzvape406@gmail.com	2021-11-02	2021-11-02	Yes	V	CBD			
Cold Smoke Tobacco	1802 1st Ave N		Billings	MT	59102	US	http://coldsmoketobacco.com	4062520470	coldsmoketobacco@gmail.com	2018-11-05		Yes	H	CBD	Yes		
D'z Shop	1414 Main St		Billings	MT	59105	US		4069692828	dzshopmt@gmail.com	2021-11-02	2021-11-02	Yes	S	CBD	Yes		
D'z Shop Tobacco Accessories & Gifts	4 32nd St W		Billings	MT	59102	US		4069695000	dzshopmt@gmail.com	2019-09-04		Yes	S	CBD	Yes		
Discontent	2123 1st Ave North		Billings	MT	59101	US	http://discontentstores.com	4069694985	discontentbillings@gmail.com	2019-01-03		Yes	H	CBD			
Discontent	111 S 24th St W Ste 22		Billings	MT	59102	US	https://discontent-billings.business.site/	4069696555		2018-08-06	2019-09-16	Yes	H	CBD	Yes		
High Noon Vapor	3202 Henesta Dr Ste K		Billings	MT	59102	US	https://highnoonvapor.com	4068392191	dan@highnoonvapor.com	2021-08-29	2021-08-29	Yes	V	CBD			
Juicity Vapor	1911 King Ave W Ste 1		Billings	MT	59102	US	https://juicityvapor.com/	4069691874	kbarland@juicityvapor.com	2017-05-03	2019-05-13	Yes	V	CBD			
Legacy Glassworks	2059 Broadwater Ave Ste A		Billings	MT	59102	US		4069691791		2021-11-02	2021-11-02	Yes	H	CBD			
Smoker Friendly	1246 Central Ave		Billings	MT	59102	US	http://smokerfriendly.com	4062489288		2018-12-15			S				
Smoker Friendly	251 Main St		Billings	MT	59105	US	http://smokerfriendly.com/	4062546166		2020-03-04			S				
Smoker Friendly	2646 Grand Ave #6		Billings	MT	59102	US	http://smokerfriendly.com/	4066519118		2020-03-04	2020-03-04		S				
Smoker Friendly	2750 Old Hardin Rd Ste L		Billings	MT	59101	US	http://smokerfriendly.com/	4062482689		2020-03-04	2020-03-04		S		Yes		
Tobacco Row	2450 King Ave W #E		Billings	MT	59102	US		4066561188	tobrow1188@yahoo.com	2019-12-18	2019-12-18		S				
Tobacco Row	655 Main St		Billings	MT	59105	US		4062521558		2019-12-18	2019-12-18	Yes	S	CBD			
uBlaze Vapor	111 S 24th St W Ste 10		Billings	MT	59102	US	https://www.ublazevapor.com/	4067027733	info@ublazevapor.com	2014-08-31	2019-05-13		V				
Vintage Vapor 406	2059 Broadwater Ave Ste D		Billings	MT	59102	US	http://www.vintagevapor406.com/	4066011444	sales@vintagevapor406.com	2018-08-16	2019-08-09		V		Yes		
Freedom Vapes - Bozeman	2000 N 7th Ave		Bozeman	MT	59715	US		4062192660	freedomvapesllc@outlook.com	2015-05-14	2019-03-24	Yes	V	CBD			
Grateful Shed	2230 W Main St		Bozeman	MT	59718	US	http://gratefulshedbozeman.com	4065867752	gratefulshed1@yahoo.com	2018-08-06	2019-09-21	Yes	H	CBD	Yes		
IBEX	97 Shepherd Trail #13		Bozeman	MT	59718	US		4065998558		2019-12-13	2021-05-10	Yes	C	CBD			
Mellow Mood	7 Tai Ln		Bozeman	MT	59715	US	https://mellowmood.com/	4065825492	mellowmoodpipes@gmail.com	2018-09-13		Yes	H	CBD			
Poor Richard's Cold Smoke Tobacco	16 N Grand Ave Ste B		Bozeman	MT	59715	US		4065568444	poorrichardstobacco@gmail.com	2019-09-10		Yes	S	CBD	Yes		
Smoker Friendly	1619 W Main St		Bozeman	MT	59715	US	http://smokerfriendly.com/	4065878722		2020-03-03	2020-03-03		S		Yes		
Smokin Smittys	2742 W Main St Ste B		Bozeman	MT	59718	US	http://smokinsmittyspipes.com	4062203363	smitty_shop_420@yahoo.com	2019-01-08			S				
Vapin' Heaven	2006 W Babcock St Unit A		Bozeman	MT	59718	US		4066246423		2015-08-12	2019-05-14		V				
Vaporology Vape Shop - Bozeman	2504 W Main St #A2		Bozeman	MT	59718	US	http://www.vaporologymt.com/	4062193711	vaporologymt@gmail.com	2018-08-06	2020-01-16		V				
Gilligan's Tobacco Shop	916 E Front St		Butte	MT	59701	US		4067236900	gilliganstobacco@msn.com	2018-10-22	2019-03-24		S		Yes		
Juicity Vapor	122001 Nissler Rd		Butte	MT	59701	US	https://juicityvapor.com/	4064386708	orders@juicityvapor.com	2017-05-03	2019-05-13	Yes	V	CBD			
Purple Picasso	501 E Front St Ste 501		Butte	MT	59701	US		4064915649	purplepicassopipes@gmail.com	2018-11-02		Yes	S	CBD			
Sammi's Smoke Shop	20 N Main St		Butte	MT	59701	US	http://sammissmokeshopmt.com/	4064793663	vapette@live.com	2018-08-06	2019-11-05		S				
Smokin Smittys - Billings	111 S 24th St Ste 201		Butte	MT	59701	US	http://smokinsmittyspipes.com/	4062203363	smitty_shop_420@yahoo.com	2018-11-02	2020-03-26		H		Yes		
Smokin Smittys - Butte	3015 Harrison Ave		Butte	MT	59701	US	http://smokinsmittyspipes.com/	4062203363	smitty_shop_420@yahoo.com	2018-10-31			S				
Galaxy Glass	36 Jellison Ln Ste D		Columbia Falls	MT	59912	US	https://406glass.com/	4062574500	galaxyglass42@gmail.com	2021-06-25	2021-06-25		H				
Amsbury Glass	449 1/2 N Montana St		Dillon	MT	59725	US		4069252879	coryamsbury@gmail.com	2021-12-20	2021-12-20		H				
High Country Glass	20 E Bannack St		Dillon	MT	59725	US		4066830418		2019-08-24		Yes	H	CBD			
Smoke2o	507 S Ellery Ave		Fairview	MT	59221	US		4067428047		2019-12-06	2019-12-06		S		Yes		
CBD American Shaman - Big Sky	827 9th St S		Great Falls	MT	59405	US	https://cbdamericanshaman.com/	4062195554	mlff_99@yahoo.com	2019-11-11		Yes	C	CBD			
Montanajo E-Cigs	1926 10th Ave S		Great Falls	MT	59405	US	https://www.montanajoecig.com/	4067998273	montanajoecigs@gmail.com	2018-10-18	2019-05-14	Yes	V	CBD			
Nomad Glass And Healing	720 Central Ave		Great Falls	MT	59401	US	https://nomad-glass-and-healing.business.site/	4063151258		2020-08-21	2020-08-21	Yes	H	CBD			
Poppy's Mini Mart - Puff-n-Stuff	606 15th St S		Great Falls	MT	59405	US		4062681248		2018-12-19		Yes	S	CBD			
Sherlock's Home	2920 10th Ave S		Great Falls	MT	59405	US	http://sherlockshomemt.com	4067611680		2018-12-08	2018-12-08		S				
Smoker Friendly	921 10th Ave S		Great Falls	MT	59405	US	http://smokerfriendly.com/	4067617838		2020-03-06			S				
Smoker Friendly #305	1520 3rd St NW Ste F		Great Falls	MT	59404	US	https://smokerfriendly.com/	4067711918		2019-09-02	2019-09-02		S				
Stranger Things	522 Central Ave		Great Falls	MT	59401	US		4067270191	strangerthings05@yahoo.com	2020-04-11			H				
The Vape Shop	1201 10th Ave S Ste 102		Great Falls	MT	59405	US		4069922936		2019-11-01		Yes	V	CBD			
Twenty Past 4	6 7th St S		Great Falls	MT	59405	US		4063151581		2021-12-27	2021-12-27		H				
Vaporology Vape Shop	21 2nd St S		Great Falls	MT	59401	US	http://vaporologymt.com/	4069520937	vaporologymt@gmail.com	2015-07-22	2019-05-14		V				
Veypur, Inc.	626 Central Ave		Great Falls	MT	59401	US	https://veypur.com/	4069520680	sales@veypur.com	2018-10-16	2018-10-16		V				
Freedom Vapes Hamilton	840 S 1st St		Hamilton	MT	59840	US		4063755450	freedomvapesllc@outlook.com	2018-06-11	2020-01-25		V				
Glass Cave	914 N 1st St Ste C		Hamilton	MT	59840	US		4065522452	theglasscave@hotmail.com	2018-11-14		Yes	H	CBD			
News & Smokes of Montana	410 N 1st St #B2		Hamilton	MT	59840	US		4063633362		2020-01-28			T				
Smoker Friendly	700 2nd St		Havre	MT	59501	US	http://smokerfriendly.com/	4062654377		2020-01-13			S				
Ecig Vapor Juice Store	3215 Dredge Dr Ste B		Helena	MT	59602	US		4064421454	ecigvaporjuicestore.com@gmail.com	2018-12-12	2020-01-29		V				
Puff-N-Stuff	1801 11th Ave		Helena	MT	59601	US		4064225038		2020-02-06	2020-02-06	Yes	H	CBD			
Smoker Friendly	1425 11th Ave		Helena	MT	59601	US	http://smokerfriendly.com/	4064421015		2020-01-14			S		Yes		
The Karma Korner	1801 N Montana Ave		Helena	MT	59601	US		4064753018	thekarmakorner@gmail.com	2018-10-30		Yes	S	CBD			
Smoke Up	205 Hungry Horse Blvd		Hungry Horse	MT	59919	US	http://smoke-up.business.site	4062614793	gr8lyendowed@yahoo.com	2018-11-04		Yes	H	CBD	Yes		
D's Vapor Plus	22 Sunset Dr		Kalispell	MT	59901	US	http://ds-vapor-plus.business.site	4062129015	dsvaporplus@gmail.com	2018-06-13	2019-06-24	Yes	V	CBD			
E-Vapor-8	1440 MT-35 #C		Kalispell	MT	59901	US		4068902404		2018-06-13	2019-06-24	Yes	V	CBD			
Ecig Vapor Juice Store	2445 US-93		Kalispell	MT	59901	US		4067560838	ecigvaporjuicestore.com@gmail.com	2016-06-15	2022-05-02		V				
