Shop Name,Address 1,Address 2,City,State/Province,Zip/Postcode,Country,Website,Phone,Email,Added,Updated,CBD,Biz Type,MJ,Kratom,Buyer name ,Title 
D&A Vapor,1217 N 6th St,,Beatrice,NE,68310,US,,4022289583,dandavapor@gmail.com,2014-09-17,2019-04-01,,V,,,,
Alohma,11527 S 36th St,,Bellevue,NE,68123,US,http://www.alohma.com/,4027632027,sales@alohma.com,2014-09-09,2019-02-02,,V,,,,
Caterpillar Vapes - Bellevue,1412 Harlan Dr,,Bellevue,NE,68005,US,https://caterpillarvapes.com/,4029349999,customerservice@caterpillarvapes.com,2019-07-02,2019-07-02,,V,,,,
CBD American Shaman - Bellevue,3909 Twin Creek Dr #104,,Bellevue,NE,68123,US,https://cbdamericanshaman.com/,4029337841,cbdofomaha@yahoo.com,2019-11-11,,Yes,C,CBD,,,
Generation V E-Cigarettes & Vape Bar,10110 S 15th St Ste 102,,Bellevue,NE,68123,US,http://www.generationv.com/,5313016514,hello@generationv.com,2018-07-04,2019-07-24,Yes,V,CBD,,,
TNT Vapors,1505 Galvin Rd S,,Bellevue,NE,68005,US,,5316006550,,2018-08-06,2020-01-04,,V,,,,
Tobacco & Vapor,510 Galvin Rd S,,Bellevue,NE,68005,US,,4022930151,,2019-12-03,2019-12-03,,S,,,,
Wizard's Pipes and Glass,1505 Galvin Rd S,,Bellevue,NE,68005,US,,4025065238,,2019-01-03,,Yes,H,CBD,Yes,,
The Smoke Shack,518 East S East St,,Broken Bow,NE,68822,US,,3088726091,thesmokeshackbbow@gmail.com,2018-10-28,2021-12-08,Yes,S,CBD,,,
Chasing Clouds Vape Collective,118 23rd St,,Columbus,NE,68601,US,https://chasingcloudsvape.com/,4029429012,chasingcloudsvape@yahoo.com,2021-12-15,2021-12-15,Yes,V,CBD,Yes,,
Not Your Grandfather's Smoke Shop,108 24th st,,Columbus,NE,68601,US,,4023661637,vaba17@yahoo.com,2020-01-30,,Yes,S,CBD,Yes,,
The Vapor Hutt,1831 23rd St,,Columbus,NE,68601,US,https://www.thevaporhutt.com/,4025634161,,2019-11-02,2019-11-02,,V,,,,
Alohma Fremont,33 W 6th St,,Fremont,NE,68025,US,http://alohma.com/,4028164133,guestservice@amvholdings.com,2019-07-17,,Yes,V,CBD,,,
C&S CBD Relief,224 N Main St Ste 3,,Fremont,NE,68025,US,https://www.cscbdrelief.com,4025941791,lefflercbd@gmail.com,2021-10-02,,Yes,C,CBD,,,
Chasing Clouds Vape Collective,845 E 23rd St,,Fremont,NE,68025,US,https://chasingcloudsvape.com/,4026498553,chasingcloudsvape@yahoo.com,2018-07-04,2021-12-15,Yes,V,CBD,Yes,,
Cigarette & Snack Outlet,521 N Broad St,,Fremont,NE,68025,US,,4027216852,,2019-08-21,,,T,,,,
Alohma,2390 Diers Ave,,Grand Island,NE,68803,US,http://www.alohma.com/,3083820988,guestservices@alohma.com,2018-01-12,2019-01-22,Yes,V,CBD,,,
Chasing Clouds Vape Collective,920 Diers Ave,,Grand Island,NE,68803,US,https://chasingcloudsvape.com/,3086752332,chasingcloudsvape@yahoo.com,2021-12-15,2021-12-15,Yes,V,CBD,Yes,,
E-Titan Vapors,3335 W Wood River Rd,,Grand Island,NE,68803,US,https://www.etitanvapors.com/,3083841578,contact@etitanvapors.com,2018-08-11,2020-02-06,Yes,V,CBD,,,
E-Titan Vapors - Grand Island,119 W 3rd St,,Grand Island,NE,68803,US,https://www.etitanvapors.com/,3083841578,jmarti8888@gmail.com,2014-09-17,2019-04-01,,V,,,,
Good Life Glass,206 N Locust St,,Grand Island,NE,68801,US,,3086752939,goodlifeglassne@gmail.com,2019-11-14,2019-11-14,Yes,H,CBD,Yes,,
