Shop Name,Address 1,Address 2,City,State/Province,Zip/Postcode,Country,Website,Phone,Email,Added,Updated,CBD,Biz Type,MJ,Kratom,Buyer name,Title
Battle Mountain Smoke Shop,710 W Front St,,Battle Mountain,NV,89820,US,https://www.battlemountainsmokeshop.com/,7756355866,,2020-02-16,2/16/2020,,T,,,,
BC Liquor,806 Buchanan Blvd #105,,Boulder City,NV,89005,US,,7028785501,bcliquor1@gmail.com,2020-06-19,,Yes,S,CBD,,,
Eric's Smoke & Gift Shop,1020 Nevada Hwy,,Boulder City,NV,89005,US,,7023860003,,2019-04-11,,,S,,,,
Your CBD Store,1408 Boulder City Pkwy,,Boulder City,NV,89005,US,https://cbdrx4u.com/find-us/nevada/boulder-city,7024456133,bouldercity0071@cbdrx4u.com,2021-06-04,,Yes,C,CBD,,,
Butts Out Vapor TOO,2200 E William St,,Carson City,NV,89701,US,http://buttsoutvapor.com,7754347323,webcontact@buttsoutvapor.com,2018-06-11,3/21/2019,,V,,,,
Carson Vape And Hookah,1951 N Carson St,,Carson City,NV,89701,US,https://www.carsonvape.com/,7758889037,carsonvape@gmail.com,2017-02-25,1/16/2019,,V,,,,
Cigarettes For Less,2182 E William St,,Carson City,NV,89701,US,https://www.cigarettesforless.com,7758833867,,2019-09-19,9/19/2019,,S,,,,
Puffs Smoke Shop,1208 N Carson St,,Carson City,NV,89701,US,https://puffscarson.com/,7758410420,puffscarson@gmail.com,2018-10-28,6/18/2021,Yes,H,CBD,Yes,,
Smoke Shop,1953 N Carson St,,Carson City,NV,89701,US,,7758825333,,2020-02-24,,Yes,S,CBD,Yes,,
The Glass Shack,1947 N Carson St,,Carson City,NV,89701,US,,7753016633,theglassshack2017@gmail.com,2020-12-02,,Yes,H,CBD,,,
Vids Vapor Supply,201 E William St,,Carson City,NV,89701,US,,7753016424,,2018-08-06,1/10/2020,Yes,V,CBD,,,
Butts Out Vapor Store,65 Silver St Ste B,,Dayton,NV,89403,US,https://www.buttsoutvapor.com/,7752460111,webcontact@buttsoutvapor.com,2014-09-23,3/21/2019,,V,,,,
Cigarette City,6 Pine Cone Rd Ste 1,,Dayton,NV,89403,US,https://www.cigarettecitynv.com/,7752460998,cigarettecity5@yahoo.com,2018-10-28,,,S,,,,
5J Music,438 S 5th St Ste 4,,Elko,NV,89801,US,https://www.5jmusic.net/,7757780484,5jmusic@frontiernet.net,2019-07-13,7/13/2019,Yes,C,CBD,,,
Elko Smoke Shop,1750 Silver Eagle Rd,,Elko,NV,89801,US,,7757771732,,2019-10-17,,Yes,T,CBD,,,
Modified Vapors,350 W Silver St Ste 300,,Elko,NV,89801,US,,7753978273,modifiedarmor@gmail.com,2016-07-12,5/3/2019,Yes,V,CBD,,,
Smokey Vibes,588 Commercial St,,Elko,NV,89801,US,https://smokey-vibes-lounge.business.site/,7757547403,smokeyvibeselko@gmail.com,2018-10-24,,Yes,V,CBD,,,
Smokey Vibes,740 E Aultman St,,Ely,NV,89301,US,,7752891535,smokeyvibeselko@gmail.com,2021-02-27,2/27/2021,Yes,V,CBD,Yes,,
Canyon Vapes - Fallon,145 S Maine St,,Fallon,NV,89406,US,,7758675289,,2019-03-25,,,V,,,,
Best Value Liquor & Smoke,41 E Main St,,Fernley,NV,89408,US,,7758356448,,2019-07-24,,,T,,,,
Fernley Liquor & Smoke,420 E Main St Ste 4,,Fernley,NV,89408,US,,7758358999,,2019-07-24,,,S,,,,
Happy Dayze Vape & Cigars,50 NV-427,,Fernley,NV,89408,US,https://happydayze.net/,7754041050,,2019-03-25,,Yes,V,CBD,,,
Hwy 420 Smoke Shop,1375 E Newlands Rd Unit 1,,Fernley,NV,89408,US,,7753023777,,2019-12-09,12/9/2019,Yes,S,CBD,,,
The SugarLeaf CBD Store,1540 US-395 N Ste 6,,Gardnerville,NV,89410,US,,7753923116,,2020-12-08,,Yes,C,CBD,,,
A1 Smoke & Vapor,55 S Valle Verde Dr Ste 205,,Henderson,NV,89012,US,,7029018388,a1vaporandecigs@gmail.com,2021-12-14,12/14/2021,Yes,S,CBD,,,
AK Smoke & Vape Shop,650 E Horizon Dr,,Henderson,NV,89015,US,https://ak-smoke-shop-vape-kratom-cbd-shop.business.site/,7028444701,,2021-12-14,12/14/2021,Yes,S,CBD,Yes,,
Anthem Smoke & Gifts,2505 Anthem Village Dr Ste G,,Henderson,NV,89052,US,http://www.gitdigi.mobi/anthem,7027788400,jrsmokeshop4@yahoo.com,2018-06-11,10/13/2018,,S,,,,
CBD American Shaman - Henderson,276 E Lake Mead Pkwy Ste B,,Henderson,NV,89015,US,https://cbdamericanshaman.com/,7026655300,minhn10@yahoo.com,2019-11-11,,Yes,C,CBD,,,
D's Mailbox and Smokeshop,716 Center St Ste 140,,Henderson,NV,89015,US,https://dsmailboxsmokeshop.business.site/,7022547264,,2022-04-07,4/7/2022,Yes,S,CBD,Yes,,
Elan CBD,4500 E Sunset Rd #4,,Henderson,NV,89014,US,https://getelancbd.com/,7024510444,business@getelancbd.com,2020-12-28,,Yes,C,CBD,,,
Elephant Vapor 4,8889 S Eastern Ave Ste 120,,Henderson,NV,89123,US,https://www.elephantvapor.com/,7022722799,,2019-10-01,,Yes,V,CBD,,,
Gibson Smoke & Gifts,55 S Gibson Rd Ste 105,,Henderson,NV,89012,US,,7025687101,,2019-11-14,,,S,,,,
Happy Daze,2249 N Green Valley Pkwy,,Henderson,NV,89014,US,,7023651235,tejindersinghrandhawa007@gmail.com,2020-08-26,,Yes,S,CBD,Yes,,
Hollywood Smokes and Vapes,1445 American Pacific Dr #100,,Henderson,NV,89074,US,,7026757500,,2018-08-06,9/27/2019,,S,,Yes,,
Lake Mead Cigars And Gifts,170 N Boulder Hwy,,Henderson,NV,89015,US,https://lakemeadcigarsandgifts.com/,7025585056,,2019-08-20,,,S,,,,
LV Smoke & Vapor - CBD Kratom Shop,615 S Green Valley Pkwy Ste 150,,Henderson,NV,89052,US,https://smokevaporkratomshop.business.site/,7029980209,,2019-05-13,,Yes,S,CBD,Yes,,
LV Smoke & Vapor 1 - CBD Kratom Shop,213 S Stephanie St Ste 100,,Henderson,NV,89012,US,https://lvsmokevaporcbdkratomshop.business.site/,7024444611,,2020-07-17,,Yes,S,CBD,Yes,,
M Smoke Shop,1636 W Warm Springs Rd,,Henderson,NV,89014,US,,7024340189,,2020-01-05,,,S,,,,
Palm Smoke & Gifts,565 College Dr #B,,Henderson,NV,89015,US,,7025686140,,2020-02-02,2/2/2020,,S,,,,
Pecos Smoke Shop,2643 Windmill Pkwy,,Henderson,NV,89074,US,,7028378939,,2019-08-16,,,S,,,,
Sin City Vapor,80 N Pecos Rd Ste J,,Henderson,NV,89074,US,https://sincityvapor.com/,7029344713,genie@sincityvapor.com,2018-08-06,1/1/2020,Yes,V,CBD,,,
SK Smoke Shop,25 W Army St,,Henderson,NV,89015,US,,7028880405,,2020-02-24,2/24/2020,,S,,,,
Smok'n Hot Vapors,278 E Lake Mead Pkwy Ste B,,Henderson,NV,89015,US,https://www.smoknhotvapors.com,7025680084,smoknhotvapors@gmail.com,2018-09-30,,,V,,,,
Smoke Shop & Mini Mart,1035 Whitney Ranch Dr #J,,Henderson,NV,89014,US,,7024332282,,2019-08-18,8/18/2019,,S,,,,
Smoke Shop 2,693 N Stephanie St,,Henderson,NV,89014,US,,7024349672,,2020-02-26,,,S,,,,
Smoke Shop 4,2835 N Green Valley Pkwy,,Henderson,NV,89014,US,,7026448855,,2020-02-26,,,S,,,,
"Smoke, Vapor, Kratom & CBD Oil",1649 W Warm Springs Rd,,Henderson,NV,89014,US,https://smoke-vapor-kratom-cbd-shop.business.site/,7024336365,,2018-08-06,12/1/2019,Yes,S,CBD,Yes,,
Smokes And Vapes,2600 N Green Valley Pkwy,,Henderson,NV,89014,US,,7026293510,,2019-08-18,6/26/2021,,S,,Yes,,
Star Smoke & Gifts,1000 N Green Valley Pkwy,,Henderson,NV,89074,US,,7025869841,,2020-09-21,,Yes,S,CBD,,,
The Healing Panda - Henderson,2530 St Rose Pkwy #130,,Henderson,NV,89074,US,https://thehealingpanda.com/,7029828080,panda@thehealingpanda.com,2020-12-03,,Yes,C,CBD,,,
Valley Smoke Shop - Vapor CBD Kratom,10960 S Eastern Ave #106,,Henderson,NV,89052,US,https://valleysmokeshop.business.site/,7028970500,,2018-08-07,1/22/2020,Yes,S,CBD,Yes,,
Vape Street Henderson,4300 E Sunset Rd Ste A4,,Henderson,NV,89014,US,https://vape-street.com/,7022092578,vapestreet@gmail.com,2018-08-06,1/6/2020,Yes,V,CBD,,,
Vapor Rage,1008 W Sunset Rd Ste 1008,,Henderson,NV,89104,US,,7025476737,nick.vaporrage@gmail.com,2018-08-06,1/8/2020,Yes,V,CBD,,,
Vegas Glass HQ/D's Smoke Shop and Gift,690 N Valle Verde Dr Ste 6,,Henderson,NV,89014,US,http://vegasglasshq.com/,7025471007,,2018-12-15,,,S,,Yes,,
Village Smoke Shop,860 S Boulder Hwy,,Henderson,NV,89015,US,,7252012323,,2019-09-28,,,S,,,,
Foothill Smoke Shop,868 Tahoe Blvd #16,,Incline Village,NV,89451,US,,7758323604,,2018-08-06,9/16/2019,,S,,Yes,,
24/7 Smoke Shope,511 E Charleston Blvd,,Las Vegas,NV,89104,US,,7025450004,karengalstyan1983@gmail.com,2019-07-12,12/11/2019,,S,,,,
4 S Smoke Shop,4555 E Charleston Blvd,,Las Vegas,NV,89104,US,,7024572829,,2019-06-10,6/10/2019,,S,,,,
808 Smokes,8174 S Las Vegas Blvd #101,,Las Vegas,NV,89123,US,https://www.808smokes.com/,7023319133,support@808smokes.com,2020-06-17,,Yes,S,CBD,Yes,,
AA Hookah Pipe & Vape,3700 S Hualapai Way #105,,Las Vegas,NV,89147,US,http://aahookahpipeandvape.com/,7029984404,tahiry165@gmail.com,2018-08-07,1/31/2019,Yes,S,CBD,Yes,,
AA Hookah Pipe & Vape,7291 S Eastern Ave # C,,Las Vegas,NV,89119,US,http://aahookahpipeandvape.com/,7025705666,aahookah99@gmail.com,2018-08-07,1/31/2019,Yes,S,CBD,Yes,,
AA Vape Kratom & CBD Shop,4414 N Rancho Dr,,Las Vegas,NV,89130,US,,7026589708,,2019-08-19,8/19/2019,Yes,S,CBD,Yes,,
Adam's Smokes & Gifts,8370 W Cheyenne Ave #100,,Las Vegas,NV,89129,US,,7023963740,,2018-09-17,,,S,,,,
American Mini Mart And Smoke,750 E Pyle Ave Ste 103,,Las Vegas,NV,89183,US,,7024740330,,2021-12-15,12/15/2021,,O,,,,
Bargain Smoke,5516 Boulder Hwy Ste 2D,,Las Vegas,NV,89122,US,,7024567577,,2019-07-22,7/22/2019,Yes,S,CBD,,,
Best Smoke Shop,860 E Twain Ave Ste 129,,Las Vegas,NV,89169,US,,7023691005,,2019-07-24,,,S,,,,
