Shop Name,Address 1,Address 2,City,State/Province,Zip/Postcode,Country,Website,Phone,Email,Added,Updated,CBD,Biz Type,MJ,Kratom,Buyer name ,Title 
My CBD Organics,1121 NJ-34,,Aberdeen,NJ,7747,US,https://mycbdorganics.com/,7325766050,info@mycbdorganics.com,2021-08-10,,Yes,C,CBD,,,
J & J Cigars,678 White Horse Pike,,Absecon,NJ,8201,US,,6093778548,,2018-11-23,,,S,,,,
"Your CBD Store - Absecon, NJ",790 White Horse Pike,,Absecon,NJ,8201,US,https://cbdrx4u.com/,6092777792,,2019-09-13,,Yes,C,CBD,,,
Coil & Co. Vape Supply,611 Bangs Ave,,Asbury Park,NJ,7712,US,http://www.coilandco.com/,7324558277,hello@coilandco.com,2018-08-06,2019-01-06,Yes,V,CBD,,,
Funky Donkey Smoke Shop,404 Main St,,Asbury Park,NJ,7712,US,https://funky-donkey-smoke-shop.business.site/,8484594581,funkydonkeysmokeshop@gmail.com,2020-07-25,,Yes,S,CBD,,,
Pipe Dreams,1311 Memorial Dr,,Asbury Park,NJ,7712,US,,7323616364,hello@pipedreamsnj.com,2019-07-04,2019-07-04,Yes,S,CBD,,,
Wacky Tobaccy,716 Cookman Ave,,Asbury Park,NJ,7712,US,https://www.wackytobaccyco.com/,7326372051,admin@wackytobaccyco.com,2019-07-04,2019-07-04,Yes,S,CBD,Yes,,
Continental Tobacco & Candy,2146 Atco Ave,,Atco,NJ,8004,US,,8567672888,,2020-08-05,,,T,,,,
Pasha's Collection Tobacco Outlet,3807 Ventnor Ave,,Atlantic City,NJ,8401,US,https://pashas-collection-tobacco-outlet.business.site/,6094498900,,2021-09-10,,Yes,S,CBD,,,
Smoke and Vape,1729 Boardwalk,,Atlantic City,NJ,8401,US,,,,2021-09-10,,Yes,S,CBD,,,
Smoker Castle Inc,1430 Atlantic Ave,,Atlantic City,NJ,8401,US,https://smoker-castle-inc.business.site/,6093451436,,2018-09-24,,Yes,S,CBD,Yes,,
RAC Vapors,20 Center Ave #3,,Atlantic Highlands,NJ,7716,US,http://www.racvapors.com/,7322042786,contact@racvapors.com,2020-01-18,2020-01-18,Yes,V,CBD,,,
Good Guy Vapes & CBD - Avenel,1180 St George Ave,,Avenel,NJ,7001,US,https://goodguyvapes.com/,7325270669,info@goodguyvapes.com,2019-11-13,2019-11-13,Yes,V,CBD,,,
Vapor Shark,575 N Main St,,Barnegat,NJ,8005,US,https://www.vaporshark.com/,6093661061,support@vaporshark.com,2018-09-08,2020-03-15,,V,,,,
"Good Guy Vapes, CBD & Glass - Bayonne",794 Broadway,,Bayonne,NJ,7002,US,https://goodguyvapes.com/,2012854006,info@goodguyvapes.com,2018-08-06,2019-11-13,Yes,V,CBD,,,
Prime Hookah Inc,460 Broadway,,Bayonne,NJ,7002,US,https://www.primehookah.com/,2012508011,info@primehookah.com,2020-08-05,,,T,,,,
Remedy Smoke And Vape,745 US-9,,Bayville,NJ,8721,US,http://www.remedyofbayville.com,7329988220,remedyofbayville@gmail.com,2019-01-16,,Yes,S,CBD,Yes,,
Belleville Tobacco & Smoke Shop,386 Main St,,Belleville,NJ,7109,US,https://bellevilletobacco.business.site/,9737513081,,2021-09-08,,Yes,S,CBD,Yes,,
Prestige Vaping & Smoke,444 Washington Ave,,Belleville,NJ,7109,US,https://www.cedarsmoke.com/,2012046929,prestigevaping411@gmail.com,2018-09-28,2019-05-10,Yes,V,CBD,,,
Sahara Smoke Shop,115 S Black Horse Pike,,Bellmawr,NJ,8031,US,,8563128256,,2021-09-07,,Yes,S,CBD,,,
Vape HQ,36 S Washington Ave,,Bergenfield,NJ,7621,US,https://thevapehq.com/,2013382446,info@thevapehq.com,2018-09-12,,,V,,,,
Mode E-Cigarettes & Vapor Lounge,2 NJ-73,,Berlin,NJ,8009,US,http://modeecigs.com/,8564098197,,2018-10-07,,Yes,V,CBD,,,
Village Tobacco,41 Clementon Rd,,Berlin,NJ,8009,US,,8567685181,jgiberson@villagetobacconj.com,2021-09-21,,,T,,,,
"Good Guy Vapes, CBD & Glass - Bloomfield",20 Broad St,,Bloomfield,NJ,7003,US,https://goodguyvapes.com/,9733375210,info@goodguyvapes.com,2019-11-13,2019-11-13,Yes,V,CBD,,,
Lava Smoke Shop,186 Darling Ave,,Bloomfield,NJ,7003,US,,8623334962,,2021-09-09,,Yes,S,CBD,,,
Moon Light Smoke Shop,578 Bloomfield Ave,,Bloomfield,NJ,7003,US,,9737480652,,2020-01-09,,,S,,Yes,,
Smoke Masters,"398 Broad St,",,Bloomfield,NJ,7003,US,https://hookah-plus.business.site/,2016758620,,2019-04-22,2021-09-10,Yes,S,CBD,Yes,,
