Shop Name,Address 1,Address 2,City,State/Province,Zip/Postcode,Country,Website,Phone,Email,Added,Updated,CBD,Biz Type,MJ,Kratom,Buyer name ,Title 
Jan's Smoke Shop II & Gas Mart,383 Bloomingdale Rd,,Akron,NY,14001,US,http://www.janssmokeshopii.com/,7165424006,,2019-12-21,,Yes,T,CBD,,,
Keegans Tobacco Shop,103 Roosevelt Hwy,,Akwesasne,NY,13655,US,,5183584463,noonie@westelcom.com,2019-12-24,,,S,,,,
51 Vape and CBD Colonie,1321 Central Ave,,Albany,NY,12205,US,,5182750334,ny51vape@yahoo.com,2018-06-04,2021-10-25,Yes,V,CBD,,,
Barry Smokes & Things,1234 Central Ave,,Albany,NY,12205,US,http://barry-smokesthings.business.site,5186217957,barrysmokes274@gmail.com,2018-11-04,2018-11-04,Yes,S,CBD,Yes,,
Exscape Smoke Shop,302 Lark St,,Albany,NY,12210,US,http://exscapesmoke.com/,5184631902,,2018-08-06,2019-09-16,Yes,H,CBD,,,
Exscape Smoke Shop & Vapor Lounge,1204 Western Ave,,Albany,NY,12203,US,http://exscapesmoke.com/,5187293595,,2018-08-06,2019-09-16,,H,,,,
Green Papas Premium CBD,1 Crossgates Mall Rd,,Albany,NY,12203,US,https://greenpapas.com/,5187283241,greenpapas@greenpapas.com,2021-01-16,,Yes,C,CBD,,,
House of Glass Albany,845 Madison Ave,,Albany,NY,12208,US,https://houseofglassny.com/,5184340777,houseofglassatmadison@gmail.com,2019-12-09,,Yes,S,CBD,Yes,,
House of Glass Albany,1078 Madison Ave,,Albany,NY,12208,US,,5185990216,houseofglassatmadison@gmail.com,2019-12-09,2019-12-09,Yes,S,CBD,Yes,,
Northern Lights Smoke Shop,30 Fuller Rd,,Albany,NY,12205,US,http://northernlightspipes.com,5184533402,,2019-01-01,,,S,,,,
Smokers Choice,448 Sand Creek Rd,,Albany,NY,12208,US,http://www.smokerschoiceusa.com/,5188989069,,2018-10-28,,Yes,S,CBD,,,
Smokers Choice,485 Delaware Ave,,Albany,NY,12209,US,http://www.smokerschoiceusa.com/,5187292898,,2018-10-28,,Yes,S,CBD,,,
Smokers Choice,38 Fuller Rd,,Albany,NY,12205,US,http://www.smokerschoiceusa.com/,5182750313,info@smokerschoiceusa.com,2018-09-28,2018-10-28,Yes,S,CBD,,,
That Store,247 Lark St,,Albany,NY,12210,US,http://thatstore.us/,5189458428,,2018-09-20,,Yes,S,CBD,,,
"Your CBD Store - Albany, NY",2080 Western Ave,,Albany,NY,12203,US,https://cbdrx4u.com/find-us/new-york/guilderland,5183137019,guilderland361@cbdrx4u.com,2019-09-14,2021-01-03,Yes,C,CBD,,,
"Your CBD Store - Loudonville, NY",475 Albany Shaker Rd,,Albany,NY,12211,US,https://cbdrx4u.com/,5185123033,loudonville446@cbdrx4u.com,2019-09-14,2019-09-14,Yes,C,CBD,,,
Your CBD Store - New Scotland,279 New Scotland Ave,,Albany,NY,12208,US,https://cbdrx4u.com/find-us/new-york/new-scotland,5185990050,newscotland511@cbdrx4u.com,2020-12-07,2021-06-10,Yes,C,CBD,,,
Ron's Smoke Shop,5001 NY-417,,Allegany,NY,14706,US,http://ronssmokeshop.com/,7163722284,ronssmokeshop@gmail.com,2020-02-11,2020-02-11,Yes,T,CBD,,,
Art Of Glass Smoke Shop,3154 Niagara Falls Blvd,,Amherst,NY,14228,US,,7163740541,aogwholesale@outlook.com,2018-11-08,,Yes,H,CBD,Yes,,
Wet Vapes,3341 Sheridan Dr,,Amherst,NY,14226,US,https://www.wetvapes.com/,7162599004,info@wetvapes.com,2018-08-27,2019-05-02,Yes,V,CBD,,,
Green Essentials,3734 NY-30 Unit 3,,Amsterdam,NY,12010,US,https://greenessentialsnaturally.com,5182392020,greenessentialsnaturally@gmail.com,2021-01-16,2021-01-16,Yes,C,CBD,,,
Pro Vapors,4456 NY-30,,Amsterdam,NY,12010,US,,5188837255,,2018-08-06,2019-12-31,,V,,,,
Royal Flush Vapers,266 NY-67,,Amsterdam,NY,12010,US,http://royalflushvapers.com/,5188441646,ddevito@royalflushvapers.com,2021-01-20,,Yes,V,CBD,,,
Smokers Choice,4803 NY-30,,Amsterdam,NY,12010,US,http://www.smokerschoiceusa.com,5188428678,,2018-08-06,2020-03-03,Yes,S,CBD,,,
Village One Stop Smoke Shop,11 Commercial St,,Angola,NY,14006,US,,7165490393,village1stopsmokeshop@aol.com,2018-11-05,,Yes,S,CBD,,,
Astoria Cigar Corner,28-65 Steinway St,,Astoria,NY,11103,US,http://cigar-warehouse-inc-dba-astoria-cigar-corner.business.site/,7189320236,,2018-10-18,2020-06-19,Yes,S,CBD,Yes,,
Best Buzz Hookah,3812 Astoria Blvd S,,Astoria,NY,11103,US,,7187770724,,2021-04-30,,,S,,,,
City Vape,29-20 23rd Ave,,Astoria,NY,11105,US,,7182042959,info@cityvapenyc.com,2014-08-28,2019-03-29,,V,,,,
Cloud Beast Smoke & Vape Shop,2205 35th St,,Astoria,NY,11105,US,,9174594628,,2018-09-14,,Yes,S,CBD,Yes,,
High Rollers Smoke Vape & Convenience,33-22 21st St,,Astoria,NY,11106,US,,3478080885,,2021-11-16,2021-11-16,Yes,S,CBD,,,
Tobacco N Vape,3318 31st Ave,,Astoria,NY,11106,US,,7187771524,tobacconvape31@gmail.com,2019-05-23,2021-10-29,Yes,S,CBD,Yes,,
Vape Kingz,3620 30th Ave,,Astoria,NY,11103,US,,3475070434,,2018-09-09,2021-06-15,Yes,V,CBD,,,
Attica Vapor & CBD,8 Main St,,Attica,NY,14011,US,,5855910232,atticavapor@gmail.com,2014-09-21,2019-03-24,Yes,V,CBD,,,
Evolve CBD,30 E Genesee St,,Auburn,NY,13021,US,https://evolvecbd.com/,3152240907,info@evolvecbd.com,2020-12-06,,Yes,C,CBD,,,
Smokers Choice,360 Grant Ave,,Auburn,NY,13021,US,http://www.smokerschoiceusa.com/,3152376228,info@smokerschoice.com,2020-03-03,,,T,,,,
Vape Kult,10 South St,,Auburn,NY,13021,US,http://www.vapekult.com/,3152509977,,2018-09-30,,,V,,,,
Heirloom Hemp & CBD,25 W Main St,,Bainbridge,NY,13733,US,https://hhcbd.org,6073204026,billy@heirloomhempcbd.com,2021-01-23,,Yes,C,CBD,,,
Baldwin Smoke Shop,1757 Grand Ave,,Baldwin,NY,11510,US,,5162239739,,2019-07-21,,,S,,,,
Daze,574 Sunrise Hwy,,Baldwin,NY,11510,US,https://www.dazeinc.com/,5168683390,dazeinc@gmail.com,2021-11-05,2021-11-05,,H,,,,
Super Kind Imports,8395 Oswego Rd,,Baldwinsville,NY,13027,US,http://www.superkindimports.com/,3156521949,jan@superkindimports.com,2019-01-18,2019-10-22,Yes,S,CBD,,,
Green Witch Vape Ballston Spa,83 Milton Ave,,Ballston Spa,NY,12020,US,,5183094011,greenwitchvape@gmail.com,2020-05-24,,Yes,V,CBD,Yes,,
Pale Horse Vapors,2124 Doubleday Ave Unit 2,,Ballston Spa,NY,12020,US,https://palehorsevapors.com/,5183093380,contact@palehorsevapors.com,2018-10-06,,Yes,V,CBD,,,
BigBoss Vapors,894 Bloomingdale Rd,,Basom,NY,14013,US,,7165426888,,2019-07-25,,,V,,,,
Higher Ground Smoke Shop,7765 Sandhill Rd,,Basom,NY,14013,US,,7165424639,,2021-11-01,2021-11-01,Yes,S,CBD,Yes,,
One Feather Express,672 Bloomingdale Rd,,Basom,NY,14013,US,,7165427122,,2019-08-07,,,T,,,,
Rez Smoke Shop,986 Bloomingdale Rd,,Basom,NY,14013,US,http://www.therezsmokeshop.com/,7165422887,,2020-02-09,2020-02-09,Yes,T,CBD,,,
Sacajawea Smoke Shop,888 Bloomingdale Rd,,Basom,NY,14013,US,,7165426888,,2015-07-05,2019-05-10,,S,,,,
Smoke Rings,449 Shanks Rd,,Basom,NY,14013,US,http://www.smokeringssmokeshop.com/,7165424169,ringssmoke@yahoo.com,2020-02-20,,Yes,S,CBD,,,
Totem Pole Smoke & Gas,1031 Ledge Rd,,Basom,NY,14013,US,,7165421183,,2020-02-16,2020-02-16,Yes,T,CBD,,,
Two Eagles Smoke Shop and Gas Mart,852 Bloomingdale Rd,,Basom,NY,14013,US,http://www.twoeaglessmokeshop.com/,7165426212,,2019-11-18,2019-11-18,,T,,,,
Glass Roots,12 Center St Ste 104,,Batavia,NY,14020,US,,5853457420,glassrootsfamily@gmail.com,2019-01-01,,,H,,,,
Green Astroid's Canna-Bonanza,56 Harvester Ave Ste 1-114,,Batavia,NY,14020,US,https://greenastroid.com,5855369403,greenastroidinfo@gmail.com,2021-12-25,2021-12-25,,H,,,,
The Joshua Tree Gift Shop,8825 Alexander Rd,,Batavia,NY,14020,US,,5859932725,joshtaggart2@gmail.com,2020-07-05,2020-07-05,,H,,,,
Bayside Smoke Shop,41-05 Bell Blvd,,Bayside,NY,11361,US,,7182257356,,2019-07-22,,,S,,Yes,,
Best Kept Secret,216-15 Northern Blvd,,Bayside,NY,11361,US,http://www.bestkeptsecretny.com,7182256009,bks265@aol.com,2018-10-14,,Yes,S,CBD,,,
Discover CBD,45-74 Bell Blvd,,Bayside,NY,11361,US,,3472354100,,2020-12-22,,Yes,C,CBD,,,
Jam Juice Vape Shop,209-15 Northern Blvd,,Bayside,NY,11361,US,,7187496819,jamjuicevape@gmail.com,2018-08-06,2019-12-26,Yes,V,CBD,Yes,,
Smokers Mecca,285 Main St,,Beacon,NY,12508,US,http://smokersmecca.com/,8457651690,info@smokersmecca.com,2018-09-30,,Yes,S,CBD,,,
CBD Live Natural,25 Depot Plz,,Bedford Hills,NY,10507,US,,9142188357,,2021-12-10,2021-12-10,Yes,C,CBD,,,
Big Apple Smoke Shop,1158 Fulton St,,Bedford-Stuyvesant,NY,11216,US,,,,2021-11-05,2022-02-15,Yes,S,CBD,,,
Tobacco Shop & Convenience Store,495 Nostrand Ave,,Bedford-Stuyvesant,NY,11216,US,,3472211339,,2021-11-23,2021-11-23,Yes,S,CBD,,,
Bellmore Cigars and Vapor,2825 Merrick Rd,,Bellmore,NY,11710,US,http://bellmorecigarsandvapor.business.site/,5167858879,,2019-07-22,,Yes,S,CBD,Yes,,
Euphoria Psychedelic Gift Shop,213 Bedford Ave,,Bellmore,NY,11710,US,http://euphoriabellmore.com/,5167814200,info@euphoriabellmore.com,2019-01-01,2022-01-06,Yes,H,CBD,Yes,,
Hemp Smarts,2974 Merrick Rd,,Bellmore,NY,11710,US,,5162628620,info.hempsmartsny@gmail.com,2020-07-05,2021-06-30,Yes,C,CBD,,,
Smoke Shop,1640 Montauk Hwy,,Bellport,NY,11713,US,,,,2020-02-23,,,T,,,,
Kevin's Korner,204 Broadway,,Bethpage,NY,11714,US,https://kevins-corner-e-smoke-vape.business.site/,5169386776,,2019-12-25,,,S,,Yes,,
Vape & Bake,4119 Hempstead Turnpike,,Bethpage,NY,11714,US,,5164954520,jdvape800@gmail.com,2018-09-11,2021-06-30,Yes,V,CBD,,,
Vapor King,279 Front St,,Binghampton,NY,13905,US,http://www.vaporking.com/,6077233913,info@vaporking.com,2014-09-12,2019-05-17,Yes,V,CBD,,,
Hemp Geek,1332 Front St Upper Level,,Binghamton,NY,13901,US,https://www.hempgeek.com/,6072175010,hempgeek@icloud.com,2021-01-25,2021-01-25,Yes,C,CBD,,,
Smokers Choice,254 Main St,,Binghamton,NY,13903,US,http://www.smokerschoiceusa.com/,6072387774,info@smokerschoiceusa.com,2019-01-01,,Yes,S,CBD,Yes,,
Smokers Choice,42 Pennsylvania Ave,,Binghamton,NY,13903,US,http://www.smokerschoiceusa.com/,6077242027,info@smokerschoiceusa.com,2018-09-28,2018-10-28,Yes,S,CBD,,,
Sugar Mountain,42 Court St,,Binghamton,NY,13901,US,http://sugarmountain.biz,6077232420,info@sugarmountain.biz,2018-11-15,2020-01-31,Yes,H,CBD,Yes,,
Darth Vapor,580 NY-303,,Blauvelt,NY,10913,US,http://darthvaporshops.com/,8456806023,darthvaporbv@gmail.com,2017-06-04,2019-03-31,Yes,V,CBD,,,
South Shore Vapor Lounge,51 Montauk Hwy,,Blue Point,NY,11715,US,http://www.southshorevaporlounge.com/,6318683712,southshorevaporlounge@gmail.com,2015-02-14,2019-01-29,Yes,V,CBD,,,
Cloud 9 Smoke Shop,128 Heyward St,,Brentwood,NY,11717,US,,6314565207,,2018-10-20,,Yes,S,CBD,,,
International Hayloft,1016 NY-22,,Brewster,NY,10509,US,,8452782511,mchinchida@yahoo.com,2018-10-22,2018-11-11,Yes,S,CBD,Yes,,
Open Minded Organics,720 Butter Ln,,Bridgehampton,NY,11932,US,https://openmindedorganics.com/,8338333800,dave@openmindedorganics.com,2021-02-15,,Yes,C,CBD,,,
Veterans Hemp Market,111 Bellen Rd,,Broadalbin,NY,12025,US,https://veteranshempmarket.com/,5188728723,info@veteranshempmarket.com,2021-06-29,2021-07-09,Yes,C,CBD,,,
Smokers Choice,1651 Nathaniel Poole Trl,,Brockport,NY,14420,US,http://www.smokerschoiceusa.com/,5854313018,info@smokerschoiceusa.com,2019-01-01,2019-01-01,Yes,S,CBD,Yes,,
The Kratom Shop,52 Main St,,Brockport,NY,14420,US,https://www.rochesterkratom.com/,5853913461,rochesterkratom@gmail.com,2020-11-16,2020-11-16,Yes,O,CBD,Yes,,
Beard Plus Vape,2451 Westchester Ave,,Bronx,NY,10461,US,,7186846116,,2018-06-13,2019-03-24,,V,,,,
Best Smoke Shop,585 E 168th St,,Bronx,NY,10456,US,,7182933572,,2019-07-24,2020-07-08,Yes,S,CBD,Yes,,
Beyond Vape,839 Hutchinson River Pkwy,,Bronx,NY,10465,US,http://www.beyondvape.com/,7186187911,,2018-02-06,2019-01-24,Yes,V,CBD,,,
Guardian Vape Shop,3615 E Tremont Ave,,Bronx,NY,10465,US,https://guardianvapeshop.business.site/,9176349910,,2021-12-08,2021-12-08,,V,,,,
Guardian Vape Shop 2,2500 Arthur Ave,,Bronx,NY,10458,US,,3473290641,,2018-08-06,2019-12-24,Yes,V,CBD,,,
Kingsbridge Smoke Shop & Candy,5619 Broadway,,Bronx,NY,10463,US,,9293747290,,2019-12-26,,,T,,Yes,,
