Shop Name,Address 1,Address 2,City,State/Province,Zip/Postcode,Country,Website,Phone,Email,Added,Updated,CBD,Biz Type,MJ,Kratom,Buyer name ,Title 
Flowland Counter-Culture Outlet,1200 N Sandhills Blvd Ste A,,Aberdeen,NC,28315,US,https://www.flowland.net/,9107570244,info@flowland.net,2018-08-06,2019-09-16,Yes,H,CBD,,,
Tobacco Road Outlet #1,1818 N Sandhills Blvd,,Aberdeen,NC,28315,US,http://www.tobaccoroadoutlet.com/,9106954344,info@tobaccoroadoutlet.com,2019-12-17,,,T,,,,
Tobacco And Vape,5283 US-158,,Advance,NC,27006,US,,3369413628,,2020-05-28,,,V,,,,
Ahoskie Tobacco House,102 S Catherine Creek Rd N,,Ahoskie,NC,27910,US,,2522098505,,2019-07-16,,,T,,,,
Sweet Vapes,304 Main St W Ste C,,Ahoskie,NC,27932,US,,2528628340,sweetvapes27932@yahoo.com,2018-09-30,2020-01-26,Yes,V,CBD,,,
Cozmik Vapes,1550 NC-24,,Albemarle,NC,28001,US,,7049840841,,2019-09-03,2020-11-30,Yes,V,CBD,,,
Hybrid Vapor & Tobacco - Albemarle,718 Leonard Ave Ste G,,Albemarle,NC,28001,US,,9805818202,,2018-09-16,2019-12-09,Yes,S,CBD,,,
Tobacco Road Outlet,720 NC-24,,Albemarle,NC,28001,US,http://www.tobaccoroadoutlet.com/,7049829817,info@tobaccoroadoutlet.com,2020-03-14,,,T,,,,
Your CBD Store,759 NC-24,,Albemarle,NC,28001,US,https://cbdrx4u.com,9102462380,albemarle640@cbdrx4u.com,2020-12-06,,Yes,C,CBD,,,
VAPE Clouds at Spring Rain,14038 US-19,,Andrews,NC,28901,US,,8283212373,,2020-12-13,,Yes,V,CBD,,,
Miracle CBD Products by Wanda,164 Gary Dr,,Angier,NC,27501,US,https://www.miraclecbdbywanda.com/,9103039061,wandahill86@gmail.com,2021-03-13,2021-03-13,Yes,C,CBD,,,
Up N Smoke Tobacco and Vapor #2,12 E Depot St,,Angier,NC,27501,US,https://www.upnsmokeinc.com/,9196394700,info@upnsmokeinc.com,2018-11-24,,Yes,S,CBD,Yes,,
Chasing Clouds Vapor & CBD,1230 W Williams St,,Apex,NC,27502,US,https://www.chasingcloudsvapor.com/,9193725170,,2018-08-06,2020-01-12,Yes,V,CBD,,,
Freedom Vapor,301 N Salem St,,Apex,NC,27502,US,,9193552663,maysonq@hotmail.com,2014-10-10,2019-01-31,Yes,V,CBD,,,
HempKo CBD Store,522 E Williams St,,Apex,NC,27502,US,https://www.hempko.me/,2525059605,sales@hempko.me,2021-01-28,,Yes,C,CBD,,,
Tobacco & More,815 E Williams St,,Apex,NC,27502,US,,9193638499,info@tobacconmore.com,2020-05-23,,Yes,S,CBD,Yes,,
