Shop Name,Address 1,Address 2,City,State/Province,Zip/Postcode,Country,Website,Phone,Email,Added,Updated,CBD,Biz Type,MJ,Kratom,Buyer name ,Title 
Tobacco Depot,820 Elk St,,Alexander,ND,58831,US,,7018283300,,2019-12-06,2019-12-06,Yes,S,CBD,,,
Ignite Dispensary Bismarck,716 E Bowen Ave,,Bismarck,ND,58504,US,https://ignitedispensary.com/,7014504111,ignitebismarck@gmail.com,2021-02-10,,Yes,C,CBD,,,
Infinite Vapor Bismarck,710 E Bowen Ave,,Bismarck,ND,58504,US,http://www.infinitevapor.com/,7017517634,bismarck@infinitevapor.com,2017-10-31,2019-05-14,Yes,V,CBD,,,
Knock-Ootz,1102 S Washington St #310,,Bismarck,ND,58504,US,,7012583159,,2019-07-01,,,S,,,,
Smokey's House of Pipes,1811 E Thayer Ave,,Bismarck,ND,58501,US,https://smokeys-house-of-pipes.business.site/,7013907923,smokeysnd@gmail.com,2019-10-03,,,H,,,,
"Tokes ""R"" Us",235 W Thayer Ave,,Bismarck,ND,58501,US,,7015953321,,2019-08-28,,Yes,H,CBD,,,
The Happy Hippie Shoppe,301 5th Ave NE,,Devils Lake,ND,58301,US,,7015003557,happyhippieshoppe@outlook.com,2019-11-06,2019-11-06,,H,,,,
Quick Vape Dickinson / Vapor Outlet,33 E Villard St,,Dickinson,ND,58601,US,,7014831555,,2019-05-08,,Yes,S,CBD,,,
Vapes,927 Villard St W,,Dickinson,ND,58601,US,https://www.vapesecigs.com/,7012649024,coleman@colemancomputerconsulting.com,2018-08-06,2020-01-16,Yes,V,CBD,,,
CBD of Fargo,3985 56th St S Ste C,,Fargo,ND,58104,US,https://www.thehempdropzstore.com/,7014784596,signaturewellnessmn@gmail.com,2020-11-27,,Yes,C,CBD,,,
Discontent Lifestyle Stores,512 Broadway N,,Fargo,ND,58102,US,https://discontent-fargo.business.site/,7015406166,,2020-12-21,,Yes,S,CBD,,,
Ecig City,4302 13th Ave S Ste 8,,Fargo,ND,58103,US,https://ecigcitynd.com/,7019291000,info@ecigcitynd.com,2018-08-06,2020-01-13,Yes,V,CBD,,,
Electric Underground,3109 13th Ave S,,Fargo,ND,58103,US,https://www.electricundergroundstore.com/,7012936727,,2018-08-17,2020-02-14,,V,,,,
JB’s Blowhole Glass Emporium,1015 Main Ave Unit D,,Fargo,ND,58103,US,https://jbsblowholeglassemporium.com,,jbsblowholeglassemporium@gmail.com,2021-01-21,2021-01-21,Yes,H,CBD,Yes,,
Kota Organics,2511 Kirsten Ln S Ste 104,,Fargo,ND,58104,US,https://kotaorganics.com/,7012033018,info@kotaorganics.com,2021-02-25,,Yes,C,CBD,,,
Mellow Mood Fargo,1414 12th Ave N Ste G,,Fargo,ND,58102,US,,7018508088,,2021-03-15,,Yes,S,CBD,Yes,,
Northland Vapor South Fargo & CBD,3051 25th St S Ste W,,Fargo,ND,58103,US,https://northlandvapor.com/,7013565447,info@northlandvapor.com,2021-02-22,,Yes,V,CBD,,,
