Shop Name,Address 1,Address 2,City,State/Province,Zip/Postcode,Country,Website,Phone,Email,Added,Updated,CBD,Biz Type,MJ,Kratom,Buyer name ,Title 
Vape N Chill,123 S Main St,,Ada,OH,45810,US,,4196340060,vapenchill@gmail.com,2018-09-15,2021-12-12,,V,,,,
Arsenic & Old Lace,779 N Main St,,Akron,OH,44310,US,,3307947507,,2018-10-25,,,H,,,,
Awesome Sauce Vapor,1947 W Market St Ste 106,,Akron,OH,44313,US,https://www.vaporizerstoreakron.com/,3308495139,awesomesaucevapor@gmail.com,2019-02-18,,,V,,,,
Buckeye Smoke and Vapor,1376 N Portage Path,,Akron,OH,44313,US,http://thebuckeyesmokeshop.com/,3302080078,buckeyesmokeshop@gmail.com,2018-12-26,2021-03-28,Yes,H,CBD,Yes,,
High Intentions,3 Merriman Rd,,Akron,OH,44303,US,http://highintentions.life,3304004996,highintentions.social@gmail.com,2020-09-08,2020-09-08,Yes,H,CBD,Yes,,
Kings of Vapor + CBD,2311 East Ave,,Akron,OH,44311,US,http://kingsofvapor.com/,3307453244,info@kingsofvapor.com,2018-08-07,2020-01-21,Yes,V,CBD,,,
Kings of Vapor + CBD,1286 Canton Rd,,Akron,OH,44312,US,http://kingsofvaporohio.com,3307940100,info@kingsofvapor.com,2018-08-07,2020-01-21,Yes,V,CBD,,,
Kings of Vapor + CBD,1872 S Arlington Rd,,Akron,OH,44306,US,http://kingsofvaporohio.com,3307733244,info@kingsofvapor.com,2018-08-07,2020-01-21,Yes,V,CBD,,,
Legend Vapor,1089 E Tallmadge Ave,,Akron,OH,44310,US,http://www.legendvapor.com/,3306338273,sales@legendvapor.com,2018-09-30,,Yes,V,CBD,,,
Marley & Me Novelty Shop,764 W Market St Ste 1,,Akron,OH,44303,US,https://www.mnmeusa.com/,3308176663,contactus@mnmeusa.com,2019-11-04,,Yes,H,CBD,,,
Puffy's Vapor Lounge,3430 S Arlington Rd Unit F,,Akron,OH,44312,US,,2344019020,puffysvl@gmail.com,2021-08-09,2021-08-14,Yes,V,CBD,,,
Short Stops Market & Tobacco,1690 Massillon Rd,,Akron,OH,44312,US,,3306157470,,2019-05-11,,,T,,,,
Smokers Outlet Store,508 Canton Rd,,Akron,OH,44312,US,https://www.smokersoutletonline.com/,3307942233,,2020-03-13,2020-03-13,Yes,S,CBD,Yes,,
Stew's Smoke Shop,2257 Newton St,,Akron,OH,44305,US,,3307337373,stewssmokeshop@hotmail.com,2019-10-20,,,S,,,,
The Glass House,1004 Kenmore Blvd,,Akron,OH,44314,US,http://www.glasshouseohio.com/,3307533600,glasshouseapplication@gmail.com,2018-09-28,,Yes,H,CBD,,,
The Odd Corner,360 E Exchange St,,Akron,OH,44304,US,,3303760852,,2019-11-01,,,H,,,,
Twisted Headz Smokeshop,1091 E Tallmadge Ave,,Akron,OH,44310,US,http://www.twistedheadz.com/,3307947856,twistedheadzsmokeshop@gmail.com,2019-01-08,,Yes,H,CBD,Yes,,
Alliance Vapor Station,640 W State St,,Alliance,OH,44601,US,http://westsidevapor.com/,3309137199,,2018-09-30,2020-03-03,Yes,V,CBD,Yes,,
Cali Culture,131 E Main St,,Alliance,OH,44601,US,https://caliculture.business.site/,3302575695,ilovemymjsalesgroup@gmail.com,2018-11-05,2021-01-03,Yes,H,CBD,Yes,,
Cheap Tobacco,1180 W State St,,Alliance,OH,44601,US,,3308230108,,2018-10-02,,Yes,S,CBD,,,
Happi Daze,2119 W State St,,Alliance,OH,44601,US,,3306808516,mezmorize2009@yahoo.com,2019-01-03,,,H,,Yes,,
The Vapor Shed,11392 Tullis Ave NE,,Alliance,OH,44601,US,,3302576347,lmudrick@neo.rr.com,2018-09-15,2019-09-09,,V,,,,
Discount Beer & Tobacco,1365 Ohio Pike,,Amelia,OH,45102,US,,5139437726,,2019-10-06,,Yes,S,CBD,Yes,,
Happys Smoke Shop,1737 E Ohio Pike,,Amelia,OH,45102,US,https://happys-smoke-shop.business.site/,5137975555,,2019-06-15,,,S,,,,
King Smoking Shop,7 W Main St #B,,Amelia,OH,45102,US,,5134494008,kingsmokingshop@yahoo.com,2018-08-07,2020-01-20,Yes,S,CBD,Yes,,
Moore Vapes,1761 E Ohio Pike Ste F,,Amelia,OH,45102,US,,5137978273,moorevapes@gmail.com,2015-06-15,2018-11-12,,V,,,,
PURE CBD,1723 Ohio Pike #1,,Amelia,OH,45102,US,https://purecbdcincy.com/,5137970024,purecbdamelia@gmail.com,2021-02-05,,Yes,C,CBD,,,
Cheap Tobacco,1915 Cooper Foster Park Rd,,Amherst,OH,44001,US,https://www.cheaptobaccousa.com/,4409607484,,2018-10-02,2021-06-15,Yes,S,CBD,,,
Glass N More Store Amherst,134 Cleveland Ave,,Amherst,OH,44001,US,http://glassnmorestore.com/,4409847639,glasswarenow@yahoo.com,2019-01-03,2020-05-10,Yes,H,CBD,Yes,,
Planet Of The Vapes - Amherst,933 N Leavitt Rd,,Amherst,OH,44001,US,,4407140055,potvamherst@gmail.com,2019-04-24,,Yes,V,CBD,,,
The Glass House,7511 Leavitt Rd,,Amherst,OH,44001,US,http://www.glasshouseohio.com/,4405419698,,2021-06-15,,,H,,,,
Your CBD Store,2231 Kresge Dr,,Amherst,OH,44001,US,https://cbdrx4u.com/find-us/ohio/amherst,4407144297,lorainoh@cbdrx4u.com,2021-06-10,2021-06-10,Yes,C,CBD,,,
Cheap Tobacco,25 Amberwood Pkwy Ste 6,,Ashland,OH,44805,US,https://www.cheaptobaccousa.com/,4192818012,,2018-10-02,2019-08-02,Yes,S,CBD,,,
Puckerfish Vape,75 Amberwood Plaza Ste G,,Ashland,OH,44805,US,https://www.puckerfishvape.com/,4194960600,,2018-10-02,,,V,,,,
Cheap Tobacco,2612 W Prospect Rd,,Ashtabula,OH,44004,US,https://www.cheaptobaccousa.com/,4409920099,,2018-10-02,,Yes,S,CBD,,,
Papa Smokes Ashtabula,1229 W Prospect Rd Ave,,Ashtabula,OH,44004,US,https://www.papasmokes.net/,4405364727,papasmokesoperations@gmail.com,2021-02-14,,Yes,S,CBD,Yes,,
