Shop Name,Address 1,Address 2,City,State/Province,Zip/Postcode,Country,Website,Phone,Email,Added,Updated,CBD,Biz Type,MJ,Kratom,Buyer name,Title
A & A Vapors,514 E 12th St,,Ada,OK,74820,US,,5804362200,asher_vapors@yahoo.com,2018-06-04,11/11/2018,,V,,,,
Ada Smoke Shop,322 E Main St,,Ada,OK,74820,US,,5804537084,,2019-07-16,,Yes,S,CBD,Yes,,
Ada Vapors,816 Arlington St,,Ada,OK,74820,US,,5802359833,,2019-07-16,,,V,,,,
CBD Plus USA - Ada,1006 N Mississippi Ave,,Ada,OK,74820,US,https://cbdplususa.com/,5807896373,ada@cbdplususa.com,2019-11-04,6/25/2020,Yes,C,CBD,Yes,,
Chickasaw Nation Tobacco Shop,1500 N Country Club Rd,,Ada,OK,74820,US,,5804365489,,2019-08-05,,,T,,,,
J Gray's Vapor Shoppe,824 Arlington St,,Ada,OK,74820,US,,5803109055,jgraysvaporshoppe@yahoo.com,2014-10-10,1/28/2019,,V,,,,
Toppers Tobacco,19271 OK-1,,Ada,OK,74820,US,,5803327733,audreya_75@yahoo.com,2020-01-10,,Yes,S,CBD,,,
CBD Plus USA - Altus,1100 Falcon Rd Ste 103,,Altus,OK,73521,US,https://cbdplususa.com/,4052570255,info@cbdplususa.com,2019-04-05,11/29/2020,Yes,C,CBD,,,
Dave's Vapors,1121 N Main St,,Altus,OK,73521,US,,5803794022,davesvapors@gmail.com,2014-08-28,4/8/2019,,V,,,,
Smiley's Breezy Vapes,313 Falcon Rd,,Altus,OK,73521,US,,5804718273,smileysbreezyvapes@gmail.com,2020-07-17,,Yes,V,CBD,,,
Cloud Headz Vapor Lounge,105 N 1st St,,Anadarko,OK,73005,US,,4059331021,,2016-10-18,3/31/2019,,V,,,,
A-1 Vapes & Novelty Shop,915 N Washington St,,Ardmore,OK,73401,US,,5807982301,,2019-05-25,5/25/2019,,V,,,,
CBD Plus USA,816 12th Ave NW,,Ardmore,OK,73401,US,https://cbdplususa.com/,5802575073,,2020-11-29,,Yes,C,CBD,,,
Taste E Vapes,920 Grand Ave,,Ardmore,OK,73401,US,,5802249950,flavorvaporardmore@gmail.com,2019-05-20,,,V,,,,
CBD Plus USA - Bartlesville,2311 SE Washington Blvd Ste A,,Bartlesville,OK,74006,US,https://cbdplususa.com/,9189488824,,2019-05-23,1/25/2020,Yes,C,CBD,,,
Little Deer Smoke Shop,402161 US-60,,Bartlesville,OK,74006,US,,9183330010,,2020-01-04,1/4/2020,,T,,,,
Nirvana Smokes,3830 E Frank Phillips Blvd Ste F,,Bartlesville,OK,74006,US,,9183325780,nirvanasmokesbville@gmail.com,2020-01-29,,Yes,S,CBD,Yes,,
Ohmen Vapors,200 SE Washington Blvd Ste C,,Bartlesville,OK,74006,US,,9188761294,,2019-05-05,,Yes,V,CBD,,,
One-Stop Vape Shop,2245 SE Washington Blvd Ste A,,Bartlesville,OK,74006,US,https://www.kickashflavorfactory.com/,6203318273,wally@wannagetvaped.com,2018-09-30,,Yes,V,CBD,,,
S Hwy 123 Smoke Shop,43 County Rd 2706,,Bartlesville,OK,74003,US,,9183372244,,2020-02-13,,,T,,,,
Vapor Maven,1902 SE Washington Blvd,,Bartlesville,OK,74006,US,https://vapormaven.com/,9188761889,,2021-12-28,12/28/2021,Yes,V,CBD,,,
Beeline Smoke Shop,4985 US-75,,Beggs,OK,74421,US,,9182674700,,2019-07-22,7/22/2019,,T,,Yes,,
23 Discount Tobacco,6701 NW 23rd St,,Bethany,OK,73008,US,,4056033282,,2019-07-12,,,T,,,,
Black Dog Vapes,5021 N Rockwell Ave,,Bethany,OK,73008,US,http://www.blackdogvapes.com/,4056037811,contact@blackdogvapes.com,2018-10-11,,,V,,,,
Bixby Smoke Shop,620 S B Ave,,Bixby,OK,74008,US,,9189706299,,2019-07-13,,,T,,,,
The Vaape Shop Bixby,12914 S Memorial Dr,,Bixby,OK,74008,US,http://www.vaapeshop.com,9189436877,bixbyvapor@gmail.com,2019-07-25,3/10/2020,Yes,V,CBD,Yes,,
Vapor Maven,15024 S Memorial Dr Ste F,,Bixby,OK,74008,US,http://vapormaven.com/,9183643355,,2019-09-24,,Yes,V,CBD,,,
Buzzin Smoke & Vape Shop,1921 S Elm Pl,,Broken Arrow,OK,74012,US,http://buzznsmokeshop.com/,9189407677,info@buzznsmokeshop.com,2019-07-29,1/5/2022,Yes,S,CBD,,,
CBD American Shaman - Broken Arrow,1306 N Elm Pl,,Broken Arrow,OK,74012,US,https://cbdamericanshaman.com/,9188062089,,2019-11-12,,Yes,C,CBD,,,
