Shop Name,Address 1,Address 2,City,State/Province,Zip/Postcode,Country,Website,Phone,Email,Added,Updated,CBD,Biz Type,MJ,Kratom,Buyer name ,Title 
Burn Smoke Shop,1025 Pacific Blvd SE,,Albany,OR,97321,US,,5417912876,,2018-11-04,,,S,,,,
HighTide Pipe & Tobacco,1958 Pacific Blvd SE,,Albany,OR,97321,US,,5417917392,,2019-01-11,2019-01-11,,H,,,,
II Vape Albany,2732 Pacific Blvd SE Ste 110,,Albany,OR,97321,US,,5419812582,bobaeappa@gmail.com,2018-09-12,2021-06-14,,V,,,,
Oregon CBD Company,1989 Santiam Hwy SE,,Albany,OR,97321,US,http://www.oregoncbdco.com/,5417917714,oregoncbdcompany@gmail.com,2021-02-15,2021-02-15,Yes,C,CBD,,,
Rock N Vape,2215 Santiam Hwy SE,,Albany,OR,97321,US,https://www.rocknvape.com/,5417917313,cs@rocknvape.com,2018-08-06,2020-01-16,,V,,,,
Serenity Vapor & CBD Beaverton,18683 SW Tualatin Valley Hwy,,Aloha,OR,97006,US,http://svlounge.com/,5035444433,jordan@svlounge.com,2018-08-06,2019-11-05,Yes,V,CBD,,,
Fire and Water,1658 Siskiyou Blvd,,Ashland,OR,97520,US,https://fire-and-water-glass.business.site/,5414880870,,2018-11-24,,,S,,Yes,,
Puff's Smoke Shop,1796 Ashland St,,Ashland,OR,97520,US,,5414829253,,2018-08-06,2019-11-01,Yes,S,CBD,,,
Spativa Wellness Boutique,260 N 1st St,,Ashland,OR,97520,US,https://spativa.com/,5306433191,rana@spativa.com,2019-10-04,,Yes,C,CBD,,,
Under the Bridge Cigarettes,327 W Marine Dr,,Astoria,OR,97103,US,,5033250720,,2018-10-26,2019-10-24,,S,,,,
The Green Planet CBD,25496 OR-99 E,,Aurora,OR,97002,US,https://www.thegreenplanet.net/,5035929152,canby@thegreenplanet.net,2020-02-22,2020-12-29,Yes,C,CBD,,,
Baker City Bare Bones Smoke and Gift,815 Campbell St,,Baker City,OR,97814,US,https://baker-city-bare-bones-smoke-and-gift.business.site/,5415232733,,2020-08-15,,Yes,S,CBD,,,
Baker City Vape,1820 1st St,,Baker City,OR,97814,US,,5414031457,,2014-09-19,2019-02-25,Yes,V,CBD,,,
High Mountain Smoke Shop,1435 Campbell St,,Baker City,OR,97814,US,,5415190750,,2018-08-06,2020-01-16,Yes,S,CBD,,,
Fast Mart,980 Oregon Ave SE,,Bandon,OR,97411,US,,5413292173,,2019-11-27,,,O,,,,
Beaverton Tobacco Warehouse,12625 SW Canyon Rd,,Beaverton,OR,97005,US,,5036415950,,2021-12-16,2021-12-16,,T,,,,
Henry's Vape Beaverton,4450 SW Hall Blvd,,Beaverton,OR,97005,US,https://henrysvape.com/,5033726303,henrysecigs@gmail.com,2018-08-06,2019-12-25,Yes,V,CBD,,,
Smoke Shack,10020 SW Beaverton Hillsdale Hwy,,Beaverton,OR,97005,US,,5036051673,smokeshackbeaverton@gmail.com,2018-08-06,2020-01-17,Yes,S,CBD,Yes,,
The Hot Box,4589 SW Watson Ave,,Beaverton,OR,97005,US,http://hotboxoregon.com/,5035744057,thehotbox97005@gmail.com,2018-08-06,2020-01-17,Yes,H,CBD,,,
Tony's Smoke Shop,12400 SW Broadway St,,Beaverton,OR,97005,US,http://www.tonyssmokeshop.com/,5035970027,,2018-08-06,2020-01-17,Yes,S,CBD,Yes,,
Torched Illusions,17935 SW Tualatin Valley Hwy,,Beaverton,OR,97006,US,,5032592310,torchedillusion@yahoo.com,2019-01-11,,,H,,,,
Cosmic Depot,342 NE Clay Ave,,Bend,OR,97701,US,http://www.thecosmicdepot.com/,5413857478,cosmicdepot@msn.com,2018-08-06,2019-09-08,Yes,H,CBD,Yes,,
Hempies,2570 NE Twin Knolls Dr Ste 135,,Bend,OR,97701,US,http://www.hempies.com,5419771710,hempies@hempies.com,2019-01-03,2022-03-11,Yes,H,CBD,Yes,,
High Mountain Mist,804 NE 3rd St,,Bend,OR,97701,US,,5412416058,info@highmountainmist.com,2018-08-06,2019-11-25,Yes,V,CBD,,,
High Time Vape & Smoke,2330 NE Division St Ste1,,Bend,OR,97701,US,,4582024307,,2022-04-29,2022-04-29,Yes,S,CBD,Yes,,
Ladybug Hemp CBD,727 NE Greenwood Ave,,Bend,OR,97701,US,https://ladybughemp.com/,5413892228,info@ladybughemp.com,2021-03-04,,Yes,C,CBD,,,
News & Smokes,2139 NE 3rd St,,Bend,OR,97701,US,,5413306102,,2018-08-06,2019-06-11,,S,,,,
Smoke This,527 NE Bellevue Dr Ste 110,,Bend,OR,97701,US,https://best-price-cigarettes.business.site/,5417977076,,2019-05-13,,,T,,,,
Strictly CBD,1052 NE 3rd St,,Bend,OR,97701,US,https://strictlycbdbend.com/,5416103637,strictlycbd@gmail.com,2020-12-28,,Yes,C,CBD,,,
The Pretty Pussycat,1341 NE 3rd St,,Bend,OR,97701,US,http://www.prettypussycat.com,5413173566,mail@prettypussycat.com,2018-11-23,,,H,,,,
Main Street Skate,656 Chetco Ave,,Brookings,OR,97415,US,http://mainstreetskate.com/,5414695036,info@mainstreetskate.com,2018-12-21,,Yes,H,CBD,,,
Smoke For Less,1021 SW 1st Ave #A,,Canby,OR,97013,US,,5036512642,,2020-02-18,2020-02-18,,S,,Yes,,
Canyonville Cigars-Cigarettes,134 S Main St,,Canyonville,OR,97417,US,,5418396100,,2019-07-31,,,T,,,,
"Wild Bill's Oregon Outlet, LLC",202 N Redwood Hwy #A,,Cave Junction,OR,97523,US,,5417619084,wildbillsoffthebeach@hotmail.com,2018-10-28,,,H,,,,
Cosmic Vapor Lounge - Clackamas,16120 SE 82nd Dr,,Clackamas,OR,97015,US,http://www.cosmicvaporlounge.com/,5033057046,info@cosmicvaporlounge.com,2018-08-06,2019-04-02,,V,,,,
Beez Smoke Shop,550 Newmark Ave,,Coos Bay,OR,97420,US,http://www.beezsmokeshop.com/,5418089224,beezsmokeshop@charter.net,2019-07-22,,,S,,Yes,,
