Shop Name,Address 1,Address 2,City,State/Province,Zip/Postcode,Country,Website,Phone,Email,Added,Updated,CBD,Biz Type,MJ,Kratom,Buyer name ,Title 
D & D Cigar & Cigarette Emporium,2591 PA-903,,Albrightsville,PA,18210,US,,5707224665,,2020-08-11,,,T,,,,
Purely CBD,2061 Broadhead St,,Aliquippa,PA,15001,US,https://www.purelycbd.net/,7249201520,,2020-11-03,,Yes,C,CBD,,,
Tobacco 4 Less,2719 Brodhead Rd,,Aliquippa,PA,15001,US,http://www.t4lstores.com/,7247881398,,2018-08-17,2020-04-11,Yes,S,CBD,Yes,,
Allentown Smoke Shop,4787 Tilghman St,,Allentown,PA,18104,US,http://www.allentownsmokeshop.com/,4842219355,,2019-07-17,2019-07-17,,T,,Yes,,
"Barraco Flavour ""La Cuevita""",113 N 9th St,,Allentown,PA,18102,US,,6103514154,barracoflavour@gmail.com,2019-09-08,2019-09-08,Yes,S,CBD,,,
"Condoms Galore - Allentown, PA",1980 Catasauqua Rd,,Allentown,PA,18109,US,http://www.condomsgalore.com,6102667710,,2018-11-21,,,H,,,,
Express Smoke Shop Drive Thru,943 Union Blvd,,Allentown,PA,18109,US,,4843503159,expresssmokeshopdrivethru@gmail.com,2020-02-18,,Yes,S,CBD,Yes,,
F5 Variety Store,1401 Union Blvd,,Allentown,PA,18109,US,http://f5varietystore.com/,6103511809,f5varietystore@live.com,2018-12-25,2018-12-25,Yes,C,CBD,Yes,,
G & R Cigarette & Cigar Outlet,1730 S 4th St,,Allentown,PA,18103,US,,6107975930,,2019-11-12,2019-11-12,,T,,,,
Smoker's Express,1910 Catasauqua Rd,,Allentown,PA,18109,US,,6102649411,,2019-05-14,,,T,,,,
Smokin' Zone,1091 Mill Creek Rd #121,,Allentown,PA,18106,US,http://smokinzone.vpweb.com/,6104819368,,2018-08-16,2019-12-11,Yes,T,CBD,,,
Smooth Roots CBD,911 Hamilton St,,Allentown,PA,18101,US,https://smoothroots.co/,6106758740,info@smoothroots.co,2020-07-17,2020-07-17,Yes,C,CBD,,,
Tobacco Shop,1595 Lehigh St,,Allentown,PA,18103,US,,6107976862,,2019-05-24,,,S,,,,
Vapor Galleria,4672 Broadway,,Allentown,PA,18104,US,https://vaporgalleria.com/,6103958273,info@vaporgalleria.com,2018-08-17,2020-02-16,Yes,V,CBD,,,
Your CBD Store,4680 Broadway,,Allentown,PA,18104,US,https://cbdrx4u.com,4848603061,allentown589@cbdrx4u.com,2020-12-07,,Yes,C,CBD,,,
Cool Vapes,4960 William Flinn Hwy,,Allison Park,PA,15101,US,https://www.coolvapes.com/,7249393275,info@coolvapes.com,2018-08-06,2022-02-14,Yes,V,CBD,,,
Herbal Equipment and Distribution,222 W Plank Rd,,Altoona,PA,16602,US,https://herbal-equipment-and-distribution.business.site/,8149412111,herbalequipmentanddistribution@gmail.com,2018-12-13,2021-08-24,Yes,H,CBD,Yes,,
Puff Super Value,706 N 4th Ave,,Altoona,PA,16601,US,http://puffsv.com/,8149415625,,2020-07-24,,,T,,,,
Puff Super Value,3005 Walnut Ave,,Altoona,PA,16601,US,http://puffsv.com/,8142012153,,2020-02-06,,Yes,T,CBD,,,
