Shop Name,Address 1,Address 2,City,State/Province,Zip/Postcode,Country,Website,Phone,Email,Added,Updated,CBD,Biz Type,MJ,Kratom,Buyer name ,Title 
3Js Vapes,1282 Hope St,,Bristol,RI,2809,US,,4013965394,john@3jsvapesllc.com,2018-06-05,2019-06-19,Yes,V,CBD,,,
Pick N Pay Food Mart & Smoke Shop,300 Hope St,,Bristol,RI,2809,US,,4012545827,,2020-08-18,,Yes,O,CBD,,,
RI e-Cig & Vapes Conventry,577 Tiogue Ave,,Coventry,RI,2816,US,https://www.riecig.com/,4019215655,info@riecig.com,2018-06-05,2019-05-05,Yes,V,CBD,,,
Aftermath Alternatives,633 Park Ave,,Cranston,RI,2910,US,https://apbvapes.business.site/,4014611378,,2021-12-02,2021-12-02,Yes,V,CBD,,,
Macs Food Store And Vape Shop,983 Oaklawn Ave,,Cranston,RI,2920,US,,4019429797,macsfoodstores@gmail.com,2019-01-14,,Yes,S,CBD,,,
Moon Market,579 Reservoir Ave,,Cranston,RI,2910,US,,4019416666,,2020-08-18,,Yes,S,CBD,,,
Smokers Haven,3450 Mendon Rd,,Cumberland,RI,2864,US,,4016581500,smokershavenri@gmail.com,2020-08-18,,Yes,S,CBD,,,
CBD Center of R.I.,5750 Post Rd,,East Greenwich,RI,2818,US,https://cbdcenterofri.com/,4014717416,info@cbdcenterofri.com,2020-09-21,2020-09-21,Yes,C,CBD,,,
Amazing Intimates Essentials,2312 Pawtucket Ave,,East Providence,RI,2914,US,,4014322655,,2018-08-06,2020-01-11,Yes,O,CBD,,,
Churchill's Smoke Shop & Lounge,899 Warren Ave,,East Providence,RI,2914,US,,4014343424,churchillssmokeshop@gmail.com,2019-08-06,,Yes,T,CBD,,,
Pick N Pay Food Mart & Smoke Shop,615 Putnam Pike,,Greenville,RI,2828,US,https://pick-pay-food-mart-smoke-shop.business.site/,4019492254,,2020-08-18,,Yes,O,CBD,,,
Amazing Superstore - Johnston,1530 Hartford Ave,,Johnston,RI,2919,US,https://www.soamazing.com/,4012720475,,2020-06-20,,Yes,O,CBD,,,
CBD Center of R.I.,1239 Hartford Ave,,Johnston,RI,2919,US,https://cbdcenterofri.com/,4015374549,info@cbdcenterofri.com,2020-09-21,,Yes,C,CBD,,,
Easy Vapor RI,1478 Atwood Ave Ste 102,,Johnston,RI,2919,US,http://www.easyvaporri.com/,4012706114,easyvaporri@yahoo.com,2014-09-29,2019-03-04,Yes,V,CBD,,,
Nona's Smoke Shop,595 Killingly St,,Johnston,RI,2919,US,http://www.nonassmokeshop.com/,4013310300,info@nonassmokeshop.com,2018-09-17,2020-01-29,Yes,S,CBD,,,
Pick N Pay Food Mart & Smoke Shop,94 George Waterman Rd,,Johnston,RI,2919,US,https://pick-n-pay-food-court.business.site/,4012326790,,2020-08-18,,Yes,O,CBD,,,
The Joint On 6,2948 Hartford Ave,,Johnston,RI,2919,US,,4019342038,thejointon6@yahoo.com,2018-11-01,,Yes,H,CBD,,,
