Shop Name,Address 1,Address 2,City,State/Province,Zip/Postcode,Country,Website,Phone,Email,Added,Updated,CBD,Biz Type,MJ,Kratom,Buyer name ,Title 
1 Stop CBD Smoke & Vape Outlet,3562 Richland Ave W,,Aiken,SC,29801,US,,8032260465,d1stop@bellsouth.net,2021-12-14,2021-12-14,Yes,C,CBD,,,
Ivapor & Tobacco,3601 Richland Ave W Ste 709,,Aiken,SC,29801,US,https://ivaportobacco.business.site/,9192212376,,2018-11-02,2020-01-09,Yes,S,CBD,Yes,,
Moe's Discount Tobacco,185 Beaufort St NE,,Aiken,SC,29801,US,,8036422996,,2020-01-09,,Yes,S,CBD,,,
Vapor Hut Aiken,1014 Pine Log Rd,,Aiken,SC,29803,US,https://www.vaporhutsc.com/,8032260544,aikenvaporhut@gmail.com,2018-08-15,2019-08-11,Yes,V,CBD,,,
Vapor Tek USA,1921 Whiskey Rd,,Aiken,SC,29803,US,https://vaportekusa.com/,803522600,vaportekusa@outlook.com,2018-09-30,,Yes,V,CBD,,,
"Your CBD Store - Aiken, SC",152 S Aiken Ln Ste 101,,Aiken,SC,29803,US,https://cbdrx4u.com/,8032625643,cbd3507@gmail.com,2019-09-17,2019-09-17,Yes,C,CBD,,,
Vapor Nation,3708 Liberty Hwy,,Anders,SC,29621,US,,8648449008,vapornationsc@gmail.com,2018-08-15,2020-02-11,,V,,,,
Carolina Vapor Mill Anderson,1815 E Greenville St #C,,Anderson,SC,29621,US,https://carolinavapormill.com/,8645408201,,2018-08-06,2020-01-12,,V,,,,
Electric City Vapor,1480 Pearman Dairy Rd,,Anderson,SC,29625,US,,8646429712,electriccityvapor@gmail.com,2018-08-15,2020-02-11,Yes,V,CBD,Yes,,
Get Weird Vape Smoke Shop,3016 N Main St Ste E,,Anderson,SC,29621,US,https://www.getweirdsmokeshop.com/,8648449933,getweirdanderson@gmail.com,2018-08-15,2020-02-11,Yes,S,CBD,,,
Piedmont Tobacco Co,3300 N Main St Ste K,,Anderson,SC,29621,US,,8642244004,,2019-09-10,,,T,,,,
Piedmont Tobacco Co #2,4409 SC-24,,Anderson,SC,29626,US,,8642222343,,2019-09-10,,,T,,,,
Randy's Smoke-N-Holes,3907 Clemson Blvd Ste E,,Anderson,SC,29621,US,,8642616522,randyssmokenholes@yahoo.com,2018-12-12,2018-12-12,Yes,H,CBD,Yes,,
Smoke Signals Vape & Tobacco,3812 Liberty Hwy Ste C,,Anderson,SC,29621,US,http://smoke-signals-vapetobacco-inc.business.site/,8642318077,,2019-09-19,,,S,,,,
The Edge,100 Electric City Blvd Ste 60,,Anderson,SC,29621,US,,8643592172,andersontheedge@gmail.com,2018-11-03,,,H,,,,
Volcano Vapor Lounge,1031 Whitehall Rd,,Anderson,SC,29625,US,,8642222277,,2014-09-05,2019-02-09,,V,,,,
"Your CBD Store - Anderson, SC",3501 Clemson Blvd,,Anderson,SC,29621,US,https://cbdrx4u.com/,8644378338,cbd3507@gmail.com,2019-09-17,2019-09-17,Yes,C,CBD,,,
Pirates Cove Vapor Lounge,2311 Boundary St Ste B,,Beaufort,SC,29902,US,,8433790424,,2019-05-07,,,V,,,,
The Vape It Store,81 Sea Island Pkwy,,Beaufort,SC,29907,US,https://vapinbythebeach.com/,8436056054,,2014-09-03,2020-02-11,Yes,V,CBD,,,
The Vape It Store,860 Parris Island Gateway Unit #A7,,Beaufort,SC,29906,US,http://www.vapinbythebeach.com/,8435220384,vapinbythebeach@yahoo.com,2019-11-01,2019-11-01,,V,,,,
Your CBD Store,903 Bay St,,Beaufort,SC,29902,US,https://cbdrx4u.com,8433794545,,2020-12-07,,Yes,C,CBD,,,
Coastal Carolina CBD & Wellness,104 Buckwalter Parkway Suite 1-DD,,Bluffton,SC,29910,US,,8437573339,ccinsgroup@aol.com,2020-12-15,,Yes,C,CBD,,,
Hilton Head Shop/CBD,1504 Fording Island Rd,,Bluffton,SC,29910,US,,8438365020,,2018-12-27,2019-12-02,Yes,H,CBD,Yes,,
Hilton Head Vapes,30 Plantation Park Dr #203,,Bluffton,SC,29910,US,http://hiltonheadvapes.com/,8437062026,islevapes@gmail.com,2018-08-06,2019-12-25,Yes,V,CBD,,,
Pirates Cove Vapor Lounge,878 Fording Island Rd Ste 17,,Bluffton,SC,29910,US,,8433681082,piratescovevaporlounge@gmail.com,2018-08-15,2020-02-11,,V,,,,
Noble Vapor,2651 Boiling Springs Rd Ste C,,Boiling Springs,SC,29316,US,http://noblevaporsc.com/,8645863676,vape@noblevaporsc.com,2018-08-15,2020-02-11,Yes,V,CBD,,,
Dab City Tobacco & Vape,1671 Springdale Dr Ste 11B,,Camden,SC,29020,US,,8032720587,shazanghani@gmail.com,2020-06-22,2020-06-22,Yes,S,CBD,,,
Tobacco Corner,510 E Dekalb St,,Camden,SC,29020,US,,8034324735,,2020-06-11,,Yes,T,CBD,,,
Vape Away,106 E Dekalb St,,Camden,SC,29020,US,,8033109005,,2020-12-12,,Yes,V,CBD,Yes,,
Chapin Hemp Company,401 Chapin Rd #A,,Chapin,SC,29036,US,https://www.chapinhempcompany.com,8038168037,chapinhempcompany@gmail.com,2022-05-12,2022-05-12,Yes,C,CBD,,,
Avalon Vapor,1027 Folly Rd Ste 1,,Charleston,SC,29412,US,http://avalonvapor.business.site/,8439340070,,2019-07-20,,Yes,V,CBD,Yes,,
CBD Social,507 King St,,Charleston,SC,29403,US,https://www.cbdsocial.com/,8432036115,info@cbdsocial.com,2020-12-01,,Yes,C,CBD,,,
Charleston Hemp Collective,473 King St,,Charleston,SC,29403,US,https://charlestonhempcollective.com,8433054367,info@charlestonhempcollective.com,2020-12-01,,Yes,C,CBD,,,
Ecig Charleston,1836 Ashley River Rd Ste Q-1,,Charleston,SC,29407,US,https://www.ecigcharleston.com/,8438525400,,2018-10-21,2019-02-16,Yes,V,CBD,,,
Ecig Charleston,2875 Ashley River Rd Ste 7,,Charleston,SC,29407,US,https://www.ecigcharleston.com/,8437374256,,2018-10-21,2019-02-16,Yes,V,CBD,,,
Gallery Smoke Charleston,363 King St,,Charleston,SC,29401,US,http://www.gallerysmoke.com,8338727473,contact@gallerysmoke.com,2018-12-05,2018-12-05,Yes,S,CBD,Yes,,
"Good Guy Vapes, CBD & Glass - Charleston",168 Church St Unit C,,Charleston,SC,29401,US,http://www.goodguyvapes.com/,8435764618,ggvcharleston@gmail.com,2019-11-13,2019-11-13,Yes,V,CBD,,,
Hemporia CBD Product Superstore,2000 Sam Rittenberg Blvd Ste 120,,Charleston,SC,29407,US,,8439727750,hemporiachs@gmail.com,2020-07-22,2020-07-22,Yes,C,CBD,,,
Herbal Passion,845 Savannah Hwy #1B,,Charleston,SC,29407,US,https://herbalpassionsc.com/,6303353231,herbalpassionsc@gmail.com,2020-07-22,2020-07-22,Yes,O,CBD,,,
Holy City Health,38 Radcliffe St Unit A,,Charleston,SC,29403,US,https://holycityhealth.net,8439964880,info@holycityhemp.net,2021-02-06,,Yes,C,CBD,,,
I Heart CBD,1722 Ashley River Rd,,Charleston,SC,29407,US,https://westashleyiheartcbd.com/,8435764440,iheartcbd843@gmail.com,2020-07-22,2020-07-22,Yes,C,CBD,,,
Island Tobacco,808 Folly Rd Ste B,,Charleston,SC,29412,US,,8432255202,islandtobacco@knology.net,2018-10-27,,Yes,S,CBD,Yes,,
Modern Vapor Company,2000 Sam Rittenberg Blvd #122,,Charleston,SC,29407,US,http://www.modernvaporcompany.com/,8436410023,modernvaporcompany@yahoo.com,2018-09-30,,,V,,,,
Purple Haze,778 Folly Rd Ste A2,,Charleston,SC,29412,US,http://www.originalpurplehaze.com,8437249556,support@everypipe.com,2018-12-28,,Yes,H,CBD,Yes,,
Purple Haze Smoke Shop,1698 Old Towne Rd,,Charleston,SC,29407,US,http://www.originalpurplehaze.com,8439745631,,2018-10-30,,Yes,S,CBD,,,
The Planet Vape,3025 Ashley Town Center Dr Ste 204,,Charleston,SC,29414,US,http://www.theplanetvape.com/,8432250121,sales@theplanetvape.com,2019-05-20,,,V,,,,
Wholesale Tobacco and Ale,1610 Sam Rittenberg Blvd,,Charleston,SC,29407,US,http://www.charlestonheadshop.com/,8435710143,headshop@bellsouth.net,2018-11-11,2018-11-11,Yes,S,CBD,Yes,,
Your CBD Store - North Charleston,2280 Savannah Hwy,,Charleston,SC,29414,US,https://cbdrx4u.com/find-us/south-carolina/charleston,8439909491,,2021-06-10,,Yes,C,CBD,,,
Zuluvape,1300 Savannah Hwy Ste 10,,Charleston,SC,29407,US,http://www.zuluvape.com/,8434147680,support@zuluvape.com,2018-08-15,2020-02-11,Yes,V,CBD,,,
Royal Smokers & CBD & Kratom & Vape,335 Chesterfield Hwy,,Cheraw,SC,29520,US,,8432535280,,2021-01-20,,Yes,S,CBD,Yes,,
Tobacco Market,232 2nd St,,Cheraw,SC,29520,US,,8435376390,,2020-07-12,,,T,,,,
Happy Hemp Co.,5581 Chesnee Hwy,,Chesnee,SC,29323,US,https://www.carolinahappyhempco.com,8648050221,comegethappy@carolinahappyhempco.com,2021-08-06,2021-08-06,Yes,C,CBD,,,
Purple Haze,1393 Tiger Blvd,,Clemson,SC,29631,US,,8646533855,sjpurplehaze@gmail.com,2019-12-14,,,H,,Yes,,
Zen Den,356 College Ave,,Clemson,SC,29631,US,,8647229060,zendenofclemson@gmail.com,2018-11-15,,Yes,H,CBD,,,
TSR Vape Shop,114 N Adair St,,Clinton,SC,29351,US,,8645474655,todaysmokinretailer@gmail.com,2018-08-15,2020-02-11,Yes,V,CBD,Yes,,
540 Smoke & Vape,2316 Decker Blvd Ste B,,Columbia,SC,29206,US,https://540-smoke-vape.business.site/,8038887208,,2019-07-13,2021-06-25,Yes,S,CBD,Yes,,
CBD Farmacy,3407 Forest Dr,,Columbia,SC,29204,US,https://cbdfarmacy.us/,8037089972,cbdfarmacysc@gmail.com,2020-11-24,2022-05-03,Yes,C,CBD,,,
Charlotte CBD - Columbia,610 Harden St,,Columbia,SC,29205,US,https://cltcbd.com/,8035636012,info@cltcbd.com,2020-09-23,,Yes,C,CBD,,,
Columbia Vapes,285 Columbiana Dr Ste D,,Columbia,SC,29212,US,http://www.columbiavape.com/,8038886028,columbiavapessc@gmail.com,2019-06-26,2019-06-26,Yes,V,CBD,,,
Dab City Tobacco & Vape,327 Killian Rd Ste A-3,,Columbia,SC,29203,US,,8036619434,,2018-11-18,,Yes,S,CBD,Yes,,
Dab City Tobacco & Vape,1318 Bush River Rd,,Columbia,SC,29201,US,,8037644840,shazanghani@gmail.com,2020-06-22,,Yes,S,CBD,Yes,,
Dab City Tobacco & Vape,5496 Forest Dr Ste A,,Columbia,SC,29206,US,,8038345114,shazanghani@gmail.com,2020-06-22,2020-06-22,Yes,S,CBD,Yes,,
High Life Smoke Shop - Columbia,631 Harden St Ste A,,Columbia,SC,29205,US,,8032553485,columbia@highlifesmokes.com,2018-12-30,2019-04-21,Yes,S,CBD,Yes,,
Illuminati Smoke Shop,4425 Devine St,,Columbia,SC,29205,US,http://www.illuminatisc.com/,8035696481,illuminatismokeshopsc@gmail.com,2018-08-06,2019-10-02,Yes,H,CBD,,,
Infusion 420,620 Gervais St Ste D,,Columbia,SC,29201,US,https://infusion420.net/,8037081306,,2021-02-11,,Yes,C,CBD,,,
Jay's Vape and Wellness Center,621 Gadsden St Ste A,,Columbia,SC,29201,US,https://www.jaysvapeandwellnesscenter.com/,8039955381,jaykalin123@gmail.com,2019-12-10,2020-01-11,Yes,V,CBD,,,
Kure CBD and Vape - Columbia,620 Gervais St #B,,Columbia,SC,29201,US,https://www.kurevapes.com/,8038451099,kurecolumbia@outlook.com,2018-08-06,2019-12-28,Yes,V,CBD,,,
Natural Vibrations,719 Harden St,,Columbia,SC,29205,US,https://www.nattyvibezsmokeshop.com/,8037714144,naturalvibes1@yahoo.com,2018-08-15,2020-02-11,Yes,H,CBD,Yes,,
Planet Vapor,7457 Patterson Rd Ste 109,,Columbia,SC,29209,US,http://www.planet-vapor.com/,8038515353,customersupport@planet-vapor.com,2018-08-15,2020-02-11,Yes,V,CBD,,,
Planet Vapor,300 Huger St,,Columbia,SC,29201,US,http://www.planet-vapor.com/,8038511418,planetvapors@gmail.com,2018-08-06,2019-12-31,Yes,V,CBD,,,
Planet Vapor,9300 Two Notch Rd Ste I,,Columbia,SC,29223,US,http://www.planet-vapor.com/,8036261882,planetvapors@gmail.com,2018-08-06,2019-12-31,Yes,V,CBD,,,
Purple Haze Smoke Shop,719 Saluda Ave,,Columbia,SC,29205,US,http://originalpurplehaze.com/,8038347708,support@originalpurplehaze.com,2020-02-07,2020-02-07,Yes,H,CBD,Yes,,
Seven Sense International,10240 Two Notch Rd,,Columbia,SC,29223,US,http://www.sevensenseintl.com/,8034022131,ask@sevensenseintl.com,2018-11-23,,Yes,H,CBD,,,
The Bizarre Bazaar Smoke Shop,7523 Garners Ferry Rd Ste B,,Columbia,SC,29209,US,http://bizarrebazaaronline.com/,8032239503,bizarrebazaarlimited@gmail.com,2018-08-15,2020-02-11,Yes,H,CBD,Yes,,
Vaping Zone,378 Columbiana Dr Ste 4,,Columbia,SC,29212,US,https://www.vapingzone.com/,8033543500,support@vapingzone.com,2018-08-15,2020-02-11,Yes,V,CBD,Yes,,
"Your CBD Store - Columbia, SC",718 Fashion Dr Ste C,,Columbia,SC,29229,US,https://cbdrx4u.com/,8037642012,cbd3507@gmail.com,2019-09-17,2019-09-17,Yes,C,CBD,,,
"Your CBD Store - Irmo, SC",275 Harbison Blvd Ste L,,Columbia,SC,29212,US,https://cbdrx4u.com/,8036679579,cbd3507@gmail.com,2019-09-17,2019-09-17,Yes,C,CBD,,,
AJ's Coastal Bliss District,1350 US-501 Bus,,Conway,SC,29526,US,https://www.ajscbd.com/,18432843551,coastalblissdistrict@gmail.com,2020-06-17,2020-06-17,Yes,C,CBD,,,
Apothecare Dispensary,132 Professional Park Dr #B,,Conway,SC,29526,US,,8433313232,,2020-11-17,,Yes,C,CBD,,,
Huff N Puff,110 El Bethel Rd Ste B,,Conway,SC,29526,US,,8433658428,,2019-12-04,,Yes,S,CBD,,,
The Happy Glass Company,140 University Plaza Dr,,Conway,SC,29526,US,http://happyglass420.com/,8432342779,thehappyglasscompany@gmail.com,2018-12-30,,Yes,H,CBD,Yes,,
The Vape Shop,1350 US-501 Bus Unit 3,,Conway,SC,29526,US,,8433498273,vapeshop@thevapeshopandmore.com,2014-10-02,2019-02-10,,V,,,,
Vape Monkey,3229 US-701,,Conway,SC,29581,US,,8438775147,,2014-10-04,2019-10-14,,V,,,,
Tobacco Corner,2107 E Main St,,Duncan,SC,29334,US,,8644330062,,2019-12-23,2019-12-23,,S,,,,
Vital Vapers,1628 E Main St,,Duncan,SC,29334,US,https://www.vitalvapers.com/,8645801753,sales@vitalvapers.com,2018-08-15,2020-02-11,Yes,V,CBD,,,
Abnormal Gifts,1726 E Main St,,Easley,SC,29640,US,http://www.abnormalgiftssc.com,8643063004,electrisangel@gmail.com,2018-10-25,,,S,,,,
Discount Tobacco & More,6129 Calhoun Memorial Hwy Ste A,,Easley,SC,29640,US,,8648593057,,2019-10-09,,Yes,S,CBD,Yes,,
Mellow Vapes Easley,6615 Calhoun Memorial Hwy,,Easley,SC,29640,US,https://www.mellowvapeseasley.com/,8643923304,,2015-05-20,2021-03-15,Yes,V,CBD,,,
Stop N Shop Easley,200 Ross Ave Ste G,,Easley,SC,29640,US,,,stopnshopeasley@gmail.com,2019-12-17,,Yes,T,CBD,Yes,,
Upstate Hemp,225 S Pendleton St,,Easley,SC,29640,US,http://upstatehempsc.com/,8646448400,info@upstatehempcompany.com,2020-07-22,,Yes,C,CBD,,,
Vapor,6811 Calhoun Memorial Hwy Ste A,,Easley,SC,29640,US,,8648590017,parker.vapor@gmail.com,2014-09-30,2019-02-08,,V,,,,
How High Smoke And Vape Shop,2211 US-1 #A,,Elgin,SC,29045,US,,8039005856,howhighsmokeandvape@gmail.com,2022-05-02,2022-05-02,Yes,S,CBD,,,
Deep Six CBD,2701 David H McLeod Blvd,,Florence,SC,29501,US,https://www.deepsixcbd.com/,8544005597,customerservice@deepsixcbd.com,2019-12-28,2019-12-28,Yes,C,CBD,,,
House Of Clouds Florence,1210 S Cashua Dr #5,,Florence,SC,29501,US,,8437991744,denise.terry@house-of-clouds.com,2021-01-19,,Yes,V,CBD,Yes,,
Smok O Vape,2112 S Irby St,,Florence,SC,29505,US,http://smok-o-vape.business.site,9192210842,,2018-10-30,,Yes,S,CBD,Yes,,
Smoker's Town,205 2nd Loop Rd,,Florence,SC,29505,US,http://www.smokerstown.com/,8434071036,,2018-11-01,2019-01-09,,S,,,,
Tobacco Market,1593 S Irby St,,Florence,SC,29505,US,,8436657999,,2020-07-12,,,T,,,,
Tobacco Market,1733 W Lucas St,,Florence,SC,29501,US,,8436629222,,2020-07-12,,,T,,,,
"Your CBD Store - Florence, SC",2405 2nd Loop Rd Ste J,,Florence,SC,29501,US,https://cbdrx4u.com/,8434075614,cbd3507@gmail.com,2019-09-17,2019-09-17,Yes,C,CBD,,,
Lunar Light Botanicals,113 E Ashley Ave,,Folly Beach,SC,29439,US,http://www.lunarlightbotanicals.com/,8436336610,cbd@lunarlightbotanicals.com,2021-11-13,2021-11-13,Yes,C,CBD,,,
Carolina E-Cigs,3160 US-21,,Fort Mill,SC,29715,US,http://www.carolinaecigs.com,8035477222,,2018-10-15,2019-07-31,Yes,V,CBD,,,
High Life - Fort Mill,8475 Charlotte Hwy,,Fort Mill,SC,29707,US,,8035483240,info@highlifesmokes.com,2018-08-06,2019-09-25,Yes,S,CBD,Yes,,
Kushi World Bazaar,152 Fort Mill Hwy,,Fort Mill,SC,29707,US,,9803193145,kushiworldbazaar@gmail.com,2018-11-04,2018-11-04,Yes,H,CBD,Yes,,
PureRemedies CBD,2000 SC-160 #114,,Fort Mill,SC,29708,US,https://www.pureremediescbdfortmill.com/,8035481355,pureremediescbd@gmail.com,2020-08-22,,Yes,C,CBD,,,
Smokers Cabinet - Tega Cay,849 Stockbridge Dr,,Fort Mill,SC,29708,US,,,smokerscabinet.owner@gmail.com,2018-11-23,,Yes,S,CBD,,,
Stateline Vapes,1154 Carolina Pl Dr Unit 101,,Fort Mill,SC,29708,US,https://statelinevapes.com/,8036308273,,2022-03-17,2022-03-17,Yes,V,CBD,Yes,,
Village Vapors,308 Fairview St,,Fountain Inn,SC,29644,US,http://thevillagevapors.com,8646305143,villagevapors@gmail.com,2018-09-30,,Yes,V,CBD,,,
Puff And Stuff Tobacco,114 Wilkinsville Hwy,,Gaffney,SC,29340,US,,8646491607,,2018-08-15,2019-06-11,,S,,,,
Steam Roller Vapor Depot,318 N Limestone St,,Gaffney,SC,29340,US,,8643167564,steamrollervapordepot@gmail.com,2014-10-10,2020-03-31,Yes,V,CBD,Yes,,
Tobacco Cigar Vape,157 Walton Dr,,Gaffney,SC,29341,US,,8644891404,,2018-08-06,2018-11-10,,T,,,,
