Shop Name,Address 1,Address 2,City,State/Province,Zip/Postcode,Country,Website,Phone,Email,Added,Updated,CBD,Biz Type,MJ,Kratom,Buyer name ,Title 
Triple D Novelty,115 1/2 S Main St,,Aberdeen,SD,57401,US,,6057254333,tirplednovelty@yahoo.com,2019-12-10,,,O,,,,
Roll N' Smoke - Brookings,726 25th Ave,,Brookings,SD,57006,US,https://rollnsmoke.com/,6056922558,info@rollnsmoke.com,2020-02-11,2020-02-11,Yes,S,CBD,Yes,,
Fogndroz - Deadwood,470 Main St Ste V,,Deadwood,SD,57732,US,http://vapedeadwood.com/,6055591337,fogndroz.deadwood@outlook.com,2021-01-06,,Yes,V,CBD,,,
Huron Vapes - South Side Convenience,1775 Dakota Ave S,,Huron,SD,57350,US,http://www.huronvapes.com/,6053521613,vape@huronvapes.com,2018-10-08,,Yes,V,CBD,,,
Fogndroz,1007 N Main St,,Mitchell,SD,57301,US,http://www.fogndroz.com/,6059901337,fogndroz@gmail.com,2019-10-24,,Yes,V,CBD,,,
Hardcore Inc.,303 N Main St,,Mitchell,SD,57301,US,http://hardcoreinc.wix.com/hardcoreinc,6052996644,,2018-10-22,,,S,,,,
MasterPiece Smoke Shop,111 E Capitol Ave,,Pierre,SD,57501,US,,6052952250,masterpiecepierre@gmail.com,2022-04-04,2022-04-04,Yes,H,CBD,,,
Oahe Pawn,2808 E Elizabeth St,,Pierre,SD,57501,US,http://www.oahepawn.com,6052809997,michael@oahelightandsound.com,2019-03-15,2019-01-30,,O,,,,
1 Down Ohm Vapors,1624 E Saint Patrick St #110,,Rapid City,SD,57703,US,,6053484104,kevin@downohmvapors.com,2018-06-27,2018-12-22,,V,,,,
510 Vape Shop,1375 N Lacrosse St Ste 3,,Rapid City,SD,57701,US,,6058382913,,2019-07-13,,,V,,,,
Black Hills CBD,325 Omaha St Ste 2,,Rapid City,SD,57701,US,,6057911406,,2020-11-20,,Yes,C,CBD,,,
Black Hills Vapors,4258 Canyon Lake Dr,,Rapid City,SD,57702,US,http://www.blackhillsvapors.com,6057914888,service@blackhillsvapors.com,2018-06-14,2019-06-26,,V,,,,
Black Hills Vapors Downtown,509 7th St,,Rapid City,SD,57701,US,https://blackhillsvapors.com/,6057915505,service@blackhillsvapors.com,2018-06-27,2019-07-13,,V,,,,
Cloud Nine,1430 Haines Ave Ste 107,,Rapid City,SD,57701,US,,6057180797,kevin@downohmdrips.com,2019-04-27,,Yes,S,CBD,Yes,,
Elemental,1002 Jackson Blvd,,Rapid City,SD,57702,US,https://elementalrapidcity.com/,6057195141,elementalrapidcity@gmail.com,2020-12-30,2021-08-14,Yes,C,CBD,,,
GrassRoots,1575 N Lacrosse St Ste C,,Rapid City,SD,57701,US,,6057910483,,2021-01-14,,Yes,H,CBD,Yes,,
Hemporium Boutique,544 Century Rd Ste 103,,Rapid City,SD,57701,US,https://www.hemporiumboutique.com/,6057914367,hemporiumboutique@gmail.com,2020-07-05,,Yes,C,CBD,,,
Thrifty Smoke Shop,1101 W Omaha St #3,,Rapid City,SD,57701,US,,6053435661,,2018-10-17,,,S,,,,
Thrifty Smoke Shop,608 E North St,,Rapid City,SD,57701,US,,6053990841,,2018-10-17,2018-10-17,,S,,,,
Thrifty Smoke Shop,718 E Saint Patrick St,,Rapid City,SD,57701,US,,6053482905,,2018-10-17,,,S,,,,
Pheasant City Vapes,620 N Main St,,Redfield,SD,57469,US,http://www.pheasantcityvapes.com/,6054720278,david@pheasantcityvapes.com,2017-03-13,2019-04-11,Yes,V,CBD,,,
3rd Eye Vape & Glass,3109 W 41st St Ste 6,,Sioux Falls,SD,57105,US,https://3rdeyevapeandglass.com/,6055539268,,2021-12-14,2021-12-14,Yes,V,CBD,Yes,,
Blown Away Vape and Glass,2013 S Minnesota Ave,,Sioux Falls,SD,57105,US,http://blownawayvaping.com/,6052740157,owners@blownawayvaping.com,2018-10-14,2019-02-14,,S,,Yes,,
Common Sense,400 S 2nd Ave,,Sioux Falls,SD,57104,US,,6053330652,,2019-01-11,,Yes,H,CBD,Yes,,
ECig Crib - Sioux Falls,2027 W 41st St,,Sioux Falls,SD,57105,US,http://www.ecigcrib.com/,6053388273,ecigcribcsr@gmail.com,2018-10-18,2019-03-13,,V,,,,
Fat Boy Tobacco,1004 W 41st St,,Sioux Falls,SD,57105,US,,6053352219,fatboytobacco@gmail.com,2019-11-28,,,S,,,,
High End Glass & Tobacco,1404 W 41st St,,Sioux Falls,SD,57104,US,https://www.highendsf.com/,6053391556,highendglass.sf@gmail.com,2019-08-24,,Yes,S,CBD,,,
Kynd Co Vape & Smoke,112 S Van Eps Ave,,Sioux Falls,SD,57103,US,https://www.chasingcloudsvape.com/,6053215965,chasingcloudsvape@yahoo.com,2021-12-15,2021-12-15,Yes,V,CBD,Yes,,
No Ka Oi Vapor,2609 E 10th St Ste B,,Sioux Falls,SD,57103,US,https://nokaoi-vaporizerstore.business.site/,6057891378,nokaoivapor1@gmail.com,2020-01-29,2020-01-29,,V,,,,
Roll N' Smoke - Sioux Falls,4808 S Louise Ave,,Sioux Falls,SD,57106,US,https://rollnsmoke.com/,6052712720,info@rollnsmoke.com,2020-02-11,2020-02-11,Yes,S,CBD,Yes,,
Smokin Deals,1604 E 10th St,,Sioux Falls,SD,57103,US,,6053363285,,2018-10-24,,,S,,,,
Smokin' Deals Tobacco Outlet,5101 W 12th St,,Sioux Falls,SD,57106,US,,6053322886,,2018-10-24,2019-04-11,,T,,,,
The Cloud Vape Lounge,945 S Marion Rd #111,,Sioux Falls,SD,57106,US,,6052123675,elofsoninc@gmail.com,2018-06-27,2019-09-24,,V,,,,
Vape Pen Sales,629 S Minnesota Ave Ste 101,,Sioux Falls,SD,57104,US,https://vapepensales.com/,6055212125,service@vapepensales.com,2018-06-27,2019-07-13,Yes,V,CBD,,,
Westside Glass Emporium,945 S Marion Rd Ste 107,,Sioux Falls,SD,57106,US,https://www.westsideglassemporium.com/,6057995036,westsideglassemporium@gmail.com,2019-07-13,2019-07-13,Yes,H,CBD,Yes,,
Your CBD Store,4515 E 26th St Ste A,,Sioux Falls,SD,57110,US,https://cbdrx4u.com,6053760101,siouxfallseast684@cbdrx4u.com,2020-12-06,,Yes,C,CBD,,,
Your CBD Store,1612 W 41st St Ste A,,Sioux Falls,SD,57105,US,https://cbdrx4u.com,6053769043,,2020-12-06,,Yes,C,CBD,,,
Black Hills Vapors Spearfish,1940 North Ave Ste 2,,Spearfish,SD,57783,US,https://blackhillsvapors.com/,6057172405,service@blackhillsvapors.com,2018-06-26,2019-07-06,,V,,,,
Fogndroz - Spearfish,3135 E Colorado Blvd,,Spearfish,SD,57783,US,http://www.fogndroz.com/,6055591338,fogndroz@gmail.com,2021-01-06,,Yes,V,CBD,,,
Hothead Vapor,333 Heritage Dr Ste 1,,Spearfish,SD,57783,US,https://hothead-vapor.business.site/,6055590880,,2018-10-22,2019-04-08,,V,,,,
Dick & Jane's Naughty Spot,1543 Lazelle St,,Sturgis,SD,57785,US,http://www.dickandjanesnaughtyspot.com/,6057200049,,2019-09-05,2019-09-05,,O,,,,
Flamez Tobacco & Vapor,918 E Cherry St,,Vermillion,SD,57069,US,,6056580184,flameztobacco@gmail.com,2020-08-27,,,S,,,,
Vi E-Cig & Vape Lounge,847 E Cherry St,,Vermillion,SD,57069,US,,6056582058,,2018-09-22,,Yes,V,CBD,,,
KDS Vapors,1017 6th Ave SE,,Watertown,SD,57201,US,,6056958189,,2018-10-08,,,V,,,,
Midtown Smoke Shop & Casino,1 1st Ave NE,,Watertown,SD,57201,US,,6058862204,,2020-01-20,,,S,,,,
Vape Depot & Smoke Shop,2631 10th Ave SE,,Watertown,SD,57201,US,https://vapewatertown.com,6058805627,info@vapewatertown.com,2022-02-11,2022-02-11,Yes,S,CBD,,,
Chasing Clouds Vape Collective,1100 Broadway St Ste 3,,Yankton,SD,57078,US,https://chasingcloudsvape.com/,6056890124,chasingcloudsvapecollective@outlook.com,2019-03-26,,,V,,,,
