Shop Name,Address 1,Address 2,City,State/Province,Zip/Postcode,Country,Website,Phone,Email,Added,Updated,CBD,Biz Type,MJ,Kratom,Buyer name ,Title 
CBD American Shaman - Alcoa,1082 Hunters Crossing,,Alcoa,TN,37701,US,https://cbdamericanshaman.com/,8653921011,,2019-11-11,,Yes,C,CBD,,,
Saffire Vapor,743 Louisville Rd,,Alcoa,TN,37701,US,https://saffirevapor.com/,8652335347,customerservice@saffirevapor.com,2018-08-06,2020-01-01,Yes,V,CBD,,,
Smokeyz Discount Tobacco & Beer,2754 Alcoa Hwy Ste E,,Alcoa,TN,37701,US,,8657241036,,2018-11-03,,,S,,,,
Vapor Max,209 N Calderwood St,,Alcoa,TN,37701,US,,8659843050,maryvillealcoavapormax@gmail.com,2018-09-11,,Yes,V,CBD,,,
Diamond Vape and Smoke,5303 Mt View Rd,,Antioch,TN,37013,US,,6158353750,,2022-03-28,2022-03-28,Yes,S,CBD,Yes,,
True Discount Lotto Land,25900 Main St,,Ardmore,TN,38449,US,http://truediscountlottoland.com/,9314278211,tdaly38449@yahoo.com,2019-12-19,,,T,,,,
Tobacco World Smoke Shop,9775 US-64,,Arlington,TN,38002,US,http://www.tobaccoworldsmokeshop.com/,9014808199,info@tobaccoworldsmokeshop.com,2020-02-25,2020-02-25,Yes,S,CBD,,,
Clear Sky Vapors,110 Hutton Pl,,Ashland City,TN,37015,US,https://clearskyvapors.com/,6158457200,,2022-03-25,2022-03-25,Yes,V,CBD,,,
Hemp Island,232 Hutton Pl Ste 116,,Ashland City,TN,37015,US,https://thehempisland.com,6157924464,info@thehempisland.com,2021-01-26,,Yes,C,CBD,,,
The Good Vape Shop + CBD,1990 TN-49,,Ashland City,TN,37015,US,https://the-good-vape-shop.business.site/,6153985171,thegoodvapeshop@gmail.com,2020-12-02,,Yes,V,CBD,Yes,,
Down-to-Earth Lifestyle & Gifts,203 E Madison Ave,,Athens,TN,37303,US,,4232520629,down2earth.tn@mail.com,2020-12-24,,Yes,C,CBD,,,
Friendly City Vapors,719 Congress Pkwy S #100,,Athens,TN,37303,US,,4232520010,andrew@friendlycityvapors.com,2018-08-06,2019-12-22,Yes,V,CBD,,,
Froglick Farms Merchantile & Sundries,107 New Englewood Rd,,Athens,TN,37303,US,https://www.froglickfarms.com,4232718383,sales@froglickfarms.com,2021-11-19,,Yes,C,CBD,,,
Green-Lite Health CBD and Hemp Dispensary,408 Congress Pkwy N,,Athens,TN,37303,US,https://greenlitehealthdispensary.com/,4234055943,greenlitehealth@gmail.com,2021-01-18,,Yes,C,CBD,,,
Tobacco Outlet,1860 Decatur Pike,,Athens,TN,37303,US,,4236492818,,2020-07-14,,,T,,Yes,,
Vapenotiq Vapors,107 N White St,,Athens,TN,37303,US,,4232447841,vapenotiqvapors@gmail.com,2018-08-27,2020-02-26,Yes,V,CBD,,,
Atoka Tobacco,382 Atoka Mclaughlin Dr,,Atoka,TN,38004,US,,9018404902,atokatobacco@bigriver.net,2019-07-19,,Yes,S,CBD,,,
Bluff City Vapes & CBD,2965 N Germantown Pkwy Ste 120,,Bartlett,TN,38133,US,http://www.bluffcityvapes.com/index.html,9013862150,contact@bluffcityvapes.com,2015-02-27,2019-03-14,Yes,V,CBD,,,
Mad Hatter's Tea & Gifts,5846 Stage Rd,,Bartlett,TN,38134,US,https://madhatterswonderland.com/,9012731375,hatterms@madhattersus.com,2020-01-13,,Yes,C,CBD,Yes,,
Tobacco & Vape,2805 Bartlett Blvd,,Bartlett,TN,38134,US,,9019376929,,2018-09-22,2020-07-19,Yes,T,CBD,,,
VaporWize Bartlett,6848 Stage Rd,,Bartlett,TN,38134,US,https:/www.vaporwize.com,9012498625,vaporwize@gmail.com,2018-08-06,2020-01-09,Yes,V,CBD,,,
Zooks Vapor,3051 Kirby Whitten Rd Ste 5,,Bartlett,TN,38134,US,http://zooksvapor.com/,9017468510,zooksvapor@aol.com,2018-09-19,,Yes,V,CBD,,,
Tri-Healthy CBD Tri-Cities,4571 US-11E,,Bluff City,TN,37618,US,https://www.tri-healthy.com/,4235383532,trihealthybiz@gmail.com,2020-06-01,2020-06-01,Yes,C,CBD,,,
Bolivar Discount Cigarettes,113 N Jones St,,Bolivar,TN,38008,US,,7316587861,bolivardiscountcigarettes@gmail.com,2022-02-16,2022-02-16,Yes,S,CBD,Yes,,
Kindly Green Organic CBD Oil,7061 Moores Ln #100,,Brentwood,TN,37027,US,http://kindly.green/,6156195463,,2021-02-24,,Yes,C,CBD,,,
Kron CBD,123 Franklin Rd,,Brentwood,TN,37027,US,,6152833122,kron@kronlife4.me,2021-02-28,,Yes,C,CBD,,,
