Shop Name,Address 1,Address 2,City,State/Province,Zip/Postcode,Country,Website,Phone,Email,Added,Updated,CBD,Biz Type,MJ,Kratom,Buyer name ,Title 
121 Smoke Shop,680 N Denton Tap Rd Ste 200,,Coppell,TX,75019,US,,2243929468,,2022-01-06,2022-01-06,Yes,S,CBD,Yes,,
180 Vape,1413 19th St #A,,Lubbock,TX,79401,US,http://www.180vape.com/,8067408273,generalmanager@180vape.com,2018-09-08,2020-03-12,,V,,,,
190 Drive Thru Smoke Shop,701 W Veterans Memorial Blvd,,Killeen,TX,76541,US,,2545262742,,2018-07-25,2019-05-17,,S,,,,
1960 Smoke Shop and Vape,5758 FM 1960,,Atascocita,TX,77346,US,,2819135819,,2019-07-07,,Yes,S,CBD,Yes,,
20 After 4 Smoke Shop,3701 S Cooper St Ste 161,,Arlington,TX,76015,US,https://20after4.shop/,8174793759,contact@20after4.shop,2022-01-06,2022-01-06,Yes,S,CBD,Yes,,
20 After 4 Smoke Shop,5250 N Tarrant Pkwy #118,,Fort Worth,TX,76137,US,https://20after4.shop/,6822488418,contact@20after4.shop,2022-01-06,2022-01-06,Yes,S,CBD,Yes,,
210 Double Vapes,215 E Commerce St,,San Antonio,TX,78205,US,,,,2022-01-21,2022-01-21,,V,,,,
24 Hour Drive Thru Smoke and Vapors Store,5200 N Tarrant Pkwy,,Fort Worth,TX,76137,US,,8175763611,,2022-01-06,2022-01-06,,S,,,,
24 Hour Drive Thru Vapors,4216 Lyndon B Johnson Fwy,,Dallas,TX,75244,US,,4693177175,,2022-01-06,2022-01-06,Yes,V,CBD,,,
24/7 Tobacco,9441 Cullen Blvd Ste A5-B,,Houston,TX,77051,US,,,,2022-01-06,2022-01-06,Yes,S,CBD,,,
24K Tobacco & Cigars,692 W Pioneer Pkwy Ste 130,,Grand Prairie,TX,75051,US,https://24k-tobacco-and-cigars.business.site/,4694607008,,2022-01-06,2022-01-06,Yes,S,CBD,Yes,,
290 Smoke Shop,17504 Northwest Fwy Ste 700,,Jersey Village,TX,77065,US,,7134661195,,2019-07-04,2019-07-04,,S,,,,
2920 Smoke Shop,4915 FM 2920 Rd Ste 145,,Spring,TX,77388,US,,2816514247,2920smoke@gmail.com,2019-07-13,,,S,,,,
3 Chics Vapor,4209 Broadway Ave Ste 105,,Haltom City,TX,76117,US,,8177591338,3chicsvapor@gmail.com,2014-09-20,2019-02-21,,V,,,,
3 Dimension Smoke Shop,5432 E Lancaster Ave,,Fort Worth,TX,76112,US,,8174573413,3dimensionsmoke@gmail.com,2018-10-23,2020-07-30,,S,,,,
3 Monkeys Smoke and Vape,5121 Collin McKinney Pkwy Ste 300,,McKinney,TX,75070,US,https://3monkeysvapeandsmokeshop.business.site/,4696251543,,2022-01-06,2022-01-06,Yes,S,CBD,Yes,,
323 Smoke Shop,1801 E SE Loop 323 Ste 300,,Tyler,TX,75701,US,,9035819980,,2018-10-23,2018-11-11,,S,,Yes,,
34th Street Discount,2514 SW 34th Ave,,Amarillo,TX,79109,US,https://www.tobaccoamarillo.com/,8063524900,contact@tobaccoamarillo.com,2019-07-13,,,T,,,,
360 Smoke Shop,4542 Belt Line Rd,,Addison,TX,75001,US,https://www.yelp.com/biz/360-smoke-shop-dallas,4693605001,,2022-01-06,2022-01-06,Yes,S,CBD,Yes,,
360 Smoke Shop,4412 Lovers Ln,,Dallas,TX,75225,US,,4695132811,,2022-01-06,2022-01-06,Yes,S,CBD,Yes,,
380 Vapes,1914 N Carroll Blvd,,Denton,TX,76272,US,http://www.380vapes.net/,9408081663,,2016-03-31,2019-02-21,Yes,V,CBD,,,
3D Smoke Shop,4306 Matlock Rd Ste 128,,Arlington,TX,76018,US,http://www.3dsmokeshop.net/,8173750736,,2018-10-12,2018-10-12,,S,,,,
3D Smoke Shop,3301 S Cooper St,,Arlington,TX,76015,US,http://www.3dsmokeshop.net/,6822700359,,2018-07-01,2018-10-12,,S,,,,
3D Smoke Shop,6606 S Congress Ave,,Austin,TX,78745,US,,5123685335,,2022-01-06,2022-01-06,Yes,S,CBD,Yes,,
3D Smoke Shop,2717 E Belt Line Rd Ste 108-B,,Carrollton,TX,75006,US,http://www.3dsmokeshop.net/,9728100203,,2018-10-12,2018-10-12,,S,,,,
3D Smoke Shop,6530 E NW Hwy,,Dallas,TX,75231,US,http://www.3dsmokeshop.net/,9726299690,,2018-07-01,2018-10-12,,S,,,,
3D Smoke Shop,9008 Garland Rd,,Dallas,TX,75218,US,http://3dsmokeshop.net/,2143376653,,2018-07-01,2018-10-12,,S,,,,
3D Smoke Shop,2001 Cross Timbers Rd Ste 101,,Flower Mound,TX,75028,US,http://www.3dsmokeshop.net/,2145132102,,2018-10-12,2018-10-12,,S,,,,
3D Smoke Shop,6205 Oakmont Blvd,,Fort Worth,TX,76132,US,,6827085700,,2018-10-12,,Yes,S,CBD,Yes,,
3D Smoke Shop,1301 FM 407 Ste 100,,Lewisville,TX,75077,US,http://www.3dsmokeshop.net/,9723172000,,2018-10-12,2018-10-12,,S,,,,
3D Smoke Shop,3102 W Parker Rd,,Plano,TX,75075,US,http://3dsmokeshop.net/,4695624121,,2019-07-13,,,S,,,,
3D Smoke Shop,7200 Glenview Dr Ste 3,,Richland Hills,TX,76180,US,http://3dsmokeshop.net/,8175909444,,2018-07-01,2018-10-12,,S,,,,
3D Smoke Shop,4181 Main St #300,,The Colony,TX,75056,US,,2144305233,,2020-11-15,,Yes,S,CBD,,,
3rd Coast Smoke Shop,907 W 2nd St,,Freeport,TX,77541,US,,9798719085,thirdcoastsmokeshop@gmail.com,2018-10-02,,Yes,S,CBD,Yes,,
