Shop Name,Address 1,Address 2,City,State/Province,Zip/Postcode,Country,Website,Phone,Email,Added,Updated,CBD,Biz Type,MJ,Kratom,Buyer name,Title
Smoke Shop Allami 2,52 E Main St,,American Fork,UT,84003,US,,8014921500,,2020-02-26,,Yes,S,CBD,Yes,,
Stogies Smoke and Vape,106 NW State St,,American Fork,UT,84003,US,,8017637561,,2018-08-11,4/7/2020,Yes,S,CBD,,,
Smoke Dreams Vapor,441 S 500 W,,Bountiful,UT,84106,US,,8019923720,smokedreamsvapor@gmail.com,2018-08-11,6/16/2019,Yes,V,CBD,Yes,,
Vapor Craziness,310 S 200 W,,Bountiful,UT,84010,US,https://vaporcraziness.com/,8019923374,vaporcraziness@gmail.com,2021-06-17,,,V,,,,
Vapor Dreams,273 W 500 S Ste 11,,Bountiful,UT,84010,US,https://vapor-dreams.com/,8012950884,vapordreams@q.com,2018-09-08,3/15/2020,Yes,V,CBD,,,
Vapor Waves,390 N 500 W Ste N,,Bountiful,UT,84010,US,http://www.vaporwaves.com/,8012950050,vaporwavesusa@outlook.com,2018-08-16,2/14/2020,Yes,V,CBD,,,
Big Hit Vapor,987 N Main St Ste 3,,Cedar City,UT,84721,US,,4356548273,,2018-10-31,,,V,,,,
CBD American Shaman Cedar City,603 S Main St #1,,Cedar City,UT,84720,US,https://cbdamericanshaman.com/,4357081411,,2019-11-11,,Yes,C,CBD,,,
Cloud 9 Vapor Cedar,1390 S Providence Center Dr #4,,Cedar City,UT,84720,US,,4355868273,,2022-03-25,3/25/2022,,V,,,,
D&D Smoke's & More,435 N Aviation Way,,Cedar City,UT,84721,US,,4358656188,,2018-10-20,,Yes,S,CBD,,,
Hidden Valley Vapors,1233 S Sage Dr Unit B,,Cedar City,UT,84720,US,,4352630877,,2017-12-12,1/20/2019,,V,,,,
A & H Sahara LLC,638 S State St,,Clearfield,UT,84015,US,https://ahsahara.biz/,8018253856,,2019-07-14,,,S,,,,
Cloud X Vape & Smoke,298 S State St,,Clearfield,UT,84015,US,,3853837262,,2019-08-25,,Yes,S,CBD,,,
Smoke +,926 W 1700 S #B,,Clearfield,UT,84015,US,,8018254498,,2018-08-11,2/6/2020,Yes,S,CBD,Yes,,
Smokeys,1580 State St Ste 5-A,,Clearfield,UT,84015,US,,8017764048,,2018-08-11,6/16/2019,,S,,,,
Draper Vapor,1174 E Draper Pkwy,,Draper,UT,84020,US,http://www.drapervapor.com/,8019474027,drapervapor@gmail.com,2016-08-11,4/10/2019,Yes,V,CBD,,,
Waters Edge,256 E 12300 S Unit C,,Draper,UT,84020,US,,8019030202,,2021-06-27,,Yes,C,CBD,,,
Uptown Tobacco,5 E Main St,,Grantsvillle,UT,84029,US,,4358846279,,2018-11-15,11/15/2018,,S,,,,
CBD American Shaman of Hurricane,1141 W State St #6B,,Hurricane,UT,84737,US,https://cbdamericanshaman.com/,4356273650,cbdhealthyharmony3@gmail.com,2019-11-11,,Yes,C,CBD,,,
CaptaVape,215 W 200 N Ste B,,Kaysville,UT,84037,US,,8019287376,captavape@gmail.com,2015-01-19,7/31/2019,,V,,,,
Big Smoke,4082 W 5415 S,,Kearns,UT,84118,US,http://tbcollc.com,8019634778,vapingtbco@tbcollc.com,2018-08-06,8/22/2019,,T,,,,
CBD Plus Store,2920 N Hill Field Rd Ste 1,,Layton,UT,84041,US,https://www.thecbdplusstore.com/,8016635159,thecbdplusstore@outlook.com,2020-12-20,,Yes,C,CBD,,,
Smokeys Discount Cigarettes,1848 N Hill Field Rd #3,,Layton,UT,84041,US,,8018256788,,2018-10-24,10/24/2018,,S,,,,
The CVB Store,729 King St Ste 500,,Layton,UT,84041,US,,8017196217,,2018-08-11,9/5/2019,,V,,,,
Vapor Loc,897 N Main St,,Layton,UT,84041,US,,8015443888,,2018-08-16,2/14/2020,Yes,V,CBD,Yes,,
B's Smoke Shop,785 E 200 S,,Lehi,UT,84043,US,,8017666134,,2018-08-11,2/6/2020,Yes,S,CBD,,,
Earthly Awakenings,21 Federal Ave,,Logan,UT,84321,US,,4357558657,,2018-10-21,10/21/2018,,H,,,,
Logan Leaf,33 Main St,,Logan,UT,84321,US,https://www.loganleaf.com/,4352942977,info@loganleaf.com,2021-03-19,,Yes,C,CBD,,,
Riverwalk Vapors,981 S Main St Ste 190,,Logan,UT,84321,US,http://www.riverwalkvapors.com,4352139464,riverwalkvapors@gmail.com,2018-08-11,2/6/2020,,V,,,,
The Mystic Sphynx,642 N 1000 W Ste 102,,Logan,UT,84321,US,,4353744146,themysticsphynx@gmail.com,2018-08-11,2/6/2020,Yes,H,CBD,Yes,,
The Vape Shop,1125 W 400 N Ste 250,,Logan,UT,84321,US,,4352134080,,2018-09-21,11/13/2018,Yes,V,CBD,,,
Timberline Smoke Shop,1496 N Main St,,Logan,UT,84341,US,http://timberlinesmokeshop.com/,4357871727,timberlinesmokeshop@gmail.com,2019-11-03,11/3/2019,Yes,S,CBD,Yes,,
Cloud Zone,8263 W 3500 S,,Magna,UT,84044,US,,8016018069,,2021-12-30,12/30/2021,Yes,S,CBD,Yes,,
LA Smoke Shop,7241 W 3500 S,,Magna,UT,84044,US,,8019873199,,2019-12-27,,,S,,,,
Smokes 4 Less,8029 W 3500 S,,Magna,UT,84044,US,https://www.smokes4less.com/,8012505225,smokes4less80@gmail.com,2018-11-26,4/11/2021,Yes,S,CBD,,,
Vape Avenue,8415 W 2700th S,,Magna,UT,84044,US,,8015080555,,2018-09-21,,,V,,,,
Blue Moon Vapors LLC,795 W 12th St,,Marriott-Slaterville,UT,84404,US,http://www.vapeshopinogdenut.com/,8016487099,dannajojones@gmail.com,2019-07-27,,,V,,,,
CBD Infusions,1167 W 12th St Ste 3,,Marriott-Slaterville,UT,84404,US,https://www.cbd-infusions.com/,8002829570,support@cbd-infusions.com,2020-11-25,,Yes,C,CBD,,,
Current Vapors,43 E Ft. Union Blvd,,Midvale,UT,84047,US,http://www.currentvapors.com/,8019873195,currentvapors@gmail.com,2018-08-11,2/6/2020,,V,,,,
Farmer & Chemist,7719 S Main St,,Midvale,UT,84047,US,https://farmerandchemist.com/,3859008997,cbdfarmerandchemist@gmail.com,2021-01-04,,Yes,C,CBD,,,
House of Hookahs Midvale,7790 S 700 E,,Midvale,UT,84047,US,,8015653444,,2018-08-11,6/12/2021,,S,,,,
Super1 Smokeshop,7948 S State St,,Midvale,UT,84047,US,,8012558182,,2018-08-11,12/26/2020,Yes,S,CBD,,,
Vapor Zone Smoke Shop,8538 S State St,,Midvale,UT,84047,US,,8012566475,vaporzoneutah@gmail.com,2019-06-03,,,S,,,,
Murray Smoke & Vape,909 E 4500 S,,Millcreek,UT,84117,US,,8015909942,smokeshop101@yahoo.com,2020-03-05,,Yes,S,CBD,Yes,,
Smokeys Discount Cigarettes,893 E 3900 S,,Millcreek,UT,84107,US,,8012686012,,2018-10-24,,,S,,,,
