Shop Name,Address 1,Address 2,City,State/Province,Zip/Postcode,Country,Website,Phone,Email,Added,Updated,CBD,Biz Type,MJ,Kratom,Buyer name,Title
HempWorks,67 Casino Dr,,Anmoore,WV,26323,US,https://hempworkswv.com/,3046942472,mfsmith711@gmail.com,2020-12-05,12/5/2020,Yes,C,CBD,,,
Mountain Grown Cannabinoid Therapy Center,3421 US-60 East,,Barboursville,WV,25504,US,http://www.mountaingrownproducts.com,3047360888,mountaingrownproducts@gmail.com,2019-11-15,,Yes,C,CBD,,,
Select A Vapor,3476 US-60,,Barboursville,WV,25504,US,,8559077283,,2014-09-02,11/12/2018,Yes,V,CBD,,,
Cool Ridge Smoke Shop,112 Marshall Ave,,Beckley,WV,25801,US,,3048601997,,2018-10-30,,,H,,,,
Dave's Emporium & Tobacco,9 Nell Jean Square,,Beckley,WV,25801,US,,3042523850,,2019-09-05,,,H,,,,
Lowa Vapor,408 Beckley Crossing,,Beckley,WV,25801,US,https://www.lowavapor.com/root/,6812077023,info@lowavapor.com,2018-09-30,,,V,,,,
Smoker Friendly,19 Nell Jean Square,,Beckley,WV,25801,US,https://www.smokerfriendlywv.com/,3042555510,,2018-08-06,10/28/2018,Yes,S,CBD,,,
Panhandle Cannabis Company,33 N Washington St,,Berkeley Springs,WV,25411,US,,3042584316,panhandlecbd@gmail.com,2021-02-14,9/13/2021,Yes,C,CBD,,,
E-Vapor,2399 Meadowbrook Mall Rd,,Bridgeport,WV,26330,US,http://evaporwv.com/,3048425523,info@evaporwv.com,2014-09-05,6/16/2021,Yes,V,CBD,,,
The Vaping,131 State St,,Bridgeport,WV,26330,US,http://thevaping.com/,3048489188,thevapingwv@gmail.com,2018-08-06,1/2/2020,,V,,,,
Whispering Winds Naturals,406 W Main St,,Bridgeport,WV,26330,US,https://whisperingwindswv.com/,3048423371,jem@whisperingwindsorganics.com,2020-12-11,12/11/2020,Yes,C,CBD,,,
Endo Solutions,242 S Kanawha St,,Buckhannon,WV,26201,US,https://endosolutions.shop/,3044395816,wvendosolutions@gmail.com,2021-01-01,1/1/2021,Yes,C,CBD,,,
Smoker Friendly,103 S Kanawha St,,Buckhannon,WV,26201,US,https://www.smokerfriendlywv.com/,3044712045,,2018-08-06,10/28/2018,Yes,S,CBD,,,
West Virginia Vapors,4 Northridge Dr Ste 108,,Buckhannon,WV,26201,US,,3044393020,,2016-11-24,1/13/2019,Yes,V,CBD,Yes,,
Charlie Brown's Store,15949 Charles Town Rd,,Charles Town,WV,25414,US,,3047257861,,2018-10-30,,Yes,S,CBD,,,
Charlies Too,835 E Washington St #101,,Charles Town,WV,25414,US,https://charliestoo.net/,3047241892,sgray159@comcast.net,2018-08-06,1/12/2020,Yes,S,CBD,Yes,,
The Smoking Head,34 Jefferson Ave,,Charles Town,WV,25414,US,,3047243033,thesmokinghead@comcast.net,2018-08-06,4/11/2020,,T,,,,
Appalachian Cannabis Company,130 Goff Mountain Rd,,Charleston,WV,25313,US,https://appalachianonline.com/,3047762221,appalachiandistributing@yahoo.com,2018-10-30,11/17/2020,Yes,H,CBD,,,
Budget Tapes & Records,3708 MacCorkle Ave SE,,Charleston,WV,25304,US,http://www.budgettapeswv.com/,3049258273,budgettapeswv@gmail.com,2019-07-29,,Yes,H,CBD,,,
Capital City Vapors,4002 MacCorkle Ave SE #1,,Charleston,WV,25304,US,,3049268273,,2018-08-15,2/11/2020,Yes,V,CBD,,,
Freedome,1601 Bigley Ave,,Charleston,WV,25302,US,,3044441062,i.am.u.llc1@icloud.com,2021-12-09,12/9/2021,Yes,S,CBD,,,
Green Infusion,313 W Washington St,,Charleston,WV,25302,US,http://www.greeninfusionwv.com,6812655073,green-infusion@outlook.com,2020-06-12,6/12/2020,Yes,C,CBD,,,
Smoker Friendly,5711 MacCorkle Ave SE B,,Charleston,WV,25304,US,https://www.smokerfriendlywv.com/,3049260050,,2018-08-06,10/28/2018,Yes,S,CBD,,,
Sullivan's Records,1588 Washington St E Ste A,,Charleston,WV,25311,US,,3043444355,sullivansrecords@gmail.com,2019-10-21,,,O,,,,
