Shop Name,Address 1,Address 2,City,State/Province,Zip/Postcode,Country,Website,Phone,Email,Added,Updated,CBD,Biz Type,MJ,Kratom,Buyer name ,Title 
The Blessing Flower - 3 Tall Pines,N2497 US-45,,Antigo,WI,54409,US,,7153504485,gthran712@gmail.com,2021-07-31,2021-07-31,Yes,C,CBD,,,
Xtreme Vape LLC,2242 Neva Rd,,Antigo,WI,54409,US,http://www.xtremevapeshops.com/,7156106594,xtremevapeshop@yahoo.com,2018-09-30,,Yes,V,CBD,,,
A&G's CBD Dispensary,1104 W Wisconsin Ave,,Appleton,WI,54914,US,https://agscbddispensary.com/,9205743689,ashleywhitetdt@gmail.com,2020-11-15,,Yes,C,CBD,,,
AZ Tobacco And Vapor,3470 W College Ave,,Appleton,WI,54914,US,,9209971899,,2018-10-09,2019-04-10,Yes,S,CBD,,,
E-Cig Store LLC,2575 S Memorial Dr #101,,Appleton,WI,54915,US,http://www.e-cigstorellc.com/,9208308273,e_cigstorellc@yahoo.com,2018-08-06,2019-12-16,Yes,V,CBD,,,
Eldorado's Adult Party Store,2545 S Memorial Dr,,Appleton,WI,54915,US,,9208300042,buck1151@yahoo.com,2019-01-09,,,H,,,,
Elf's Gifts,2700 W College Ave #11,,Appleton,WI,54914,US,https://www.facebook.com/elfsgifts.appleton,9203804420,elfsgifts@gmail.com,2018-12-19,2020-01-30,Yes,H,CBD,,,
EVapor of Appleton,1725 S Oneida St,,Appleton,WI,54915,US,,9207397783,evaporofappleton@gmail.com,2014-09-04,2019-02-27,Yes,V,CBD,,,
Fox Valley Vapor,N474 Eisenhower Dr Ste I,,Appleton,WI,54915,US,,9203640201,foxvalleyvapor@gmail.com,2018-09-30,2019-11-07,Yes,V,CBD,,,
Good Nature Evapor,420 E Northland Ave Ste E,,Appleton,WI,54911,US,http://www.goodnatureevapor.com,9205742235,info@goodnatureevapor.com,2018-09-30,,,V,,,,
Happy Trails CBD,3416 W College Ave,,Appleton,WI,54914,US,https://happytrailscbd.com/,9202023180,hello@happytrailscbd.com,2020-07-03,,Yes,C,CBD,,,
Marley's Smoke Shop,530 W College Ave,,Appleton,WI,54911,US,https://marleyswisconsin.com/,9207335700,marleyswisconsin@gmail.com,2018-08-11,2020-07-12,Yes,S,CBD,,,
Smokin Glass,1107 W Wisconsin Ave,,Appleton,WI,54914,US,https://www.smokinglass2.com/,9209031986,smokinglassappleton@gmail.com,2018-08-23,2020-02-23,Yes,H,CBD,,,
