Shop Name,Address 1,Address 2,City,State/Province,Zip/Postcode,Country,Website,Phone,Email,Added,Updated,CBD,Biz Type,MJ,Kratom,Buyer name ,Title 
Black Market Vape & Smoke,2117 E 12th St,,Casper,WY,82601,US,https://blackmarketvapeandsmoke.com/,3073371049,,2021-12-10,2021-12-10,Yes,S,CBD,,,
High Mountain Wellness,604 E Collins Dr,,Casper,WY,82601,US,http://www.highmountainwellness.com,3073332144,bryan@highmountainwellness.com,2022-02-23,2022-02-23,Yes,C,CBD,,,
Ohm Man Vape Shop,406 N Beverly St,,Casper,WY,82601,US,http://ohmmanvapeshop.com,3073331162,ohmmanvapeshop@gmail.com,2016-08-09,2019-05-10,Yes,V,CBD,,,
Platte Hemp Company,134 E Midwest Ave,,Casper,WY,82601,US,https://plattehemp.com/,3073371044,plattehemp@gmail.com,2021-05-15,,Yes,C,CBD,,,
Straight Line Vapors,1214 W Collins Ave,,Casper,WY,82604,US,,3073336303,straightlinevapors@gmail.com,2014-09-07,2019-05-10,Yes,V,CBD,,,
The Green Room,240 W 1st St,,Casper,WY,82601,US,https://greenroom307.com/,3077769073,,2021-02-25,2021-07-28,Yes,H,CBD,,,
Wyoming Vapor Company,507 N Beverly St,,Casper,WY,82609,US,https://wyomingvapor.com/,3072346707,wyomingvapor@gmail.com,2014-08-27,2019-05-10,,V,,,,
Black Market Vape & Smoke,2314 Dell Range Blvd,,Cheyenne,WY,82009,US,https://blackmarketvapeandsmoke.com/,3075140700,,2021-12-10,2021-12-10,Yes,S,CBD,,,
CBD WYO,1608 E Lincolnway,,Cheyenne,WY,82001,US,,3079967811,cbdwyo1@gmail.com,2020-12-08,2021-11-10,Yes,C,CBD,,,
Natural Wellness CBD,307 E 20th St,,Cheyenne,WY,82001,US,https://www.naturalwellness.care/,3074264199,naturalwellnessllc@outlook.com,2021-03-03,,Yes,C,CBD,,,
Smoker Friendly,620 E 16th St,,Cheyenne,WY,82001,US,http://smokerfriendly.com/,3076347830,,2020-03-06,,,S,,Yes,,
Smoker Friendly,3761 E Lincolnway,,Cheyenne,WY,82001,US,https://smokerfriendly.com/,3076350753,,2020-03-06,,,T,,,,
Straight Line Vapors,1420 Logan Ave,,Cheyenne,WY,82001,US,,3075145995,straightlinevapors@gmail.com,2018-10-09,2018-11-13,Yes,V,CBD,,,
The Joint Cheyenne,2206 Dell Range Blvd Ste E,,Cheyenne,WY,82009,US,,3075140146,thejoint_fortcollins@hotmail.com,2018-08-06,2019-12-01,Yes,H,CBD,,,
